h,food_group10,own_price
0.001,G01_主食,-1.08865977615578
0.001,G02_食用油,-0.783721703987764
0.001,G03_蔬菜,-0.824641774215824
0.001,G04_水果,-1.08888719446383
0.001,G05_猪肉,-0.648336699048126
0.001,G06_禽类及其他肉类,-1.1672952904628
0.001,G07_牛羊肉,-0.749924184155051
0.001,G08_海鲜,-0.945967179234686
0.001,G09_乳制品,-1.01143421370781
0.005,G01_主食,-1.08445423685978
0.005,G02_食用油,-0.781169626811969
0.005,G03_蔬菜,-0.821664405978727
0.005,G04_水果,-1.08434801366609
0.005,G05_猪肉,-0.646592214592545
0.005,G06_禽类及其他肉类,-1.16229729514646
0.005,G07_牛羊肉,-0.747312728552348
0.005,G08_海鲜,-0.942400603717215
0.005,G09_乳制品,-1.00739049645332
0.01,G01_主食,-1.07924048966594
0.01,G02_食用油,-0.777999426073965
0.01,G03_蔬菜,-0.817974199182896
0.01,G04_水果,-1.07872618945555
0.01,G05_猪肉,-0.644424497586883
0.01,G06_禽类及其他肉类,-1.15613724872729
0.01,G07_牛羊肉,-0.744071847731431
0.01,G08_海鲜,-0.937979133517503
0.01,G09_乳制品,-1.00238180008854
0.02,G01_主食,-1.0689594460376
0.02,G02_食用油,-0.771771865554024
0.02,G03_蔬菜,-0.810691177208643
0.02,G04_水果,-1.0676512427902
0.02,G05_猪肉,-0.640130720878958
0.02,G06_禽类及其他肉类,-1.14400631565341
0.02,G07_牛羊肉,-0.737671760140713
0.02,G08_海鲜,-0.929264497824638
0.02,G09_乳制品,-0.992507867789533
