point,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,curvature_ok,n
aggregate,0.0190148387218618,0.00109901753873804,-0.0173126195123662,-0.0601423699308248,-0.0730355498647195,-0.0826325683342936,-0.153910715861505,-0.164779632009586,-0.269651308538582,FALSE,583668
low_income,0.022017019733566,0.00121055909827787,-0.0178830583073157,-0.0600221272447,-0.0729970743198198,-0.0811694500488927,-0.154189468786953,-0.159389864511886,-0.274197029641845,FALSE,182410
non_low_income,0.0176448503452425,0.00100846808205336,-0.0168177450152038,-0.0594226619196126,-0.0735863143705626,-0.0827930664612519,-0.153560541743678,-0.168226558021115,-0.267939703374214,FALSE,401258
elderly,0.0417697578640672,0.00111689712453235,-0.0239007275228646,-0.0528514062384292,-0.0701394565532505,-0.0801492395513299,-0.136053311789127,-0.155672246969415,-0.285002865590558,FALSE,137581
non_elderly,0.0104042114343491,0.00109040035857878,-0.0138573622230981,-0.0634113479602661,-0.0752831000942503,-0.0843311665560256,-0.15490923237348,-0.183823007517095,-0.261866940243997,FALSE,446087
large_family,0.00665839987705848,-0.000756984053185781,-0.0139662127504869,-0.0679082759975175,-0.0804497471992366,-0.091400086320931,-0.156370640333548,-0.234219161186598,-0.257851321145531,FALSE,99142
small_family,0.0232288770059772,0.00116345341244321,-0.0184348037067814,-0.0579312302566879,-0.071859965537603,-0.0822355529121875,-0.154391418669917,-0.160621307536482,-0.272368002199324,FALSE,484526
xq1,0.062892057255578,0.0112175796923269,0.00124294062763756,-0.0646179196990729,-0.0737741392527261,-0.115929375854972,-0.182427123622678,-0.254311345042227,-0.38228219617105,FALSE,116749
xq2,0.0325541378059544,0.00123422072016028,-0.00253721292573179,-0.0737883218673107,-0.0801924729864054,-0.119563765433029,-0.181239731722309,-0.214214134075971,-0.30063355985946,FALSE,116859
xq3,0.0137236243192121,0.00105482708207576,-0.0113858181193197,-0.0736290368035826,-0.0801739148315318,-0.112263239230994,-0.158945184814659,-0.223687290462861,-0.247204235819836,FALSE,116593
xq4,0.00624898873090984,0.000771112280223012,-0.0136737219914162,-0.0714638517969885,-0.080468744497765,-0.0986624949088439,-0.14161642859881,-0.191774596199924,-0.245569602262732,FALSE,116733
xq5,0.0710342117853707,0.000881766344855951,-0.0241061506282181,-0.0464922598230947,-0.0625273767522866,-0.0852844874228961,-0.125374710240019,-0.145524105521086,-0.296009814021997,FALSE,116734
inc1,0.0203560330785789,0.00120657201604683,-0.0170836257516602,-0.0611388317654208,-0.0730287671181337,-0.0810226806425549,-0.153626881649647,-0.161971317143771,-0.27461838571017,FALSE,82983
inc2,0.0235105468115009,0.00120837498797747,-0.0185404604339238,-0.0590830984430536,-0.0729252264515269,-0.0812238452155163,-0.154503974968874,-0.157591124182262,-0.273849919221995,FALSE,99427
inc3,0.0229186971589135,0.00112210303437532,-0.0184629066627799,-0.0576392203088945,-0.0712155882741971,-0.0808413631385159,-0.153151445917717,-0.159243476746548,-0.274226970382328,FALSE,103395
inc4,0.0188931004265123,0.00107772831479376,-0.017244986412936,-0.0592920787042215,-0.0719660115581122,-0.0827726474945394,-0.153932323659079,-0.166053405581172,-0.26910804885299,FALSE,110455
inc5,0.0140959049984223,0.000811200578924932,-0.0154008834428813,-0.0597513443695951,-0.076477346701773,-0.0834297802752088,-0.153355929906992,-0.176564806929516,-0.263768671432184,FALSE,187408
