setting,system,point,eig_max,eig_min,curvature_ok
unconstrained,unconditional,aggregate,0.0190148387121938,-0.269651308542287,FALSE
unconstrained,unconditional,xq1,0.0628920572575484,-0.3822821961633,FALSE
unconstrained,unconditional,xq5,0.0710342117595372,-0.296009814023043,FALSE
unconstrained,latent,aggregate,0.143071509915287,-0.473613133478607,FALSE
unconstrained,latent,xq1,0.120201696243792,-0.580827241902224,FALSE
unconstrained,latent,xq5,0.329212173586563,-0.40422419212631,FALSE
B_only,unconditional,aggregate,0.00364303289148388,-0.293145951601814,FALSE
B_only,unconditional,xq1,0.00180166384809818,-0.385185950655816,FALSE
B_only,unconditional,xq5,0.0720481157465052,-0.299101228247631,FALSE
B_only,latent,aggregate,0.0950056216859662,-0.545888987248743,FALSE
B_only,latent,xq1,0.00293737992043666,-0.61101011973248,FALSE
B_only,latent,xq5,0.32635543285502,-0.442825022828918,FALSE
mean_point,unconditional,aggregate,0.00130557811229015,-0.295744105166976,FALSE
mean_point,unconditional,xq1,0.00176438773307272,-0.388417568380956,FALSE
mean_point,unconditional,xq5,0.00124762878915157,-0.315137215827817,FALSE
mean_point,latent,aggregate,0.01022247033938,-0.472223605739625,FALSE
mean_point,latent,xq1,0.00230872801328607,-0.577116000554871,FALSE
mean_point,latent,xq5,0.11702272473473,-0.379076926082149,FALSE
two_point_5_95,unconditional,aggregate,0.00161100397982669,-0.33471056373098,FALSE
two_point_5_95,unconditional,xq1,0.00182382827072112,-0.401084322297252,FALSE
two_point_5_95,unconditional,xq5,0.00150740597804916,-0.339235133408513,FALSE
two_point_5_95,latent,aggregate,0.0155977065601223,-0.731902784947001,FALSE
two_point_5_95,latent,xq1,0.00340858749081474,-0.663706422927139,FALSE
two_point_5_95,latent,xq5,0.0134593038650697,-0.574344696398323,FALSE
two_point_1_99,unconditional,aggregate,0.00168643046173425,-0.333043338302696,FALSE
two_point_1_99,unconditional,xq1,0.00180919443156438,-0.402006984739898,FALSE
two_point_1_99,unconditional,xq5,0.00156360323460757,-0.328565201236274,FALSE
two_point_1_99,latent,aggregate,0.0170873468057563,-0.780959963286169,FALSE
two_point_1_99,latent,xq1,0.0033819347045091,-0.651577399112524,FALSE
two_point_1_99,latent,xq5,0.0139574336312616,-0.597190253909838,FALSE
