frequency,food_group10,own_price_intensive,se,n_purchasers
month,G01_主食,-1.09088641762659,0.0968768107376747,346037
month,G02_食用油,-1.08761564554031,0.0810942777551828,195510
month,G03_蔬菜,-0.635193043063982,0.0179560218974993,485638
month,G04_水果,-0.914091263455461,0.0301283390692028,486755
month,G05_猪肉,-0.592361241173361,0.0300698845679796,364670
month,G06_禽类及其他肉类,-1.01546143465439,0.0410685277689075,252783
month,G07_牛羊肉,-1.14589226537363,0.0871001160753837,201198
month,G08_海鲜,-0.853185876624955,0.0480184824993279,311391
month,G09_乳制品,-1.13833055869212,0.0544186412253516,414085
quarter,G01_主食,-1.11410562705444,0.139204913417097,174728
quarter,G02_食用油,-0.74295203469817,0.109491060076716,128611
quarter,G03_蔬菜,-0.626337947105882,0.0313713304343429,188328
quarter,G04_水果,-0.908029545425458,0.048043177467186,191224
quarter,G05_猪肉,-0.672843708155266,0.05111032738311,166679
quarter,G06_禽类及其他肉类,-0.987177527426434,0.0619178440670661,136716
quarter,G07_牛羊肉,-1.22894903692119,0.135959584591958,116093
quarter,G08_海鲜,-1.14055033067176,0.0804988125198153,149135
quarter,G09_乳制品,-1.17138661587832,0.0838210831239195,185209
year,G01_主食,-1.15697885130604,0.229602813377204,55561
year,G02_食用油,-0.561484181873371,0.176569212980757,51674
year,G03_蔬菜,0.17364536142604,0.0718169595084858,56389
year,G04_水果,-1.18434335087173,0.0944400806160074,56809
year,G05_猪肉,-0.208841224544495,0.051949376092975,53810
year,G06_禽类及其他肉类,-0.783506950470639,0.118221248634578,50373
year,G07_牛羊肉,-0.622105766425075,0.283799302789065,46624
year,G08_海鲜,-1.85510501790007,0.172272146892323,50923
year,G09_乳制品,-1.78450633638217,0.150204711129653,56238
