food_group10,sy_easi_own,sy_quaids_own,omitted_residual_group,sy_easi_negative,sy_quaids_negative
G01_主食,-0.323468658573369,-0.348081103892365,FALSE,TRUE,TRUE
G02_食用油,0.462400669592501,0.447713933981715,FALSE,FALSE,FALSE
G03_蔬菜,-1.03893838872958,-1.04108419282814,FALSE,TRUE,TRUE
G04_水果,-1.06410822838732,-1.06399037599056,FALSE,TRUE,TRUE
G05_猪肉,-0.695300221929617,-0.702522252305098,FALSE,TRUE,TRUE
G06_禽类及其他肉类,0.735214956582554,0.730949059607997,FALSE,FALSE,FALSE
G07_牛羊肉,-1.26552302041169,-1.26172135168151,FALSE,TRUE,TRUE
G08_海鲜,-0.381719344099289,-0.379602900874603,FALSE,TRUE,TRUE
G09_乳制品,0.182606108961663,0.170521183171073,FALSE,FALSE,FALSE
G10_坚果,-3.66467679473282,-3.68992566752061,TRUE,TRUE,TRUE
