food_group10,term,estimate
G01_主食,(Intercept),-0.881951656610909
G01_主食,y_easi,0.337729825492914
G01_主食,r_G01,0.0675367326819804
G01_主食,r_G02,-0.261571209820278
G01_主食,r_G03,-0.0790726640056621
G01_主食,r_G04,0.0794809344398345
G01_主食,r_G05,-0.122248536137715
G01_主食,r_G06,0.104803955102236
G01_主食,r_G07,-0.253849100452086
G01_主食,r_G08,-0.284529613023259
G01_主食,r_G09,0.405834300198178
G01_主食,low_income,-0.00172565982837968
G01_主食,elderly_household,-0.08147313223552
G01_主食,large_family,0.239584700346382
G01_主食,mean_y_easi_hh,-0.05017328482588
G01_主食,z_cpi_yoy_prev_year_100,0.00368288022930697
G01_主食,z_covid_log,0.0368933612359114
G01_主食,z_holiday_days,-0.0966692743404009
G01_主食,z_temp_avg_c_mean,0.0146345980521835
G01_主食,z_precip_log,0.0157360894398342
G01_主食,z_wholesale_agri_200_mean,0.0557053217365372
G01_主食,factor(month)02,-0.135644761599895
G01_主食,factor(month)03,-0.177900066008432
G01_主食,factor(month)04,-0.0463879575779814
G01_主食,factor(month)05,-0.0275629740808348
G01_主食,factor(month)06,-0.127294411725711
G01_主食,factor(month)07,-0.22402945433235
G01_主食,factor(month)08,-0.206666456528535
G01_主食,factor(month)09,-0.191917568050926
G01_主食,factor(month)10,0.0326811336263115
G01_主食,factor(month)11,-0.196607996584005
G01_主食,factor(month)12,-0.261139471453561
G01_主食,factor(year)2021,-0.178442269102485
G01_主食,factor(year)2022,-0.308007062082826
G02_食用油,(Intercept),-2.03560241580778
G02_食用油,y_easi,0.599065930931691
G02_食用油,r_G01,-0.20272505012275
G02_食用油,r_G02,-0.424542204376657
G02_食用油,r_G03,-0.158359788969801
G02_食用油,r_G04,0.600995686082951
G02_食用油,r_G05,-0.139904619164207
G02_食用油,r_G06,0.628361481668609
G02_食用油,r_G07,-0.626335253540061
G02_食用油,r_G08,-0.052557511639735
G02_食用油,r_G09,0.566355866386698
G02_食用油,low_income,-0.0352251777096333
G02_食用油,elderly_household,-0.059242300627772
G02_食用油,large_family,0.244623074107287
G02_食用油,mean_y_easi_hh,-0.273205923541871
G02_食用油,z_cpi_yoy_prev_year_100,0.0044889816210385
G02_食用油,z_covid_log,-0.0212916320805385
G02_食用油,z_holiday_days,0.0422560834090974
G02_食用油,z_temp_avg_c_mean,-0.0555324756570792
G02_食用油,z_precip_log,-0.00280933509988395
G02_食用油,z_wholesale_agri_200_mean,0.0452380274917586
G02_食用油,factor(month)02,-0.149338140585581
G02_食用油,factor(month)03,-0.0378484226209104
G02_食用油,factor(month)04,-0.0385851598773161
G02_食用油,factor(month)05,-0.0544686499710513
G02_食用油,factor(month)06,0.059163090908359
G02_食用油,factor(month)07,0.0982872633178239
G02_食用油,factor(month)08,0.109327985893676
G02_食用油,factor(month)09,0.143849872209215
G02_食用油,factor(month)10,-0.0682950633436815
G02_食用油,factor(month)11,0.0384952676381948
G02_食用油,factor(month)12,-0.0788489715902576
G02_食用油,factor(year)2021,-0.0700969654437677
G02_食用油,factor(year)2022,-0.156340034042377
G03_蔬菜,(Intercept),-2.56364532003967
G03_蔬菜,y_easi,0.383139722838801
G03_蔬菜,r_G01,0.712505084656007
G03_蔬菜,r_G02,0.983278984592211
G03_蔬菜,r_G03,-0.0432921313626769
G03_蔬菜,r_G04,-0.508045786599448
G03_蔬菜,r_G05,-0.307784558469846
G03_蔬菜,r_G06,0.759806133616749
G03_蔬菜,r_G07,-0.0845959437390361
G03_蔬菜,r_G08,-0.600697868736544
G03_蔬菜,r_G09,-1.22120635547891
G03_蔬菜,low_income,-0.0127411506356439
G03_蔬菜,elderly_household,-0.116867572517707
G03_蔬菜,large_family,0.432334725244669
G03_蔬菜,mean_y_easi_hh,0.29996773558689
G03_蔬菜,z_cpi_yoy_prev_year_100,-0.00376584586369718
G03_蔬菜,z_covid_log,-0.0200642392481056
G03_蔬菜,z_holiday_days,-0.0988310520356725
G03_蔬菜,z_temp_avg_c_mean,-0.0338864109865169
G03_蔬菜,z_precip_log,-0.00571333879946903
G03_蔬菜,z_wholesale_agri_200_mean,0.0468721578923345
G03_蔬菜,factor(month)02,0.104409919470056
G03_蔬菜,factor(month)03,0.153660596688454
G03_蔬菜,factor(month)04,0.279810245000907
G03_蔬菜,factor(month)05,0.336242598633768
G03_蔬菜,factor(month)06,0.235247932115247
G03_蔬菜,factor(month)07,0.180947403707153
G03_蔬菜,factor(month)08,0.171642995401753
G03_蔬菜,factor(month)09,0.146669714318822
G03_蔬菜,factor(month)10,0.363925643792024
G03_蔬菜,factor(month)11,0.113438978350347
G03_蔬菜,factor(month)12,0.0726228498286429
G03_蔬菜,factor(year)2021,0.187130883959983
G03_蔬菜,factor(year)2022,0.0929013710967204
G04_水果,(Intercept),-2.15144079610193
G04_水果,y_easi,0.428012343160742
G04_水果,r_G01,0.573399287005568
G04_水果,r_G02,0.516283050099469
G04_水果,r_G03,0.137344464432863
G04_水果,r_G04,-0.726866245697523
G04_水果,r_G05,-0.100952517059083
G04_水果,r_G06,0.125078093776208
G04_水果,r_G07,0.969387859517986
G04_水果,r_G08,-0.495700659807404
G04_水果,r_G09,-1.74535582753287
