Category,Province,year_month,food_group10,internal_log_price_cf,n_internal_obs,n_internal_households,internal_log_price_sd,fold,price_quality_tier
其他肉类,河南省,2022-10,G06_禽类及其他肉类,3.60126807723093,23,18,0.413444555901927,1,B
其他肉类,河北省,2022-11,G06_禽类及其他肉类,3.66700140935305,16,13,0.637873442196484,1,B
其他肉类,山西省,2022-11,G06_禽类及其他肉类,3.9689866245716,10,8,0.435593479798477,1,B
其他肉类,山西省,2022-10,G06_禽类及其他肉类,3.55754731076498,8,7,0.434852575966675,1,B
其他肉类,河北省,2022-09,G06_禽类及其他肉类,3.48686414029729,10,9,0.338119284573122,1,B
其他肉类,河北省,2022-08,G06_禽类及其他肉类,2.86196601931537,9,8,0.757580504765384,1,B
其他肉类,山西省,2022-12,G06_禽类及其他肉类,3.52690777428902,8,8,0.720595669491712,1,B
其他肉类,湖北省,2022-11,G06_禽类及其他肉类,3.73975532836062,17,17,0.504249809640699,1,B
其他肉类,湖北省,2022-12,G06_禽类及其他肉类,3.58166877623555,27,23,0.474272057545613,1,B
其他肉类,安徽省,2022-09,G06_禽类及其他肉类,3.09328834423576,13,9,0.563578915412821,1,B
其他肉类,北京市,2020-03,G06_禽类及其他肉类,3.68763663693532,8,7,0.727086951284724,1,B
其他肉类,河南省,2022-11,G06_禽类及其他肉类,3.71367084643539,28,22,0.46530370274903,1,B
其他肉类,河南省,2022-07,G06_禽类及其他肉类,3.62177994589583,26,23,0.556635977388338,1,B
其他肉类,河南省,2022-08,G06_禽类及其他肉类,3.40281626117434,12,11,0.547324716098504,1,B
其他肉类,河南省,2022-09,G06_禽类及其他肉类,3.53651488454371,24,18,0.543402266915843,1,B
其他肉类,河南省,2022-12,G06_禽类及其他肉类,3.69156185543624,38,35,0.462476676026075,1,B
其他肉类,吉林省,2022-10,G06_禽类及其他肉类,3.79854738509838,9,9,0.284978971860668,1,B
其他肉类,吉林省,2022-12,G06_禽类及其他肉类,3.54290594520867,8,8,0.521761209550235,1,B
其他肉类,北京市,2020-11,G06_禽类及其他肉类,4.56839619773678,1,1,,1,B
其他肉类,北京市,2021-08,G06_禽类及其他肉类,3.25844709177515,10,7,0.744136334518469,1,B
其他肉类,北京市,2021-11,G06_禽类及其他肉类,3.62587822197305,12,11,0.694305521631086,1,B
其他肉类,北京市,2022-11,G06_禽类及其他肉类,3.46311204018553,16,15,0.577703116296552,1,B
其他肉类,北京市,2020-04,G06_禽类及其他肉类,3.86449150448397,3,3,0.391436987195542,1,B
其他肉类,北京市,2022-01,G06_禽类及其他肉类,3.35646023458895,11,10,0.904320794295824,1,B
其他肉类,黑龙江省,2022-10,G06_禽类及其他肉类,3.21119650795874,13,12,0.44578143014641,1,B
其他肉类,黑龙江省,2022-12,G06_禽类及其他肉类,3.3019595081752,15,12,0.465656612377722,1,B
其他肉类,北京市,2020-05,G06_禽类及其他肉类,3.91985872165242,6,5,0.489076492683942,1,B
其他肉类,北京市,2021-12,G06_禽类及其他肉类,3.52705944144259,18,15,0.532095116441933,1,B
其他肉类,辽宁省,2022-10,G06_禽类及其他肉类,3.52659754593831,26,21,0.618473262504388,1,B
其他肉类,北京市,2022-05,G06_禽类及其他肉类,3.40863646465251,18,15,0.726597593236064,1,B
其他肉类,北京市,2022-06,G06_禽类及其他肉类,3.55116996417525,26,21,0.65574994907582,1,B
其他肉类,北京市,2022-10,G06_禽类及其他肉类,3.47036448522822,15,15,0.542342280123657,1,B
其他肉类,北京市,2020-10,G06_禽类及其他肉类,4.35106141807172,3,3,0.507147139686907,1,B
其他肉类,北京市,2021-02,G06_禽类及其他肉类,3.70646303431863,8,8,0.49339506318535,1,B
其他肉类,北京市,2021-01,G06_禽类及其他肉类,3.41855351945549,10,9,0.676126579282945,1,B
其他肉类,广东省,2022-08,G06_禽类及其他肉类,3.15557028257144,41,30,0.555115773537096,1,B
其他肉类,湖南省,2022-09,G06_禽类及其他肉类,3.61743199312069,9,8,0.535130872412877,1,B
其他肉类,湖南省,2022-12,G06_禽类及其他肉类,3.51949866847322,16,13,0.517937309884862,1,B
其他肉类,湖南省,2022-11,G06_禽类及其他肉类,3.45878223054394,8,5,0.168326604826314,1,B
其他肉类,北京市,2022-02,G06_禽类及其他肉类,3.65863445211393,9,9,0.607876448894715,1,B
其他肉类,北京市,2022-07,G06_禽类及其他肉类,3.57018475449701,14,10,0.863040138158108,1,B
其他肉类,浙江省,2022-09,G06_禽类及其他肉类,3.94289537157497,12,11,0.643128615088721,1,B
其他肉类,湖北省,2022-08,G06_禽类及其他肉类,3.63804685394089,10,10,0.505235489655919,1,B
其他肉类,湖北省,2022-06,G06_禽类及其他肉类,3.60481277295653,5,5,0.680839499469328,1,B
其他肉类,四川省,2022-10,G06_禽类及其他肉类,3.43829205403135,19,18,0.569331033180631,1,B
其他肉类,陕西省,2022-07,G06_禽类及其他肉类,3.02311461959315,7,6,0.782648416588254,1,B
其他肉类,陕西省,2022-10,G06_禽类及其他肉类,3.4411755366419,18,16,0.553565745904077,1,B
其他肉类,陕西省,2022-12,G06_禽类及其他肉类,3.61987011283911,20,16,0.540567759910685,1,B
其他肉类,山东省,2022-06,G06_禽类及其他肉类,3.18799394498488,27,25,0.792711826122734,1,B
其他肉类,山东省,2022-11,G06_禽类及其他肉类,3.36187939666284,36,28,0.614488580215985,1,B
其他肉类,山东省,2022-10,G06_禽类及其他肉类,3.22921069969584,30,29,0.637430043145709,1,B
其他肉类,山东省,2022-12,G06_禽类及其他肉类,3.09434152343093,31,26,0.665124717616981,1,B
其他肉类,山东省,2022-07,G06_禽类及其他肉类,3.32640773525054,24,22,0.612357669814371,1,B
其他肉类,山东省,2022-09,G06_禽类及其他肉类,3.25830198057651,20,15,0.639034021128312,1,B
其他肉类,福建省,2022-12,G06_禽类及其他肉类,3.7858895761533,11,11,0.602390892692892,1,B
其他肉类,广东省,2022-09,G06_禽类及其他肉类,3.64175814536816,34,29,0.649619388686039,1,B
