Category,food_group10,price_quality_tier,heterogeneity_tier,internal_uv_allowed_main,n_rows,n_valid_uv,zero_volume_share_when_spend_positive,median_abs_log_gap
其他肉类,G06_禽类及其他肉类,B,B,TRUE,21546,7926,0.631068411770166,0
坚果,G10_坚果,C,C,FALSE,285612,210390,0.262429449743008,0
大米,G01_主食,A,A,TRUE,221416,139540,0.368898363261914,0
奶酪,G09_乳制品,B,B,TRUE,28637,28592,0,0
常温牛奶,G09_乳制品,B,B,TRUE,373635,373430,0,0
常温酸奶,G09_乳制品,B,B,TRUE,190172,189941,0,0
成人奶粉,G09_乳制品,B,B,TRUE,66710,66664,0,0
挂面,G01_主食,B,B,TRUE,165394,165266,0.000108831033773897,0
新鲜牛奶,G09_乳制品,B,B,TRUE,102860,102460,0,0
新鲜酸奶,G09_乳制品,B,B,TRUE,317318,316344,0,0
方便面,G01_主食,B,B,TRUE,244052,243966,0,0
水果,G04_水果,C,C,FALSE,1985383,5924,0.996745716065867,0
海鲜类,G08_海鲜,C,C,FALSE,796116,19455,0.97540308196293,0
牛肉,G07_牛羊肉,C,A,FALSE,271026,26738,0.901208740120874,0
猪肉,G05_猪肉,C,A,FALSE,828304,8842,0.989224970542216,0
禽类,G06_禽类及其他肉类,C,B,FALSE,462591,37715,0.918180422878958,0
羊肉,G07_牛羊肉,C,A,FALSE,71556,6703,0.906115489965901,0
蔬菜,G03_蔬菜,C,C,FALSE,3541705,14219,0.995602965238494,0
面粉,G01_主食,A,A,TRUE,97401,70604,0.274740505744294,0
食用油,G02_食用油,B,B,TRUE,278712,278411,0,0
黄油,G09_乳制品,B,B,TRUE,69961,69876,0,0
