crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_labor_hired,w_mach,w_fert,w_seed,w_other,w_seed_src,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
rice_mid_indica,云南,xinan,2008,643.54,514.6,0.538303757342201,0.14111010970569,0.195481244367095,0.039935357553532,0.0851695310314821,21.6,28.75,68.375,5.34409515717927,11.3215859030837,21.0616698141482,obs,15.27,23.54,346.42,90.81,125.8,25.7,54.81,118.49,1.6
rice_mid_indica,云南,xinan,2009,695.01,479.61,0.545301506453145,0.152184860649487,0.154688421749327,0.055697040330355,0.0921281708176861,24.8,31.4,70.625,5.05216165413534,18.8829268292683,21.0015818048932,obs,14.69,21.28,378.99,105.77,107.51,38.71,64.03,113.57,1.69
rice_mid_indica,云南,xinan,2010,724.2,453.61,0.596989781828224,0.132988124827396,0.12085059375863,0.0727147196906932,0.0764567798950566,31.3,32.97,70,4.71044133476857,28.1604278074866,21.408547442792,obs,13.72,18.58,432.34,96.31,87.52,52.66,55.37,137.18,2.54
rice_mid_indica,云南,xinan,2011,904.7,484.15,0.598728860395711,0.142246048413839,0.122372057035481,0.0645738918978667,0.0720791422571018,40,45.36,75.6086569117585,5.50248508946322,31.4086021505376,25.3653088810359,obs,13.32,20.12,541.67,128.69,110.71,58.42,65.21,153.47,3.09
rice_mid_indica,云南,xinan,2012,1126.95,488.62,0.65070322552021,0.128293180708993,0.103048050046586,0.062194418563379,0.0557611251608323,56,53.97,81.6667,6.33897379912664,38.510989010989,21.5878928998874,obs,13.14,18.32,733.31,144.58,116.13,70.09,62.84,166.94,3.93
rice_mid_indica,云南,xinan,2013,1290.23,509.6,0.672259984653899,0.121799989149221,0.0958123745378731,0.0571526006991002,0.0529750509599064,68,59.54,94.7804673970329,6.08965517241379,36.6865671641791,20.278813429391,obs,12.91,20.3,867.37,157.15,123.62,73.74,68.35,184.59,1.57
rice_mid_indica,云南,xinan,2014,1341.11,524.32,0.660497647471125,0.131503008701747,0.0865253409489155,0.0587796675887884,0.0626943352894245,74.4,63.12,110,5.60579710144928,45.0457142857143,23.6833329733326,obs,12.07,20.7,885.8,176.36,116.04,78.83,84.08,205.4,1.94
rice_mid_indica,云南,xinan,2015,1343.58,515.93,0.678783548430313,0.128380892838536,0.0791541999732059,0.0590437487905447,0.0546376099674005,78,69.75,110,5.5797481636936,44.3184357541899,27.5922192492258,obs,11.85,19.06,912,172.49,106.35,79.33,73.41,213.94,1.81
rice_mid_indica,云南,xinan,2016,1294.0822,515,0.655416016076877,0.13883971203684,0.0836654734915603,0.0686432438372153,0.053435554557508,81.4,81.513,110,5.41620810405203,54.4969325153374,32.1462593104866,obs,10.42,19.99,848.1622,179.67,108.27,88.83,69.15,237.99,4.35
rice_mid_indica,云南,xinan,2017,1352.8509,537.71,0.647426039336633,0.153113694938592,0.0738440577598019,0.0716930446658978,0.0539231632990746,83.1,88.618,110,5.52544247787611,61,32.7006728841855,obs,10.45,18.08,875.8709,207.14,99.9,96.99,72.95,250.1,4.67
