crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_labor_hired,w_mach,w_fert,w_seed,w_other,w_seed_src,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
soybean,云南,xinan,2004,299.11,129.4,0.628029821804687,0.114339206312059,0.0853197820199926,0.101133362308181,0.0711778275550801,11.55,11.55,22.2630395822307,3.1389913899139,3.4375,17.8166982069819,obs,13.76,8.13,187.85,34.2,25.52,30.25,21.29,40.97,4
soybean,云南,xinan,2005,409.59,118.2,0.7509704826778,0.0715593642422911,0.0474865109011451,0.0778827608095901,0.0521008813691741,10.88,10.88,27.6276185898605,3.07753164556962,3.87606318347509,19.207544167496,obs,20.15,6.32,307.59,29.31,19.45,31.9,21.34,50.51,0.64
soybean,云南,xinan,2006,315.63,121.3,0.628077178975383,0.118398124386148,0.101542945854323,0.0868421886385958,0.0651395621455502,18.16,18.16,32.9167,3.73978996499417,3.82287308228731,20.425856444319,obs,11.73,8.57,198.24,37.37,32.05,27.41,20.56,51.3,1.46
soybean,云南,xinan,2007,322.65,96,0.657833565783357,0.112071904540524,0.0876181620951496,0.0938168293816829,0.0486595381992872,24.49,24.49,36.875,3.86730506155951,4.62137404580153,21.7868547987338,obs,11.35,7.31,212.25,36.16,28.27,30.27,15.7,60.33,0.15
soybean,内蒙古,dongbei,2004,161.33,60.8,0.349408045620777,0.191037004896795,0.15595363540569,0.164817454906093,0.138783859170644,26.5,26.5,17.5277689934107,5.21991701244813,4.56089193825043,10.3230131412198,obs,3.89,4.82,56.37,30.82,25.16,26.59,22.39,49.03,7.71
soybean,内蒙古,dongbei,2005,236.46,124.1,0.533282584792354,0.160576841749133,0.131819335194113,0.0958724520003383,0.0784487862640616,30.11,30.11,18.0336612688078,6.33536585365854,3.99823633156967,12.0036509232982,obs,7.69,4.92,126.1,37.97,31.17,22.67,18.55,62.52,1.61
soybean,内蒙古,dongbei,2006,201.77,70.9,0.406849382960797,0.249491995836844,0.173464836199633,0.102344253357784,0.0678495316449423,41.5,41.5,17.9167,5.65428109854604,3.68092691622103,13.835674660837,obs,4.77,6.19,82.09,50.34,35,20.65,13.69,66.22,3.07
soybean,内蒙古,dongbei,2007,211.61,76.6,0.496857426397618,0.155994518217476,0.145976088086574,0.136950049619583,0.0642219176787486,27.28,27.28,18.75,4.50291545189504,5.22162162162162,15.9059709504534,obs,5.54,6.86,105.14,33.01,30.89,28.98,13.59,75.72,7.95
soybean,内蒙古,dongbei,2008,239.19,114,0.439148793845897,0.156946360633806,0.186169990384213,0.147205150717003,0.0705297044190811,52,52,21.75,6.47238372093023,6.65595463137996,20.8438899137971,obs,4.68,6.88,105.04,37.54,44.53,35.21,16.87,76.17,6.39
soybean,内蒙古,dongbei,2009,272.08,98.68,0.475705674801529,0.20824757424287,0.12933695971773,0.131836224639812,0.0548735665980594,54.15,54.15,20,5.14473684210526,7.39587628865979,18.2757271779608,obs,5.01,6.84,129.43,56.66,35.19,35.87,14.93,130.65,7.98
soybean,内蒙古,dongbei,2010,282.1,163.41,0.380857851825594,0.333002481389578,0.133817795108118,0.104147465437788,0.0481744062389224,79.92,79.92,20,4.9025974025974,6.99523809523809,15.8315119000658,obs,3.39,7.7,107.44,93.94,37.75,29.38,13.59,134.17,10.59
soybean,内蒙古,dongbei,2011,337.72,130.33,0.447826601918749,0.286006158948241,0.121935331043468,0.11405898377354,0.0301729243160014,93.58,93.58,24.4948974278318,5.68,7.82926829268293,18.1300595439353,obs,3.12,7.25,151.24,96.59,41.18,38.52,10.19,113.94,13.15
soybean,内蒙古,dongbei,2012,361.51,151.14,0.400929434870405,0.287128986750021,0.180409947166053,0.0883792979447318,0.0431523332687892,47.4,47.4,30,6.22328244274809,6.65625,22.7797207998982,obs,2.59,10.48,144.94,103.8,65.22,31.95,15.6,113.62,18.26
soybean,内蒙古,dongbei,2013,321.76,152.16,0.343081800099453,0.375808055693685,0.1347588264545,0.0997327200397812,0.0466185977125808,59.2,59.2,36.7423461417477,6.44279346210996,6.65767634854772,23.914290973876,obs,1.62,6.73,110.39,120.92,43.36,32.09,15,149.62,13.7
soybean,内蒙古,dongbei,2014,267.88,130.88,0.277362998357473,0.311557413767359,0.17675824996267,0.143683738987606,0.0906375989248918,115.29,115.29,45,5.67065868263473,6.67071057192375,23.9043688434423,obs,0.9,8.35,74.3,83.46,47.35,38.49,24.28,216.1,48.53
soybean,内蒙古,dongbei,2015,265.85,95.89,0.239270265187136,0.353695693059996,0.175098739890916,0.139853300733496,0.0920820011284559,121.04,121.04,45,5.84065244667503,6.26981450252951,23.9918585186053,obs,0.71,7.97,63.61,94.03,46.55,37.18,24.48,193.46,41.94
soybean,内蒙古,dongbei,2016,250.709,61.05,0.236724648895732,0.346218125396376,0.173228723340606,0.145268019895576,0.0985604824717102,124.065,124.065,45,5.40174129353234,5.98029556650246,24.0349591634632,obs,0.64,8.04,59.349,86.8,43.43,36.42,24.71,193.7,42.24
soybean,内蒙古,dongbei,2017,248.4801,112.87,0.230280412797645,0.350812801508048,0.172005726011862,0.165566578571081,0.0813344811113647,128.581,128.581,45,5.36934673366834,7.57642725598527,23.8087159426359,obs,0.6,7.96,57.2201,87.17,42.74,41.14,20.21,191.89,28.64
soybean,内蒙古,dongbei,2018,250.87306,96.63,0.227298459228743,0.359624106310977,0.182403004930063,0.150115759739208,0.0805586697910091,123.22,123.22,36.25,5.64938271604938,6.96118299445471,24.4185364279892,obs,0.6,8.1,57.02306,90.22,45.76,37.66,20.21,200.01,31.75
soybean,内蒙古,dongbei,2019,254.28,95.83,0.243078496145981,0.356614755387762,0.174296051596665,0.141182947931414,0.0848277489381784,134.62,134.62,45,5.8936170212766,6.0539629005059,26.2379473583521,obs,0.64,7.52,61.81,90.68,44.32,35.9,21.57,204.7,29.36
soybean,内蒙古,dongbei,2020,268.69,109.52,0.263240165246195,0.346868138002903,0.163757490044289,0.140161524433362,0.0859726822732517,126.76,126.76,45,5.75916230366492,6.52686308492201,25.0650001510058,obs,0.72,7.64,70.73,93.2,44,37.66,23.1,208.69,33.89
soybean,内蒙古,dongbei,2021,286.15,117.17,0.267726716756946,0.326297396470383,0.169177005067272,0.15914730036694,0.0776515813384589,129.62,129.62,45,6.13561470215463,7.93379790940767,24.3988979346266,obs,0.77,7.89,76.61,93.37,48.41,45.54,22.22,226.23,37.03
soybean,内蒙古,dongbei,2022,322.41,127.74,0.253435067150523,0.295648398002543,0.214075245805031,0.146056263763531,0.0907850252783723,152.71,152.71,46.7,8.4068209500609,8.20383275261324,24.9079258209728,obs,0.76,8.21,81.71,95.32,69.02,47.09,29.27,238.88,42.56
soybean,内蒙古,dongbei,2023,565.58,154.66,0.479065737826656,0.17868382898971,0.119594045051098,0.109480533257895,0.113175854874642,137.01,137.01,47.75,7.95764705882353,10.9014084507042,22.7491126832999,obs,2.77,8.5,270.95,101.06,67.64,61.92,64.01,324.85,94.12
soybean,内蒙古,dongbei,2024,328.04,141.41,0.246402877697842,0.316150469454944,0.204304353127667,0.145500548713571,0.0876417510059749,142.55,142.55,47.75,7.72119815668203,8.28645833333333,22.2992651621678,obs,0.74,8.68,80.83,103.71,67.02,47.73,28.75,268.97,54.11
soybean,吉林,dongbei,2004,223.83,179.6,0.494884510566055,0.160255551087879,0.161819237814413,0.10360541482375,0.0794352857079033,23.88,23.88,31.23577530238,5.47129909365559,5.23476297968397,8.65886518782825,obs,6.77,6.62,110.77,35.87,36.22,23.19,17.78,109.47,13.88
soybean,吉林,dongbei,2005,222.38,169.6,0.443789909164493,0.14466228977426,0.218095152441766,0.0968162604550769,0.0966363881644033,26.82,26.82,33.08252709402,6.20998719590269,5.27696078431373,12.9500582106159,obs,5.78,7.81,98.69,32.17,48.5,21.53,21.49,126.98,14.31
soybean,吉林,dongbei,2006,211.56,165.6,0.421393458120628,0.179948950652297,0.227500472679145,0.104840234448856,0.0663168840990736,27.9,27.9,34.3333,4.87145748987854,6.06010928961749,8.4602889653652,obs,4.8,9.88,89.15,38.07,48.13,22.18,14.03,120.8,14.91
soybean,吉林,dongbei,2007,224.95,138.9,0.365992442765059,0.21578128472994,0.251967103800845,0.0905090020004445,0.0757501667037119,38.13,38.13,36.6667,4.75503355704698,5.75141242937853,8.34264096980793,obs,4.07,11.92,82.33,48.54,56.68,20.36,17.04,144.86,16.12
soybean,吉林,dongbei,2008,280.25,186.1,0.309580731489741,0.201891168599465,0.293630686886708,0.12042818911686,0.0744692239072257,44.1,44.1,41.25,6.89773679798827,9.81104651162791,8.21019881130811,obs,3.6,11.93,86.76,56.58,82.29,33.75,20.87,169.31,23.28
soybean,吉林,dongbei,2009,274.77,152.73,0.362193834843687,0.207373439604033,0.256978563889799,0.101830621974743,0.0716235396877388,48.84,48.84,42.5,5.82110469909316,8.08670520231214,8.13557483390424,obs,3.66,12.13,99.52,56.98,70.61,27.98,19.68,172.86,26.19
soybean,吉林,dongbei,2010,295.7,173.88,0.355292526208996,0.228610077781535,0.256307067974298,0.0927629354075076,0.0670273926276632,53.36,53.36,42.5,5.63494423791822,8.28700906344411,8.20006781681595,obs,3.28,13.45,105.06,67.6,75.79,27.43,19.82,186.69,26.12
soybean,吉林,dongbei,2011,355.68,169.83,0.390828834907782,0.234621007647323,0.25,0.080100089968511,0.0444500674763833,72.74,72.74,53.3121702803403,6.73126419379258,8.84782608695652,9.6118357165538,obs,3.42,13.21,139.01,83.45,88.92,28.49,15.81,213.97,30.8
soybean,吉林,dongbei,2012,433.59,181.39,0.44447519546115,0.215595378122189,0.228533868401024,0.0710117853271524,0.0403837726884845,92.64,92.64,66.875,6.89561586638831,9.35866261398176,11.2162440017008,obs,3.36,14.37,192.72,93.48,99.09,30.79,17.51,255.38,35.69
soybean,吉林,dongbei,2013,517.45,175.96,0.494308628853029,0.197700260894772,0.203691177891584,0.0651850420330467,0.0391148903275679,93.63,93.63,69.6307223860273,6.56697819314642,10.3149847094801,13.0766508184426,obs,3.72,16.05,255.78,102.3,105.4,33.73,20.24,275.25,39.43
soybean,吉林,dongbei,2014,519.15,163.79,0.525108350187807,0.184821342579216,0.177675045747857,0.0619088895309641,0.0504863719541558,98.2,98.2,72.5,6.00130123617437,9.28901734104046,15.3055722261457,obs,3.5,15.37,272.61,95.95,92.24,32.14,26.21,288.93,46.86
soybean,吉林,dongbei,2015,505.51,149.09,0.566873058891021,0.154893078277383,0.17097584617515,0.0627287294019901,0.0445292872544559,100.62,100.62,72.5,5.71626984126984,9.40949554896142,17.90288501259,obs,3.49,15.12,286.56,78.3,86.43,31.71,22.51,308.54,49.18
soybean,吉林,dongbei,2016,492.2842,146.76,0.580079961940684,0.153326066528237,0.158526314677579,0.0617529467734288,0.0463147100800716,100.623,100.623,72.5,5.48804500703235,8.49162011173184,20.8621233841934,obs,3.38,14.22,285.5642,75.48,78.04,30.4,22.8,271.59,48.45
soybean,吉林,dongbei,2017,476.2854,143.2,0.546931314711725,0.151001899281397,0.193770373813684,0.0627564901212592,0.0455399220719342,103.958,103.958,74.1667,5.92742453436095,8.49147727272727,20.7184154794979,obs,2.95,15.57,260.4954,71.92,92.29,29.89,21.69,237.78,41.42
soybean,吉林,dongbei,2018,497.98981,143.41,0.558023084849869,0.167453225599134,0.170846869336543,0.057571459142909,0.0461053610715448,102.796,102.796,75,6.31157270029674,7.94182825484765,22.4687626469485,obs,3.11,13.48,277.88981,83.39,85.08,28.67,22.96,278.9,47.2
soybean,吉林,dongbei,2019,481.24,157.99,0.538317679328402,0.183899925193251,0.171764608095753,0.0602817720887707,0.0457360152938243,115.66,115.66,75,6.39288476411446,8.24147727272727,20.6186694258107,obs,2.77,12.93,259.06,88.5,82.66,29.01,22.01,268.26,45.03
soybean,吉林,dongbei,2020,531.21,137.53,0.563807157244781,0.177876922497694,0.154044539824175,0.0580561359914158,0.0462152444419345,187.82,187.82,75,6.02133922001472,8.91329479768786,20.1484107129808,obs,2.54,13.59,299.5,94.49,81.83,30.84,24.55,289.86,31.98
soybean,吉林,dongbei,2021,514.13,149.56,0.509851593954836,0.179468227880108,0.19590375974948,0.0667729951568669,0.0480034232587089,139.99,139.99,75,6.59593975114604,10.3403614457831,21.210425290688,obs,2.5,15.27,262.13,92.27,100.72,34.33,24.68,330.95,50.81
soybean,吉林,dongbei,2022,553.98,149.65,0.4651972995415,0.177677894508827,0.246759810823495,0.0680529983031878,0.04231199682299,136.48,136.48,49.75,8.3968058968059,11.2874251497006,28.9959504351519,obs,2.43,16.28,257.71,98.43,136.7,37.7,23.44,393.52,64.21
soybean,吉林,dongbei,2023,798.87,144.31,0.625533566162204,0.123098877163994,0.163067833314557,0.0502459724360659,0.038053750923179,145.87,145.87,49.75,8.48664495114007,7.47486033519553,27.6863673006207,obs,5.16,15.35,499.72,98.34,130.27,40.14,30.4,587.03,85.33
soybean,吉林,dongbei,2024,538.04,149.29,0.486636681287637,0.182384209352465,0.209185190692142,0.072448145119322,0.0493457735484351,141.83,141.83,49.75,7.50833889259506,11.2011494252874,25.5658515338908,obs,2.38,14.99,261.83,98.13,112.55,38.98,26.55,549.54,79.18
soybean,四川,xinan,2019,491.07,111.31,0.892296413953204,0.0216669721221007,0.0093062088907895,0.0583419879039648,0.0183884171299407,69.78,69.78,90,5.7125,5,29.1322817748433,obs,5.09,0.8,438.18,10.64,4.57,28.65,9.03,108.41,1.08
soybean,四川,xinan,2020,514.74,101.57,0.888215409721413,0.0176399735788942,0.0117729339083809,0.0588452422582275,0.0235264405330847,95.42,95.42,90,5.77142857142857,6.03386454183267,33.4125227479069,obs,5.09,1.05,457.2,9.08,6.06,30.29,12.11,99.52,1.04
soybean,四川,xinan,2021,547.12,135.61,0.886752449188478,0.01641321830677,0.0118621143442024,0.0624543061851148,0.022517911975435,102.29,102.29,90,5.9,6.834,33.3859401452878,obs,5.26,1.1,485.16,8.98,6.49,34.17,12.32,106.71,1.69
soybean,四川,xinan,2022,578.64,111.8,0.876347988386562,0.0152772017143647,0.0138600857182359,0.0690757638600857,0.0254389603207521,106.97,106.97,130,6.73949579831933,7.21480144404332,33.4326686383313,obs,5.32,1.19,507.09,8.84,8.02,39.97,14.72,108.25,1.85
soybean,四川,xinan,2023,571.77,122.53,0.873987792294104,0.0161778337443378,0.0141665354950417,0.0640642216275775,0.0316036168389387,85.1,85.1,130,9,6.82122905027933,33.4326686383313,obs,5.16,0.9,499.72,9.25,8.1,36.63,18.07,114.97,1.95
soybean,四川,xinan,2024,588.01,121.01,0.870886549548477,0.0160201357119777,0.0206459073825275,0.0638764646859747,0.028570942671043,110.91,110.91,130,6.67032967032967,6.46471600688468,32.7207624851511,obs,5.13,1.82,512.09,9.42,12.14,37.56,16.8,118.41,2.03
soybean,安徽,changjiang,2004,154.69,129.6,0.558665718533842,0.0914086236990109,0.0987135561445472,0.173508306936454,0.0777037946861465,20.39,20.39,41.0177593496699,3.8175,3.77496483825598,9.11094686173444,obs,6.22,4,86.42,14.14,15.27,26.84,12.02,29.33,1.2
soybean,安徽,changjiang,2005,155.93,103.2,0.539280446354133,0.109536330404669,0.0996601038927724,0.166933880587443,0.0845892387609825,24.13,24.13,43.04550665743,4.32869080779944,3.7132667617689,12.7125264120666,obs,5.45,3.59,84.09,17.08,15.54,26.03,13.19,32.06,0.78
soybean,安徽,changjiang,2006,197.04,131.2,0.596579374746245,0.0940418189200162,0.0939403166869671,0.153623629719854,0.0618148599269184,31.33,31.33,45,4.21640091116173,3.91085271317829,17.4870287605772,obs,6.93,4.39,117.55,18.53,18.51,30.27,12.18,25.65,0.59
soybean,安徽,changjiang,2007,191.15,121.3,0.55568924928067,0.105623855610777,0.0791001831022757,0.162490190949516,0.0970965210567617,23.5,23.5,47.5,4.42105263157895,4.29598893499308,24.0375608932477,obs,5.68,3.42,106.22,20.19,15.12,31.06,18.56,32.69,1.26
soybean,安徽,changjiang,2008,236.95,138.5,0.465752268411057,0.150622494197088,0.0829710909474573,0.222198776113104,0.0784553703312935,50,50,49.75,6.89824561403509,7.64150943396226,30.8132317073772,obs,5.07,2.85,110.36,35.69,19.66,52.65,18.59,50.03,1.52
soybean,安徽,changjiang,2009,228.52,134.54,0.531769648170839,0.163749343602311,0.0624453001925433,0.156922807631717,0.0851129004025906,32.2,32.2,52.7083,4.83728813559322,5.21220930232558,31.4628085664952,obs,4.9,2.95,121.52,37.42,14.27,35.86,19.45,77.06,3.5
soybean,安徽,changjiang,2010,264.41,128.5,0.535872319503801,0.16194546348474,0.0605120835066752,0.166559509852124,0.0751106236526606,60.5,60.5,54.375,4.74777448071217,6.30042918454936,30.736877188794,obs,4.53,3.37,141.69,42.82,16,44.04,19.86,96.5,4.64
soybean,安徽,changjiang,2011,266.46,134.49,0.519252420625985,0.176048937926893,0.0654131952263004,0.152931021541695,0.0863544246791263,78,78,61.6948133962653,5.81,5.95760233918129,28.6026533782932,obs,3.46,3,138.36,46.91,17.43,40.75,23.01,126.84,5.51
soybean,安徽,changjiang,2012,343.73,150.38,0.543653448927938,0.167427923079161,0.055217758124109,0.146306694207663,0.0873941756611294,58.04,58.04,70,6.5,7.6544901065449,30.0292768900504,obs,3.34,2.92,186.87,57.55,18.98,50.29,30.04,146.92,11.7
soybean,安徽,changjiang,2013,382.29,127.26,0.590729550864527,0.155431740301865,0.0487849538308614,0.12600381909022,0.0790499359125271,66.57,66.57,66.5832636628755,6.54385964912281,7.15750371471025,24.2260291233301,obs,3.32,2.85,225.83,59.42,18.65,48.17,30.22,164.24,21.7
soybean,安徽,changjiang,2014,430.49,114.72,0.633440962623987,0.152221886687263,0.0367952797974401,0.11774954122047,0.0597923296708402,97.29,97.29,63.3333,5.71841155234657,7.38921282798834,24.2415115734364,obs,3.66,2.77,272.69,65.53,15.84,50.69,25.74,203.88,23.27
soybean,安徽,changjiang,2015,405.31,151.53,0.573437615652217,0.165157533739607,0.0474945103747749,0.114825688978806,0.0990846512545953,62,62,66.6667,4.98704663212435,7.37559429477021,24.2415115734364,obs,2.98,3.86,232.42,66.94,19.25,46.54,40.16,208.36,27.63
soybean,安徽,changjiang,2016,409.841,126.77,0.592036911875581,0.160501267564739,0.0388199326080114,0.11719178901086,0.0914500989408088,68.9568588405971,68.9568588405971,60,4.80664652567976,8.01836393989983,24.2514477211042,obs,2.98,3.31,242.641,65.78,15.91,48.03,37.48,223.17,44.69
soybean,安徽,changjiang,2017,420.8705,124.67,0.60066101092854,0.146957318224965,0.0357354578189728,0.11240987429625,0.104236338731272,76.6943287284199,76.6943287284199,60,6.34599156118143,7.80693069306931,22.8289730479556,obs,3.04,2.37,252.8005,61.85,15.04,47.31,43.87,226.73,34.16
soybean,安徽,changjiang,2018,421.41176,107.18,0.601102731447267,0.154670576824909,0.019102456941401,0.118814909199496,0.106309325586927,85.3,85.3,60,5.59027777777778,8.10194174757282,24.2721248531258,obs,2.98,1.44,253.31176,65.18,8.05,50.07,44.8,227.74,38.4
soybean,安徽,changjiang,2019,424.38,123.44,0.605118054573731,0.155709505631745,0.0289363306470616,0.114425750506621,0.0958103586408407,74.8042779525343,74.8042779525343,64,5.73831775700935,7.90879478827362,25.7996980683364,obs,2.97,2.14,256.8,66.08,12.28,48.56,40.66,236.15,39.7
soybean,安徽,changjiang,2020,384.54,135.53,0.547745358090186,0.162531856243824,0.0392937015655068,0.125240547147241,0.125188536953243,65.6,65.6,65.25,5.49454545454545,7.86928104575163,26.3153446305082,obs,2.35,2.75,210.63,62.5,15.11,48.16,48.14,263.35,48.31
soybean,安徽,changjiang,2021,403.17,142.91,0.518813403775082,0.168588932708287,0.049185207232681,0.128109730386686,0.135302725897264,107.3,107.3,65.0833,6.81443298969072,8.4672131147541,25.7787061427333,obs,2.27,2.91,209.17,67.97,19.83,51.65,54.55,269.43,58.54
soybean,安徽,changjiang,2022,437.21,155.67,0.487431668992018,0.174172594405434,0.0627616019761671,0.165641225040598,0.109992909585783,126.3,126.3,70,9.05610561056106,11.3333333333333,26.2865526436261,obs,2.23,3.03,213.11,76.15,27.44,72.42,48.09,293.77,66.05
