crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_labor_hired,w_mach,w_fert,w_seed,w_other,w_seed_src,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
wheat,上海,changjiang,2004,173.06,281.3,0.223217381255056,0.260892176123888,0.311452675372703,0.104125736738703,0.10031203050965,17.23,17.23,29.0892675709989,3.4796642995481,1.5066889632107,11.5844690749618,obs,2.82,15.49,38.63,45.15,53.9,18.02,17.36,34,11.02
wheat,上海,changjiang,2005,202.12,276.5,0.304324163863052,0.187809222244211,0.3514743716604,0.0988521670294874,0.0575400752028498,31.71,31.71,31.0457294360919,3.62079510703364,1.60096153846154,13.1872778755065,obs,4.02,19.62,61.51,37.96,71.04,19.98,11.63,174.28,45.73
wheat,上海,changjiang,2006,207.1,293.4,0.268469338483824,0.257122163206181,0.319507484307098,0.100434572670208,0.0544664413326895,30.07,30.07,32.8125,3.54989270386266,1.66666666666667,14.783768011915,obs,3.29,18.64,55.6,53.25,66.17,20.8,11.28,105.7,37.53
wheat,上海,changjiang,2007,215.16,289.8,0.28680981595092,0.219418107454917,0.321016917642684,0.122141662018963,0.0506134969325153,33.2,33.2,33.3333,3.72345013477089,2.27729636048527,17.7418412814031,obs,3.3,18.55,61.71,47.21,69.07,26.28,10.89,121.44,47
wheat,云南,xinan,2004,280.92,182.3,0.609319379182686,0.10397978072049,0.132208457923964,0.0604442545920547,0.0940481275808059,14.23,14.23,22.2630395822307,1.48619447779112,1.48556430446194,17.8166982069819,obs,12.47,24.99,171.17,29.21,37.14,16.98,26.42,44.52,2.42
wheat,云南,xinan,2005,308.91,180.8,0.610533812437279,0.103363439189408,0.142306820756855,0.0649703797222492,0.0788255478942087,14.87,14.87,27.6276185898605,4.20267686424474,1.78083407275954,19.207544167496,obs,12.35,10.46,188.6,31.93,43.96,20.07,24.35,61.52,1.76
wheat,云南,xinan,2006,301.23,193.4,0.602795206320752,0.112936958470272,0.147960030541447,0.0734654582876871,0.0628423463798427,17.43,17.43,32.9167,4.0703196347032,1.93782837127846,20.425856444319,obs,10.73,10.95,181.58,34.02,44.57,22.13,18.93,51.99,2.79
wheat,云南,xinan,2007,337.35,200.2,0.601808211056766,0.106032310656588,0.146227953164369,0.0747887950200089,0.0711427301022677,20.73,20.73,36.875,4.07685950413223,2.21315789473684,21.7868547987338,obs,10.8,12.1,203.02,35.77,49.33,25.23,24,58.42,1.7
wheat,云南,xinan,2008,375.11,182.8,0.599184239289808,0.107301858121618,0.151395590626749,0.0795499986670577,0.0625683132947669,28.52,28.52,68.375,4.90414507772021,2.28134556574924,21.9705722270683,obs,10.3,11.58,224.76,40.25,56.79,29.84,23.47,67.74,3
wheat,云南,xinan,2009,378.25,184.83,0.58857898215466,0.14128222075347,0.135888962326504,0.0699272967614012,0.0643225380039656,29.88,29.88,70.625,5.03921568627451,2.52626552053486,22.120661081751,obs,8.93,10.2,222.63,53.44,51.4,26.45,24.33,79.71,2.48
wheat,云南,xinan,2010,430.54,100.9,0.636270729781205,0.120406930831049,0.112184698285874,0.0730942537278766,0.0580433873739955,36.78,36.78,70,4.64423076923077,2.75569176882662,22.7226713058264,obs,8.7,10.4,273.94,51.84,48.3,31.47,24.99,71.22,
wheat,云南,xinan,2011,551.89,208.85,0.64328036384062,0.115548388265778,0.126746271902009,0.0585805142329087,0.0558444617586838,45.63,45.63,75.6086569117585,5.18916913946588,2.71224832214765,27.1736783021718,obs,8.82,13.48,355.02,63.77,69.95,32.33,30.82,108.91,0.94
wheat,云南,xinan,2012,677.14,181.46,0.703916472221402,0.103848539445314,0.093732463006173,0.0503883982632838,0.0481141270638273,52.3,52.3,81.6667,5.5287456445993,2.88401829419524,22.6063985942222,interp,8.53,11.48,476.65,70.32,63.47,34.12,32.58,121.58,1.62
wheat,云南,xinan,2013,789.77,174.89,0.726072147587272,0.10496726895172,0.0820238803702344,0.0448485001962597,0.0420882028945136,58.01,58.01,94.7804673970329,5.53202391118702,3.06666666666667,21.0427282543097,obs,8.5,11.71,573.43,82.9,64.78,35.42,33.24,128.3,0.94
wheat,云南,xinan,2014,843.99,203.98,0.716347350087086,0.105131577388358,0.0752378582684629,0.0594438322728942,0.0438393819831989,74.78,74.78,110,5.20491803278689,4.33996539792388,24.9757588322684,obs,8.13,12.2,604.59,88.73,63.5,50.17,37,139.36,2.72
wheat,云南,xinan,2015,844.89,205.65,0.725845968114192,0.109978813810082,0.0727313614790091,0.0450591201221461,0.0463847364745707,79.44,79.44,110,4.91993594875901,3.2961038961039,29.619711603329,obs,7.86,12.49,613.26,92.92,61.45,38.07,39.19,140.43,0.58
wheat,云南,xinan,2016,922.969,206.56,0.739893755911629,0.100935134332789,0.0768823221581657,0.0419515715045684,0.0403372160928482,78.791,78.791,110,4.9346314325452,3.36695652173913,35.1271535474184,obs,8.4,14.38,682.899,93.16,70.96,38.72,37.23,131.45,1.92
