crop,province,year,variable,unit,value,source
corn,安徽,2019,保险费,元,14.25,pdf_patch:2020.pdf
corn,安徽,2019,修理维护费,元,0.79,pdf_patch:2020.pdf
corn,安徽,2019,农家肥费,元,14.0,pdf_patch:2020.pdf
corn,安徽,2019,农药费,元,22.5,pdf_patch:2020.pdf
corn,安徽,2019,劳动日工价,元/日,86.38,pdf_patch:2020.pdf
corn,安徽,2019,化肥费,元,132.6,pdf_patch:2020.pdf
corn,安徽,2019,固定资产折旧,元,1.53,pdf_patch:2020.pdf
corn,安徽,2019,家庭用工天数,日,2.7,pdf_patch:2020.pdf
corn,安徽,2019,工具材料费,元,2.39,pdf_patch:2020.pdf
corn,安徽,2019,排灌费,元,5.94,pdf_patch:2020.pdf
corn,安徽,2019,机械作业费,元,112.44,pdf_patch:2020.pdf
corn,安徽,2019,每亩化肥用量,公斤,22.67,pdf_patch:2020.pdf
corn,安徽,2019,每亩种子用量,公斤,1.93,pdf_patch:2020.pdf
corn,安徽,2019,燃料动力费,元,0.16,pdf_patch:2020.pdf
corn,安徽,2019,种子费,元,50.55,pdf_patch:2020.pdf
corn,安徽,2019,财务费,元,0.08,pdf_patch:2020.pdf
corn,安徽,2019,销售费,元,0.41,pdf_patch:2020.pdf
corn,安徽,2019,雇工天数,日,0.01,pdf_patch:2020.pdf
corn,安徽,2019,雇工工价,元/日,100.8,pdf_patch:2020.pdf
corn,山东,2019,保险费,元,6.48,pdf_patch:2020.pdf
corn,山东,2019,修理维护费,元,2.0,pdf_patch:2020.pdf
corn,山东,2019,农家肥费,元,16.49,pdf_patch:2020.pdf
corn,山东,2019,农药费,元,24.01,pdf_patch:2020.pdf
corn,山东,2019,劳动日工价,元/日,86.38,pdf_patch:2020.pdf
corn,山东,2019,化肥费,元,153.13,pdf_patch:2020.pdf
corn,山东,2019,固定资产折旧,元,3.81,pdf_patch:2020.pdf
corn,山东,2019,家庭用工天数,日,4.26,pdf_patch:2020.pdf
corn,山东,2019,工具材料费,元,2.88,pdf_patch:2020.pdf
corn,山东,2019,排灌费,元,28.58,pdf_patch:2020.pdf
corn,山东,2019,机械作业费,元,128.66,pdf_patch:2020.pdf
corn,山东,2019,每亩化肥用量,公斤,24.34,pdf_patch:2020.pdf
corn,山东,2019,每亩种子用量,公斤,1.92,pdf_patch:2020.pdf
corn,山东,2019,燃料动力费,元,1.02,pdf_patch:2020.pdf
corn,山东,2019,种子费,元,49.44,pdf_patch:2020.pdf
corn,山东,2019,销售费,元,0.14,pdf_patch:2020.pdf
corn,山东,2019,雇工天数,日,0.05,pdf_patch:2020.pdf
corn,山东,2019,雇工工价,元/日,84.38,pdf_patch:2020.pdf
corn,广西,2019,修理维护费,元,4.16,pdf_patch:2020.pdf
corn,广西,2019,农家肥费,元,44.52,pdf_patch:2020.pdf
corn,广西,2019,农药费,元,23.36,pdf_patch:2020.pdf
corn,广西,2019,劳动日工价,元/日,86.38,pdf_patch:2020.pdf
corn,广西,2019,化肥费,元,125.39,pdf_patch:2020.pdf
corn,广西,2019,固定资产折旧,元,7.51,pdf_patch:2020.pdf
corn,广西,2019,家庭用工天数,日,7.6,pdf_patch:2020.pdf
corn,广西,2019,工具材料费,元,6.84,pdf_patch:2020.pdf
corn,广西,2019,机械作业费,元,40.79,pdf_patch:2020.pdf
corn,广西,2019,每亩化肥用量,公斤,19.69,pdf_patch:2020.pdf
corn,广西,2019,每亩种子用量,公斤,1.53,pdf_patch:2020.pdf
corn,广西,2019,燃料动力费,元,3.16,pdf_patch:2020.pdf
corn,广西,2019,畜力费,元,47.51,pdf_patch:2020.pdf
corn,广西,2019,种子费,元,77.68,pdf_patch:2020.pdf
corn,广西,2019,销售费,元,0.16,pdf_patch:2020.pdf
corn,广西,2019,雇工天数,日,0.08,pdf_patch:2020.pdf
corn,广西,2019,雇工工价,元/日,128.28,pdf_patch:2020.pdf
corn,江苏,2019,保险费,元,14.07,pdf_patch:2020.pdf
corn,江苏,2019,修理维护费,元,1.56,pdf_patch:2020.pdf
corn,江苏,2019,农家肥费,元,12.25,pdf_patch:2020.pdf
corn,江苏,2019,农膜费,元,0.16,pdf_patch:2020.pdf
corn,江苏,2019,农药费,元,24.04,pdf_patch:2020.pdf
corn,江苏,2019,劳动日工价,元/日,86.38,pdf_patch:2020.pdf
corn,江苏,2019,化肥费,元,141.87,pdf_patch:2020.pdf
corn,江苏,2019,固定资产折旧,元,8.81,pdf_patch:2020.pdf
corn,江苏,2019,家庭用工天数,日,4.62,pdf_patch:2020.pdf
corn,江苏,2019,工具材料费,元,3.06,pdf_patch:2020.pdf
corn,江苏,2019,排灌费,元,8.79,pdf_patch:2020.pdf
corn,江苏,2019,机械作业费,元,84.91,pdf_patch:2020.pdf
corn,江苏,2019,每亩农膜用量,公斤,0.01,pdf_patch:2020.pdf
corn,江苏,2019,每亩化肥用量,公斤,26.36,pdf_patch:2020.pdf
corn,江苏,2019,每亩种子用量,公斤,1.92,pdf_patch:2020.pdf
corn,江苏,2019,燃料动力费,元,0.7,pdf_patch:2020.pdf
corn,江苏,2019,种子费,元,53.88,pdf_patch:2020.pdf
corn,江苏,2019,财务费,元,0.04,pdf_patch:2020.pdf
corn,江苏,2019,销售费,元,0.69,pdf_patch:2020.pdf
corn,江苏,2019,雇工天数,日,0.13,pdf_patch:2020.pdf
corn,江苏,2019,雇工工价,元/日,87.05,pdf_patch:2020.pdf
corn,河南,2019,农家肥费,元,40.58,pdf_patch:2020.pdf
corn,河南,2019,农药费,元,23.44,pdf_patch:2020.pdf
corn,河南,2019,劳动日工价,元/日,86.38,pdf_patch:2020.pdf
corn,河南,2019,化肥费,元,135.21,pdf_patch:2020.pdf
