crop,year,factor,delta
rice_early_indica,2004,fert,0
rice_early_indica,2005,fert,0.0375357563736862
rice_early_indica,2006,fert,0.0310266334248547
rice_early_indica,2007,fert,0.018790251153207
rice_early_indica,2008,fert,0.0597918996544594
rice_early_indica,2009,fert,0.0279041071800899
rice_early_indica,2010,fert,-0.013191291412009
rice_early_indica,2011,fert,-0.031577618147298
rice_early_indica,2012,fert,-0.0695257691739024
rice_early_indica,2013,fert,-0.10094854416554
rice_early_indica,2014,fert,-0.120363841019664
rice_early_indica,2015,fert,-0.122096363721952
rice_early_indica,2016,fert,-0.122764519349979
rice_early_indica,2017,fert,-0.122694113844472
rice_early_indica,2018,fert,-0.116394669940499
rice_early_indica,2019,fert,-0.111216975265305
rice_early_indica,2020,fert,-0.110352508762544
rice_early_indica,2021,fert,-0.10757560387727
rice_early_indica,2022,fert,-0.067836413742466
rice_early_indica,2023,fert,-0.0749304371282077
rice_early_indica,2024,fert,-0.0852219861464636
rice_early_indica,2004,labor,0
rice_early_indica,2005,labor,-0.0363045374674216
rice_early_indica,2006,labor,-0.0464327689167797
rice_early_indica,2007,labor,-0.0504032740701695
rice_early_indica,2008,labor,-0.102274037605513
rice_early_indica,2009,labor,-0.0725346879508449
rice_early_indica,2010,labor,-0.0263568193048827
rice_early_indica,2011,labor,0.0110115687233074
rice_early_indica,2012,labor,0.0800493770521211
rice_early_indica,2013,labor,0.135315502404411
rice_early_indica,2014,labor,0.1553461858761
rice_early_indica,2015,labor,0.156142375270372
rice_early_indica,2016,labor,0.152294036294225
rice_early_indica,2017,labor,0.148026725776769
rice_early_indica,2018,labor,0.122183696180058
rice_early_indica,2019,labor,0.112195672946425
rice_early_indica,2020,labor,0.0901625996964911
rice_early_indica,2021,labor,0.089714109344383
rice_early_indica,2022,labor,0.0315144480480166
rice_early_indica,2023,labor,0.0312747103971223
rice_early_indica,2024,labor,0.0428618498746248
rice_early_indica,2004,mach,0
rice_early_indica,2005,mach,-0.00565797891683542
rice_early_indica,2006,mach,0.00997945805438633
rice_early_indica,2007,mach,0.0311476635815776
rice_early_indica,2008,mach,0.0351120965038071
rice_early_indica,2009,mach,0.0455129365005809
rice_early_indica,2010,mach,0.0428483015295893
rice_early_indica,2011,mach,0.0472831337420205
rice_early_indica,2012,mach,0.035155265529342
rice_early_indica,2013,mach,0.0265293064641281
rice_early_indica,2014,mach,0.0298967674408108
rice_early_indica,2015,mach,0.0316261512447763
rice_early_indica,2016,mach,0.0315217689117651
rice_early_indica,2017,mach,0.0369645939073939
rice_early_indica,2018,mach,0.0506496219559112
rice_early_indica,2019,mach,0.04981499567751
rice_early_indica,2020,mach,0.0599939185102045
rice_early_indica,2021,mach,0.059075577931802
rice_early_indica,2022,mach,0.0670137184725928
rice_early_indica,2023,mach,0.0720333448159782
rice_early_indica,2024,mach,0.0751196194153707
rice_early_indica,2004,other,0
rice_early_indica,2005,other,-0.000104661586100284
rice_early_indica,2006,other,0.00165409667270934
rice_early_indica,2007,other,4.12348511635927e-05
rice_early_indica,2008,other,0.00252574857845047
rice_early_indica,2009,other,-0.00631466248883292
rice_early_indica,2010,other,-0.0102844527860082
rice_early_indica,2011,other,-0.0290789563017285
rice_early_indica,2012,other,-0.040006206863743
rice_early_indica,2013,other,-0.0498881133006308
rice_early_indica,2014,other,-0.0502675288206716
rice_early_indica,2015,other,-0.050374441272916
rice_early_indica,2016,other,-0.047424842270428
rice_early_indica,2017,other,-0.0501661773520784
rice_early_indica,2018,other,-0.0474099299132379
rice_early_indica,2019,other,-0.0431511325268117
rice_early_indica,2020,other,-0.0347772026992075
rice_early_indica,2021,other,-0.0390149058636317
rice_early_indica,2022,other,-0.0351118926413464
rice_early_indica,2023,other,-0.0317480994530624
rice_early_indica,2024,other,-0.0356179692642722
rice_early_indica,2004,seed,0
rice_early_indica,2005,seed,0.00453142159667107
rice_early_indica,2006,seed,0.00377258076482932
rice_early_indica,2007,seed,0.000424124484221344
rice_early_indica,2008,seed,0.0048442928687958
rice_early_indica,2009,seed,0.00543230675900701
rice_early_indica,2010,seed,0.00698426197331062
rice_early_indica,2011,seed,0.0023618719836986
rice_early_indica,2012,seed,-0.00567266654381765
rice_early_indica,2013,seed,-0.0110081514023686
rice_early_indica,2014,seed,-0.0146115834765749
rice_early_indica,2015,seed,-0.01529772152028
rice_early_indica,2016,seed,-0.013626443585583
rice_early_indica,2017,seed,-0.0121310284876125
rice_early_indica,2018,seed,-0.00902871828223213
rice_early_indica,2019,seed,-0.00764256083181821
rice_early_indica,2020,seed,-0.0050268067449445
rice_early_indica,2021,seed,-0.00219917753528358
rice_early_indica,2022,seed,0.0044201398632029
rice_early_indica,2023,seed,0.00337048136816962
rice_early_indica,2024,seed,0.0028584861207403
