crop,year,factor,delta
rice_japonica,2004,fert,0
rice_japonica,2005,fert,0.000981309903230316
rice_japonica,2006,fert,0.00440816164295478
rice_japonica,2007,fert,0.0118799919627462
rice_japonica,2008,fert,0.0284706001949025
rice_japonica,2009,fert,0.0256406247175838
rice_japonica,2010,fert,0.0229959029795798
rice_japonica,2011,fert,0.0416842877155361
rice_japonica,2012,fert,0.0505775109595161
rice_japonica,2013,fert,0.0534614078613964
rice_japonica,2014,fert,0.0649730595661086
rice_japonica,2015,fert,0.073192762063636
rice_japonica,2016,fert,0.080898476003608
rice_japonica,2017,fert,0.0830525501903247
rice_japonica,2018,fert,0.086039767808391
rice_japonica,2019,fert,0.089432174612426
rice_japonica,2020,fert,0.0913533404989627
rice_japonica,2021,fert,0.0993425222592248
rice_japonica,2022,fert,0.106740890820067
rice_japonica,2023,fert,0.109268117547527
rice_japonica,2024,fert,0.112164385767135
rice_japonica,2004,labor,0
rice_japonica,2005,labor,-0.00695663450366647
rice_japonica,2006,labor,-0.0169376315137683
rice_japonica,2007,labor,-0.0290126977957016
rice_japonica,2008,labor,-0.0319235414156802
rice_japonica,2009,labor,-0.0363763424040765
rice_japonica,2010,labor,-0.0325366655778467
rice_japonica,2011,labor,-0.0293532754739842
rice_japonica,2012,labor,-0.0118909881727327
rice_japonica,2013,labor,0.0120367012688558
rice_japonica,2014,labor,-0.0107680619235832
rice_japonica,2015,labor,-0.0233851210146268
rice_japonica,2016,labor,-0.0389251641400347
rice_japonica,2017,labor,-0.0672585413153072
rice_japonica,2018,labor,-0.0738525434450788
rice_japonica,2019,labor,-0.0739713264449955
rice_japonica,2020,labor,-0.11194721205294
rice_japonica,2021,labor,-0.109145858063688
rice_japonica,2022,labor,-0.110624305495687
rice_japonica,2023,labor,-0.128012819065134
rice_japonica,2024,labor,-0.142135641192109
rice_japonica,2004,mach,0
rice_japonica,2005,mach,-0.000720089282680939
rice_japonica,2006,mach,0.00606707036669416
rice_japonica,2007,mach,0.00625504869144078
rice_japonica,2008,mach,0.00583041849044988
rice_japonica,2009,mach,0.0114894948985442
rice_japonica,2010,mach,0.0108672509526283
rice_japonica,2011,mach,0.00232918067148639
rice_japonica,2012,mach,-0.0176196337018609
rice_japonica,2013,mach,-0.039366359382456
rice_japonica,2014,mach,-0.0348365191719968
rice_japonica,2015,mach,-0.0325461866231566
rice_japonica,2016,mach,-0.0182110134312485
rice_japonica,2017,mach,-0.0047206218784852
rice_japonica,2018,mach,-0.00196995450875327
rice_japonica,2019,mach,-0.00813807894092926
rice_japonica,2020,mach,-0.00540796534440598
rice_japonica,2021,mach,0.00418620392006861
rice_japonica,2022,mach,0.00331166881299513
rice_japonica,2023,mach,0.00827035798878963
rice_japonica,2024,mach,0.0216211222448559
rice_japonica,2004,other,0
rice_japonica,2005,other,0.0089299097350395
rice_japonica,2006,other,0.00731115772661046
rice_japonica,2007,other,0.00950319855225911
rice_japonica,2008,other,-0.00381878891253458
rice_japonica,2009,other,-0.00645481846834025
rice_japonica,2010,other,-0.0097882969190997
rice_japonica,2011,other,-0.0241224645771246
rice_japonica,2012,other,-0.0309002668888459
rice_japonica,2013,other,-0.0377536073205555
rice_japonica,2014,other,-0.0395132355807303
rice_japonica,2015,other,-0.0390210569190909
rice_japonica,2016,other,-0.042342614007242
rice_japonica,2017,other,-0.0335121808591884
rice_japonica,2018,other,-0.0338735925731824
rice_japonica,2019,other,-0.0323182007453874
rice_japonica,2020,other,-0.0109857798222653
rice_japonica,2021,other,-0.0231290314871751
rice_japonica,2022,other,-0.0269399541885106
rice_japonica,2023,other,-0.0214378455726571
rice_japonica,2024,other,-0.0240547159233577
rice_japonica,2004,seed,0
rice_japonica,2005,seed,-0.00223449585192241
rice_japonica,2006,seed,-0.000848758222491061
rice_japonica,2007,seed,0.00137445858925551
rice_japonica,2008,seed,0.00144131164286244
rice_japonica,2009,seed,0.00570104125628872
rice_japonica,2010,seed,0.00846180856473839
rice_japonica,2011,seed,0.00946227166408635
rice_japonica,2012,seed,0.00983337780392334
rice_japonica,2013,seed,0.0116218575727593
rice_japonica,2014,seed,0.0201447571102017
rice_japonica,2015,seed,0.0217596024932384
rice_japonica,2016,seed,0.0185803155749172
rice_japonica,2017,seed,0.0224387938626561
rice_japonica,2018,seed,0.0236563227186234
rice_japonica,2019,seed,0.0249954315188862
rice_japonica,2020,seed,0.0369876167206484
rice_japonica,2021,seed,0.0287461633715695
rice_japonica,2022,seed,0.0275117000511354
rice_japonica,2023,seed,0.0319121891014749
rice_japonica,2024,seed,0.0324048491034755
