crop,year,factor,delta
rice_late_indica,2004,fert,0
rice_late_indica,2005,fert,0.00752137204312815
rice_late_indica,2006,fert,-0.00315879895599052
rice_late_indica,2007,fert,-0.00499080799351366
rice_late_indica,2008,fert,0.0312478947079194
rice_late_indica,2009,fert,-0.00375431164660298
rice_late_indica,2010,fert,-0.0302350254039333
rice_late_indica,2011,fert,-0.040688353621018
rice_late_indica,2012,fert,-0.0701664993617667
rice_late_indica,2013,fert,-0.0958953037012953
rice_late_indica,2014,fert,-0.111989646897111
rice_late_indica,2015,fert,-0.11327661771804
rice_late_indica,2016,fert,-0.114049436001058
rice_late_indica,2017,fert,-0.112645589854332
rice_late_indica,2018,fert,-0.102664661898649
rice_late_indica,2019,fert,-0.100507844103466
rice_late_indica,2020,fert,-0.0994006012952622
rice_late_indica,2021,fert,-0.0843249682242699
rice_late_indica,2022,fert,-0.0649180587518936
rice_late_indica,2023,fert,-0.0725211099996561
rice_late_indica,2024,fert,-0.0836393109948566
rice_late_indica,2004,labor,0
rice_late_indica,2005,labor,-0.0305595153801165
rice_late_indica,2006,labor,-0.0393619522356306
rice_late_indica,2007,labor,-0.0492677201675751
rice_late_indica,2008,labor,-0.0915680226645184
rice_late_indica,2009,labor,-0.0565492036493281
rice_late_indica,2010,labor,-0.0297282029124584
rice_late_indica,2011,labor,0.0044117027879081
rice_late_indica,2012,labor,0.0727050910380113
rice_late_indica,2013,labor,0.115657774043837
rice_late_indica,2014,labor,0.139390093841273
rice_late_indica,2015,labor,0.138320209400092
rice_late_indica,2016,labor,0.129952297383537
rice_late_indica,2017,labor,0.11357318645358
rice_late_indica,2018,labor,0.0933156080799991
rice_late_indica,2019,labor,0.0865209070698368
rice_late_indica,2020,labor,0.0738514973077402
rice_late_indica,2021,labor,0.0520778324797559
rice_late_indica,2022,labor,0.0139404389262221
rice_late_indica,2023,labor,0.0150991213598057
rice_late_indica,2024,labor,0.0199915351758309
rice_late_indica,2004,mach,0
rice_late_indica,2005,mach,0.00961828006816707
rice_late_indica,2006,mach,0.0253430213820704
rice_late_indica,2007,mach,0.0377257557124876
rice_late_indica,2008,mach,0.0386131233148132
rice_late_indica,2009,mach,0.0491309820982682
rice_late_indica,2010,mach,0.0606527884422375
rice_late_indica,2011,mach,0.0589833325795748
rice_late_indica,2012,mach,0.0469505304605597
rice_late_indica,2013,mach,0.0450818169282339
rice_late_indica,2014,mach,0.0452521910686866
rice_late_indica,2015,mach,0.0467074710805425
rice_late_indica,2016,mach,0.0535599568298451
rice_late_indica,2017,mach,0.0616166892494718
rice_late_indica,2018,mach,0.0633559771453385
rice_late_indica,2019,mach,0.066781473496671
rice_late_indica,2020,mach,0.0705538204669996
rice_late_indica,2021,mach,0.0691616298869504
rice_late_indica,2022,mach,0.0776659493454461
rice_late_indica,2023,mach,0.0804631657682335
rice_late_indica,2024,mach,0.08919755816958
rice_late_indica,2004,other,0
rice_late_indica,2005,other,0.0112426334731877
rice_late_indica,2006,other,0.0162115122911491
rice_late_indica,2007,other,0.015643706195947
rice_late_indica,2008,other,0.0118211528568717
rice_late_indica,2009,other,0.00928256642192233
rice_late_indica,2010,other,0.00170583705597988
rice_late_indica,2011,other,-0.0143828965939119
rice_late_indica,2012,other,-0.0279828970795056
rice_late_indica,2013,other,-0.0325198666264731
rice_late_indica,2014,other,-0.0372002785353548
rice_late_indica,2015,other,-0.0369661086448757
rice_late_indica,2016,other,-0.0367245948693504
rice_late_indica,2017,other,-0.0335163132718019
rice_late_indica,2018,other,-0.0319305953965189
rice_late_indica,2019,other,-0.0295434091745087
rice_late_indica,2020,other,-0.0273811845740261
rice_late_indica,2021,other,-0.0240198831908094
rice_late_indica,2022,other,-0.0178994315847424
rice_late_indica,2023,other,-0.0153760385760602
rice_late_indica,2024,other,-0.0163740473250172
rice_late_indica,2004,seed,0
rice_late_indica,2005,seed,0.00217722979563355
rice_late_indica,2006,seed,0.00096621751840165
rice_late_indica,2007,seed,0.00088906625265413
rice_late_indica,2008,seed,0.00988585178491409
rice_late_indica,2009,seed,0.00188996677574049
rice_late_indica,2010,seed,-0.00239539718182566
rice_late_indica,2011,seed,-0.0083237851525531
rice_late_indica,2012,seed,-0.0215062250572986
rice_late_indica,2013,seed,-0.0323244206443025
rice_late_indica,2014,seed,-0.0354523594774937
rice_late_indica,2015,seed,-0.0347849541177189
rice_late_indica,2016,seed,-0.0327382233429729
rice_late_indica,2017,seed,-0.029027972576917
rice_late_indica,2018,seed,-0.02207632793017
rice_late_indica,2019,seed,-0.0232511272885327
rice_late_indica,2020,seed,-0.0176235319054515
rice_late_indica,2021,seed,-0.012894610951627
rice_late_indica,2022,seed,-0.0087888979350322
rice_late_indica,2023,seed,-0.00766513855232305
rice_late_indica,2024,seed,-0.00917573502553715
