crop,year,n_provinces,provinces
corn,2004,22,云南;内蒙古;北京;吉林;四川;天津;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2005,22,云南;内蒙古;北京;吉林;四川;天津;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2006,22,云南;内蒙古;北京;吉林;四川;天津;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2007,21,云南;内蒙古;北京;吉林;四川;天津;宁夏;安徽;山东;山西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2008,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2009,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2010,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2011,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2012,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2013,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2014,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2015,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2016,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
corn,2017,20,云南;内蒙古;吉林;四川;宁夏;安徽;山东;山西;广西;新疆;江苏;河北;河南;湖北;甘肃;贵州;辽宁;重庆;陕西;黑龙江
