crop,period,f_n,f_m,S_n,eps,allen,morishima
corn,all,labor,labor,0.527005470648786,-0.191886280864505,-0.364106810178416,0
corn,all,labor,mach,0.527005470648786,0.163218230178334,1.11470780852999,1.00417126749053
corn,all,labor,fert,0.527005470648786,0.00492603886700474,0.0245759063393009,0.239745366451974
corn,all,labor,seed,0.527005470648786,0.00334333050051766,0.0482340869425519,0.174826443347474
corn,all,labor,other,0.527005470648786,0.0203986813186479,0.35903302344986,0.878801639213013
corn,all,mach,labor,0.146422433690114,0.587457113270223,1.11470780852999,0.779343394134727
corn,all,mach,mach,0.146422433690114,-0.840953037312198,-5.7433346524753,0
corn,all,mach,fert,0.146422433690114,0.0834353389055319,0.416257185477098,0.318254666490501
corn,all,mach,seed,0.146422433690114,0.034946858563329,0.504176842239103,0.206429971410285
corn,all,mach,other,0.146422433690114,0.135113726573115,2.37810910437512,0.99351668446748
corn,all,fert,labor,0.200441798523914,0.0129516370869638,0.0245759063393009,0.204837917951468
corn,all,fert,mach,0.200441798523914,0.0609493901385538,0.416257185477098,0.901902427450752
corn,all,fert,fert,0.200441798523914,-0.23481932758497,-1.17150878366796,0
corn,all,fert,seed,0.200441798523914,0.0474584168321362,0.684680561279447,0.218941529679092
corn,all,fert,other,0.200441798523914,0.113459883527316,1.99698423573301,0.971862841421681
corn,all,seed,labor,0.0693146841257648,0.025419627690474,0.0482340869425519,0.217305908554979
corn,all,seed,mach,0.0693146841257648,0.0738228002508461,0.504176842239103,0.914775837563045
corn,all,seed,fert,0.0693146841257648,0.137238603117215,0.684680561279447,0.372057930702185
corn,all,seed,seed,0.0693146841257648,-0.171483112846956,-2.47397957604216,0
corn,all,seed,other,0.0693146841257648,-0.0649979182115792,-1.14401508258853,0.793405039682786
corn,all,other,labor,0.0568156130114215,0.18921236750165,0.35903302344986,0.381098648366155
corn,all,other,mach,0.0568156130114215,0.348208522643222,2.37810910437512,1.18916155995542
corn,all,other,fert,0.0568156130114215,0.400279111834228,1.99698423573301,0.635098439419197
corn,all,other,seed,0.0568156130114215,-0.0792970440847345,-1.14401508258853,0.0921860687622215
