crop,period,f_n,f_m,S_n,eps,allen,morishima
corn,all,labor,labor,0.526795888439251,-0.29819381226383,-0.566051897533398,0
corn,all,labor,mach,0.526795888439251,0.184843303366243,1.26155078638278,1.15108745056035
corn,all,labor,fert,0.526795888439251,0.0586260927655769,0.292378176575559,0.506101142315974
corn,all,labor,seed,0.526795888439251,0.0253235833403609,0.365263815869293,0.470218166011227
corn,all,labor,other,0.526795888439251,0.0294008327916497,0.51726291614033,0.944422837541959
corn,all,mach,labor,0.146520699254796,0.664579767323753,1.26155078638278,0.962773579587583
corn,all,mach,mach,0.146520699254796,-0.966244147194102,-6.59459142707085,0
corn,all,mach,fert,0.146520699254796,0.157134533051394,0.783656322353354,0.604609582601791
corn,all,mach,seed,0.146520699254796,0.0490730063722071,0.707822164137495,0.493967589043073
corn,all,mach,other,0.146520699254796,0.0954568404467484,1.67941785883871,1.01047884519706
corn,all,fert,labor,0.200514598771452,0.15402362128937,0.292378176575559,0.4522174335532
corn,all,fert,mach,0.200514598771452,0.114821872326655,0.783656322353354,1.08106601952076
corn,all,fert,fert,0.200514598771452,-0.447475049550397,-2.23163326905904,0
corn,all,fert,seed,0.200514598771452,0.0588413403820903,0.848719244427432,0.503735923052956
corn,all,fert,other,0.200514598771452,0.119788215552282,2.10749138076857,1.03481022030259
corn,all,seed,labor,0.0693295701357475,0.192419476395575,0.365263815869293,0.490613288659405
corn,all,seed,mach,0.0693295701357475,0.103710598437469,0.707822164137495,1.06995474563157
corn,all,seed,fert,0.0693295701357475,0.170180598765976,0.848719244427432,0.617655648316373
corn,all,seed,seed,0.0693295701357475,-0.444894582670866,-6.41709708858372,0
corn,all,seed,other,0.0693295701357475,-0.0214160909281539,-0.376783532776992,0.893605913822156
corn,all,other,labor,0.0568392433987543,0.272491977464823,0.51726291614033,0.570685789728653
corn,all,other,mach,0.0568392433987543,0.24606947901804,1.67941785883871,1.21231362621214
corn,all,other,fert,0.0568392433987543,0.422582788629104,2.10749138076857,0.8700578381795
corn,all,other,seed,0.0568392433987543,-0.0261222403616572,-0.376783532776992,0.418772342309209
corn,all,other,other,0.0568392433987543,-0.91502200475031,-16.0984198598668,0
corn,2004-2008,labor,labor,0.476934187824,-0.329758835117434,-0.691413707668873,0
corn,2004-2008,labor,mach,0.476934187824,0.174505667803925,1.32024652956434,1.16733145041908
corn,2004-2008,labor,fert,0.476934187824,0.0932059882098218,0.372930743315302,0.560863848665407
corn,2004-2008,labor,seed,0.476934187824,0.0244648240358402,0.334806769948995,0.490493507760382
corn,2004-2008,labor,other,0.476934187824,0.0375823550678469,0.553582486905379,0.946134297343911
corn,2004-2008,mach,labor,0.132176577552913,0.629670706305223,1.32024652956434,0.959429541422657
corn,2004-2008,mach,mach,0.132176577552913,-0.992825782615158,-7.51135943293516,0
corn,2004-2008,mach,fert,0.132176577552913,0.2018406360086,0.807593802325978,0.669498496464185
corn,2004-2008,mach,seed,0.132176577552913,0.0506166185247922,0.692700120352373,0.516645302249334
corn,2004-2008,mach,other,0.132176577552913,0.110697821776543,1.63056241056311,1.01924976405261
corn,2004-2008,fert,labor,0.249928411321721,0.177863421177684,0.372930743315302,0.507622256295118
corn,2004-2008,fert,mach,0.249928411321721,0.106744984844392,0.807593802325978,1.09957076745955
corn,2004-2008,fert,fert,0.249928411321721,-0.467657860455585,-1.87116725938609,0
corn,2004-2008,fert,seed,0.249928411321721,0.0646568912746346,0.884844497180556,0.530685574999176
corn,2004-2008,fert,other,0.249928411321721,0.118392563158875,1.7439048038973,1.02694450543494
corn,2004-2008,seed,labor,0.0730714735534386,0.159680794903601,0.334806769948995,0.489439630021035
