crop,period,f_n,f_m,S_n,eps,allen,morishima
peanut,all,labor,labor,0.542628420950364,-0.169608004251784,-0.312567491313358,0
peanut,all,labor,mach,0.542628420950364,0.101154874987741,1.08165191426903,0.918947428088777
peanut,all,labor,fert,0.542628420950364,-0.00437754333045961,-0.0334337428456425,0.305687227256762
peanut,all,labor,seed,0.542628420950364,0.0608837455187381,0.353713588314519,0.409198855660863
peanut,all,labor,other,0.542628420950364,0.011946927075764,0.19651633024796,0.949672105530586
peanut,all,mach,labor,0.0935188794595728,0.58693507025774,1.08165191426903,0.756543074509523
peanut,all,mach,mach,0.0935188794595728,-0.817792553101035,-8.74467869832164,0
peanut,all,mach,fert,0.0935188794595728,0.0461138482611934,0.3521972092566,0.356178618848415
peanut,all,mach,seed,0.0935188794595728,0.0310091044336294,0.180152214785521,0.379324214575754
peanut,all,mach,other,0.0935188794595728,0.153734530148473,2.52879635956431,1.0914597086033
peanut,all,fert,labor,0.13093189568006,-0.0181420990867915,-0.0334337428456425,0.151465905164992
peanut,all,fert,mach,0.13093189568006,0.0329370883584659,0.3521972092566,0.850729641459501
peanut,all,fert,fert,0.13093189568006,-0.310064770587222,-2.36813779390229,0
peanut,all,fert,seed,0.13093189568006,0.101311210008946,0.588583230604973,0.44962632015107
peanut,all,fert,other,0.13093189568006,0.193958571306602,3.19044607969813,1.13168374976142
peanut,all,seed,labor,0.172127245121838,0.191935045895794,0.353713588314519,0.361543050147578
peanut,all,seed,mach,0.172127245121838,0.0168476332589022,0.180152214785521,0.834640186359937
peanut,all,seed,fert,0.172127245121838,0.0770643181486029,0.588583230604973,0.387129088735825
peanut,all,seed,seed,0.172127245121838,-0.348315110142125,-2.0235908028132,0
peanut,all,seed,other,0.172127245121838,0.0624681128388253,1.02754492554868,1.00019329129365
peanut,all,other,labor,0.0607935587881659,0.106635345973411,0.19651633024796,0.276243350225195
peanut,all,other,mach,0.0607935587881659,0.236490201927901,2.52879635956431,1.05428275502894
peanut,all,other,fert,0.0607935587881659,0.417731153279891,3.19044607969813,0.727795923867113
peanut,all,other,seed,0.0607935587881659,0.176868477273619,1.02754492554868,0.525183587415743
peanut,all,other,other,0.0607935587881659,-0.937725178454822,-15.4247456004724,0
peanut,2004-2008,labor,labor,0.467539797026017,-0.198480731722894,-0.424521576527632,0
peanut,2004-2008,labor,mach,0.467539797026017,0.100650990810839,1.09655188319221,0.918501981292772
peanut,2004-2008,labor,fert,0.467539797026017,0.00931221257945104,0.055978678099294,0.402982731712025
peanut,2004-2008,labor,seed,0.467539797026017,0.07277773333138,0.360486840310536,0.46202407240133
peanut,2004-2008,labor,other,0.467539797026017,0.0157397950012241,0.217306307050698,0.942065155452626
peanut,2004-2008,mach,labor,0.0917886261047953,0.512681644896181,1.09655188319221,0.711162376619075
peanut,2004-2008,mach,mach,0.0917886261047953,-0.817850990481934,-8.91015614013212,0
peanut,2004-2008,mach,fert,0.0917886261047953,0.0799359464011851,0.480520453541681,0.473606465533759
peanut,2004-2008,mach,seed,0.0917886261047953,0.0581090755140613,0.287829203611624,0.447355414584011
