crop,period,f_n,f_m,S_n,eps,allen,morishima
rapeseed,all,labor,labor,0.654578001245734,-0.130064794694099,-0.198700222810072,0
rapeseed,all,labor,mach,0.654578001245734,0.0976876894974122,0.87436494002897,1.03387577458614
rapeseed,all,labor,fert,0.654578001245734,-0.00220469670335343,-0.0142947822374053,0.386078445848548
rapeseed,all,labor,seed,0.654578001245734,0.0134781008564324,0.462472292983491,0.522192529831065
rapeseed,all,labor,other,0.654578001245734,0.0211037010436078,0.419361741770868,0.906004091409927
rapeseed,all,mach,labor,0.111724161188548,0.572340054803509,0.87436494002897,0.702404849497608
rapeseed,all,mach,mach,0.111724161188548,-0.936188085088727,-8.37945951107919,0
rapeseed,all,mach,fert,0.111724161188548,0.284777418905808,1.84643592163809,0.67306056145771
rapeseed,all,mach,seed,0.111724161188548,0.026089014826619,0.895188916974794,0.534803443801252
rapeseed,all,mach,other,0.111724161188548,0.0529815965527917,1.05282265732768,0.937881986919111
rapeseed,all,fert,labor,0.154230870169144,-0.00935704998520376,-0.0142947822374053,0.120707744708895
rapeseed,all,fert,mach,0.154230870169144,0.206291504533421,1.84643592163809,1.14247958962215
rapeseed,all,fert,fert,0.154230870169144,-0.388283142551902,-2.51754491254621,0
rapeseed,all,fert,seed,0.154230870169144,0.0252950599885684,0.867946049571606,0.534009488963201
rapeseed,all,fert,other,0.154230870169144,0.166053628015117,3.29973110062055,1.05095401838144
rapeseed,all,seed,labor,0.0291435855961939,0.302724189172665,0.462472292983491,0.432788983866764
rapeseed,all,seed,mach,0.0291435855961939,0.100014230854294,0.895188916974794,1.03620231594302
rapeseed,all,seed,fert,0.0291435855961939,0.133864074485299,0.867946049571606,0.522147217037201
rapeseed,all,seed,seed,0.0291435855961939,-0.508714428974633,-17.4554509531961,0
rapeseed,all,seed,other,0.0291435855961939,-0.0278880655376256,-0.554177095018184,0.857012324828694
rapeseed,all,other,labor,0.0503233818003801,0.274504970727304,0.419361741770868,0.404569765421403
rapeseed,all,other,mach,0.0503233818003801,0.117625728270234,1.05282265732768,1.05381381335896
rapeseed,all,other,fert,0.0503233818003801,0.508920398972894,3.29973110062055,0.897203541524795
rapeseed,all,other,seed,0.0503233818003801,-0.0161507076041125,-0.554177095018184,0.49256372137052
rapeseed,all,other,other,0.0503233818003801,-0.884900390366319,-17.5842790907116,0
rapeseed,2004-2008,labor,labor,0.595406611480931,-0.167834028664213,-0.281881365486968,0
rapeseed,2004-2008,labor,mach,0.595406611480931,0.0828025504317741,0.842911628237466,1.03906048850165
rapeseed,2004-2008,labor,fert,0.595406611480931,0.0371237143596883,0.177535541460152,0.490588441875685
rapeseed,2004-2008,labor,seed,0.595406611480931,0.0123607676609227,0.417832271523678,0.527501485057163
rapeseed,2004-2008,labor,other,0.595406611480931,0.0355469962118281,0.525295130613442,0.919705442457185
rapeseed,2004-2008,mach,labor,0.0982339638674992,0.501875156346744,0.842911628237466,0.669709185010958
rapeseed,2004-2008,mach,mach,0.0982339638674992,-0.95625793806988,-9.73449406317054,0
rapeseed,2004-2008,mach,fert,0.0982339638674992,0.357579960086881,1.71004310652327,0.811044687602878
rapeseed,2004-2008,mach,seed,0.0982339638674992,0.0261090386492593,0.882566457470746,0.5412497560455
rapeseed,2004-2008,mach,other,0.0982339638674992,0.0706937829869956,1.04467617309829,0.954852229232352
rapeseed,2004-2008,fert,labor,0.209105816527564,0.105705835158221,0.177535541460152,0.273539863822435
rapeseed,2004-2008,fert,mach,0.209105816527564,0.167984312738073,1.71004310652327,1.12424225080795
rapeseed,2004-2008,fert,fert,0.209105816527564,-0.453464727515997,-2.16858973626982,0
rapeseed,2004-2008,fert,seed,0.209105816527564,0.0267445153474863,0.904047540167575,0.541885232743727
rapeseed,2004-2008,fert,other,0.209105816527564,0.153030064272216,2.26139916634951,1.03718851051757
rapeseed,2004-2008,seed,labor,0.0295830851356876,0.248780096955294,0.417832271523678,0.416614125619507
rapeseed,2004-2008,seed,mach,0.0295830851356876,0.086698001493848,0.882566457470746,1.04295593956373
rapeseed,2004-2008,seed,fert,0.0295830851356876,0.189041599066477,0.904047540167575,0.642506326582474
rapeseed,2004-2008,seed,seed,0.0295830851356876,-0.51514071739624,-17.4133534428023,0
rapeseed,2004-2008,seed,other,0.0295830851356876,-0.00937898011937794,-0.138597718847202,0.874779466125979
rapeseed,2004-2008,other,labor,0.0676705229883174,0.312764193745983,0.525295130613442,0.480598222410196
rapeseed,2004-2008,other,mach,0.0676705229883174,0.102622681441375,1.04467617309829,1.05888061951126
rapeseed,2004-2008,other,fert,0.0676705229883174,0.472871719174268,2.26139916634951,0.926336446690265
rapeseed,2004-2008,other,seed,0.0676705229883174,-0.00410014811626887,-0.138597718847202,0.511040569279972
rapeseed,2004-2008,other,other,0.0676705229883174,-0.884158446245357,-13.0656363687037,0
rapeseed,2009-2014,labor,labor,0.654357077742722,-0.130213009473483,-0.198993812251052,0
rapeseed,2009-2014,labor,mach,0.654357077742722,0.0919085370295067,0.867472920155939,1.03648232186978
rapeseed,2009-2014,labor,fert,0.654357077742722,-0.00110047989748788,-0.00708214654363445,0.389432112466495
rapeseed,2009-2014,labor,seed,0.654357077742722,0.0148009435628328,0.485727254270196,0.542330031095198
rapeseed,2009-2014,labor,other,0.654357077742722,0.0246040087786311,0.45703853171011,0.910217907190787
rapeseed,2009-2014,mach,labor,0.10594974770277,0.567637045054186,0.867472920155939,0.697850054527668
rapeseed,2009-2014,mach,mach,0.10594974770277,-0.944573784840271,-8.91529999193738,0
rapeseed,2009-2014,mach,fert,0.10594974770277,0.293049425844723,1.88592175386204,0.683582018208706
rapeseed,2009-2014,mach,seed,0.10594974770277,0.0272506680052414,0.894293805730939,0.554779755537607
rapeseed,2009-2014,mach,other,0.10594974770277,0.0566366459361204,1.05206959290761,0.942250544348276
rapeseed,2009-2014,fert,labor,0.155387902623536,-0.00463425271643836,-0.00708214654363445,0.125578756757044
rapeseed,2009-2014,fert,mach,0.155387902623536,0.199812934008849,1.88592175386204,1.14438671884912
rapeseed,2009-2014,fert,fert,0.155387902623536,-0.390532592363982,-2.51327539512609,0
rapeseed,2009-2014,fert,seed,0.155387902623536,0.0266518481348239,0.874642144319926,0.554180935667189
rapeseed,2009-2014,fert,other,0.155387902623536,0.168702062936748,3.13377156685309,1.0543159613489
rapeseed,2009-2014,seed,labor,0.0304717172707781,0.317839066684242,0.485727254270196,0.448052076157724
rapeseed,2009-2014,seed,mach,0.0304717172707781,0.0947502030893428,0.894293805730939,1.03932398792961
rapeseed,2009-2014,seed,fert,0.0304717172707781,0.135908808352025,0.874642144319927,0.526441400716008
rapeseed,2009-2014,seed,seed,0.0304717172707781,-0.527529087532365,-17.312089202083,0
rapeseed,2009-2014,seed,other,0.0304717172707781,-0.0209689905932447,-0.389515251697649,0.864644907818911
rapeseed,2009-2014,other,labor,0.0538335546601942,0.299066398025652,0.45703853171011,0.429279407499134
rapeseed,2009-2014,other,mach,0.0538335546601942,0.111466507934317,1.05206959290761,1.05604029277459
rapeseed,2009-2014,other,fert,0.0538335546601942,0.486950191074574,3.13377156685309,0.877482783438556
rapeseed,2009-2014,other,seed,0.0538335546601942,-0.0118691986223867,-0.389515251697649,0.515659888909978
rapeseed,2009-2014,other,other,0.0538335546601942,-0.885613898412156,-16.4509645332226,0
rapeseed,2015-2019,labor,labor,0.698623585689708,-0.0995966704323283,-0.142561276877022,0
rapeseed,2015-2019,labor,mach,0.698623585689708,0.100868601033383,0.884656108555494,1.03379593686476
rapeseed,2015-2019,labor,fert,0.698623585689708,-0.0280974639310137,-0.237158573243303,0.257873564438364
rapeseed,2015-2019,labor,seed,0.698623585689708,0.0126055669028249,0.462023283111089,0.491671315415529
rapeseed,2015-2019,labor,other,0.698623585689708,0.0142199664271338,0.341847017835984,0.894258130899716
rapeseed,2015-2019,mach,labor,0.114020126078241,0.618041622661343,0.884656108555494,0.717638293093671
rapeseed,2015-2019,mach,mach,0.114020126078241,-0.932927335831375,-8.1821286111471,0
rapeseed,2015-2019,mach,fert,0.114020126078241,0.24639322968567,2.07969897043141,0.532364258055048
rapeseed,2015-2019,mach,seed,0.114020126078241,0.0242903394200075,0.890297314926754,0.503356087932712
rapeseed,2015-2019,mach,other,0.114020126078241,0.0442021440643549,1.06261651233743,0.924240308536937
rapeseed,2015-2019,fert,labor,0.118475429948671,-0.165684572816291,-0.237158573243303,-0.0660879023839631
rapeseed,2015-2019,fert,mach,0.118475429948671,0.237127538813377,2.07969897043141,1.17005487464475
rapeseed,2015-2019,fert,fert,0.118475429948671,-0.285971028369378,-2.41375809729725,0
rapeseed,2015-2019,fert,seed,0.118475429948671,0.0222734056664793,0.816372011780426,0.501339154179184
rapeseed,2015-2019,fert,other,0.118475429948671,0.192254656705813,4.62178876418136,1.07229282117839
rapeseed,2015-2019,seed,labor,0.0272834018622261,0.3227803627192,0.462023283111089,0.422377033151528
rapeseed,2015-2019,seed,mach,0.0272834018622261,0.101511812095068,0.890297314926754,1.03443914792644
rapeseed,2015-2019,seed,fert,0.0272834018622261,0.0967200250937475,0.816372011780426,0.382691053463126
rapeseed,2015-2019,seed,seed,0.0272834018622261,-0.479065748512705,-17.5588715414544,0
rapeseed,2015-2019,seed,other,0.0272834018622261,-0.0419464513953109,-1.00838981524792,0.838091713077271
rapeseed,2015-2019,other,labor,0.0415974564211539,0.238822389357909,0.341847017835984,0.338419059790237
rapeseed,2015-2019,other,mach,0.0415974564211539,0.121159668709535,1.06261651233743,1.05408700454091
rapeseed,2015-2019,other,fert,0.0415974564211539,0.547568410968324,4.62178876418136,0.833539439337702
rapeseed,2015-2019,other,seed,0.0415974564211539,-0.0275123045631849,-1.00838981524792,0.45155344394952
rapeseed,2015-2019,other,other,0.0415974564211539,-0.880038164472582,-21.1560571291337,0
rapeseed,2020-2024,labor,labor,0.659712540544278,-0.126606379403383,-0.19191143357519,0
rapeseed,2020-2024,labor,mach,0.659712540544278,0.113582163029457,0.890774898845879,1.02805364758849
rapeseed,2020-2024,labor,fert,0.659712540544278,-0.0119834472081124,-0.0836630861258726,0.352174244611928
rapeseed,2020-2024,labor,seed,0.659712540544278,0.0135031313484705,0.464876740088267,0.520772841926903
rapeseed,2020-2024,labor,other,0.659712540544278,0.0115045322335678,0.284084995999415,0.890513495893851
rapeseed,2020-2024,mach,labor,0.127509388933858,0.587655371570687,0.890774898845879,0.71426175097407
rapeseed,2020-2024,mach,mach,0.127509388933858,-0.914471484559031,-7.17179724728654,0
rapeseed,2020-2024,mach,fert,0.127509388933858,0.257619913414381,1.79858738720327,0.621777605234421
rapeseed,2020-2024,mach,seed,0.127509388933858,0.0263702663818044,0.907857826045736,0.533639976960237
rapeseed,2020-2024,mach,other,0.127509388933858,0.0428259331921589,1.05751410075303,0.921834896852442
rapeseed,2020-2024,fert,labor,0.143234582454717,-0.0551935870978741,-0.0836630861258726,0.0714127923055087
