crop,f_n,f_m,eps,morishima
rapeseed,labor,labor,-0.255436477388487,0
rapeseed,labor,mach,0.141017129622002,1.26686469312883
rapeseed,labor,fert,0.0536808100957582,0.657748420701972
rapeseed,labor,seed,0.0203855188029869,0.698539211962763
rapeseed,labor,other,0.0403530188677405,0.935207417262039
rapeseed,mach,labor,0.824531503808876,1.07996798119736
rapeseed,mach,mach,-1.12584756350683,0
rapeseed,mach,fert,0.291621537021761,0.895689147627975
rapeseed,mach,seed,0.0285161035707542,0.70666979673053
rapeseed,mach,other,-0.0188215808945602,0.876032817499738
rapeseed,fert,labor,0.241411508597524,0.496847985986011
rapeseed,fert,mach,0.22429682190736,1.35014438541419
rapeseed,fert,fert,-0.604067610606214,0
rapeseed,fert,seed,0.019041720130715,0.697195413290491
rapeseed,fert,other,0.119317559970615,1.01417195836491
rapeseed,seed,labor,0.46641633159741,0.721852808985897
rapeseed,seed,mach,0.111585247307333,1.23743281081416
rapeseed,seed,fert,0.0968766805030508,0.700944291109265
rapeseed,seed,seed,-0.678153693159776,0
rapeseed,seed,other,0.00327543375198303,0.898129832146282
rapeseed,other,labor,0.565909695462715,0.821346172851202
rapeseed,other,mach,-0.0451431457668647,1.08070441773997
rapeseed,other,fert,0.372080198973196,0.97614780957941
rapeseed,other,seed,0.00200764972525247,0.680161342885029
rapeseed,other,other,-0.894854398394299,0
