crop,period,f_n,f_m,S_n,eps,allen,morishima
rice_early_indica_hw,all,labor,labor,0.450340728963635,-0.353001947661601,-0.783855256605285,0
rice_early_indica_hw,all,labor,mach,0.450340728963635,0.221361943530939,0.966682728645681,0.877611308988542
rice_early_indica_hw,all,labor,fert,0.450340728963635,0.0518434465680226,0.302758277593647,0.393727432498319
rice_early_indica_hw,all,labor,seed,0.450340728963635,0.0497653234513919,0.816863789126028,0.714005649540726
rice_early_indica_hw,all,labor,other,0.450340728963635,0.0300312341112482,0.339303597896889,0.793237795189651
rice_early_indica_hw,all,mach,labor,0.228991309114487,0.435336604694852,0.966682728645681,0.788338552356453
rice_early_indica_hw,all,mach,mach,0.228991309114487,-0.656249365457603,-2.86582651540502,0
rice_early_indica_hw,all,mach,fert,0.228991309114487,0.05361705774126,0.31311591196168,0.395501043671556
rice_early_indica_hw,all,mach,seed,0.228991309114487,0.0743485601278629,1.22038082604709,0.738588886217197
rice_early_indica_hw,all,mach,other,0.228991309114487,0.0929471428936286,1.05014998322137,0.856153703972031
rice_early_indica_hw,all,fert,labor,0.171237090460678,0.136344383431298,0.302758277593647,0.489346331092899
rice_early_indica_hw,all,fert,mach,0.171237090460678,0.0717008225846814,0.31311591196168,0.727950188042285
rice_early_indica_hw,all,fert,fert,0.171237090460678,-0.341883985930296,-1.99655334606846,0
rice_early_indica_hw,all,fert,seed,0.171237090460678,-0.0256751669991138,-0.421440327255685,0.63856515909022
rice_early_indica_hw,all,fert,other,0.171237090460678,0.159513946913431,1.80224548554894,0.922720507991833
rice_early_indica_hw,all,seed,labor,0.060922425640432,0.367867034259013,0.816863789126028,0.720868981920614
rice_early_indica_hw,all,seed,mach,0.060922425640432,0.279456602974742,1.22038082604709,0.935705968432346
rice_early_indica_hw,all,seed,fert,0.060922425640432,-0.0721662154420597,-0.421440327255685,0.269717770488236
rice_early_indica_hw,all,seed,seed,0.060922425640432,-0.664240326089334,-10.9030512016991,0
rice_early_indica_hw,all,seed,other,0.060922425640432,0.0890829042976387,1.00649043683396,0.852289465376041
rice_early_indica_hw,all,other,labor,0.0885084458207675,0.152802229616869,0.339303597896889,0.505804177278471
rice_early_indica_hw,all,other,mach,0.0885084458207675,0.240475219424418,1.05014998322137,0.896724584882022
rice_early_indica_hw,all,other,fert,0.0885084458207675,0.308611273241292,1.80224548554894,0.650495259171589
rice_early_indica_hw,all,other,seed,0.0885084458207675,0.0613178387958225,1.00649043683396,0.725558164885157
rice_early_indica_hw,all,other,other,0.0885084458207675,-0.763206561078402,-8.62298003315888,0
rice_early_indica_hw,2004-2008,labor,labor,0.436999956168182,-0.360339148528331,-0.824574793297355,0
rice_early_indica_hw,2004-2008,labor,mach,0.436999956168182,0.199495532933786,0.962083532901921,0.865405635831227
rice_early_indica_hw,2004-2008,labor,fert,0.436999956168182,0.0818771946326748,0.399565262154137,0.47010281729271
rice_early_indica_hw,2004-2008,labor,seed,0.436999956168182,0.0373833292558121,0.764781845537028,0.645961441758826
rice_early_indica_hw,2004-2008,labor,other,0.436999956168182,0.0415830917060582,0.408295814386631,0.810871080615555
rice_early_indica_hw,2004-2008,mach,labor,0.207357808455624,0.420430461708269,0.962083532901921,0.7807696102366
rice_early_indica_hw,2004-2008,mach,mach,0.207357808455624,-0.66591010289744,-3.21140596468037,0
rice_early_indica_hw,2004-2008,mach,fert,0.207357808455624,0.0750244464989671,0.366123470250968,0.463250069159002
rice_early_indica_hw,2004-2008,mach,seed,0.207357808455624,0.0637079105003162,1.30332568922188,0.67228602300333
rice_early_indica_hw,2004-2008,mach,other,0.207357808455624,0.106747284189888,1.04812960132837,0.876035273099385
rice_early_indica_hw,2004-2008,fert,labor,0.204915698104631,0.174610002047686,0.399565262154137,0.534949150576018
rice_early_indica_hw,2004-2008,fert,mach,0.204915698104631,0.0759185604154085,0.366123470250968,0.741828663312849
rice_early_indica_hw,2004-2008,fert,fert,0.204915698104631,-0.388225622660035,-1.89456262380545,0
rice_early_indica_hw,2004-2008,fert,seed,0.204915698104631,-0.0234839406840955,-0.480430498149716,0.585094171818919
rice_early_indica_hw,2004-2008,fert,other,0.204915698104631,0.161181000881036,1.58260305615485,0.930468989790533
rice_early_indica_hw,2004-2008,seed,labor,0.0488810364340718,0.334209632977902,0.764781845537028,0.694548781506234
rice_early_indica_hw,2004-2008,seed,mach,0.0488810364340718,0.270254758620963,1.30332568922188,0.936164861518404
rice_early_indica_hw,2004-2008,seed,fert,0.0488810364340718,-0.0984477509191045,-0.480430498149716,0.289777871740931
rice_early_indica_hw,2004-2008,seed,seed,0.0488810364340718,-0.608578112503014,-12.4501883940991,0
rice_early_indica_hw,2004-2008,seed,other,0.0488810364340718,0.102561471823253,1.00702997167153,0.87184946073275
rice_early_indica_hw,2004-2008,other,labor,0.101845500837492,0.17842525299061,0.408295814386631,0.538764401518941
rice_early_indica_hw,2004-2008,other,mach,0.101845500837492,0.217337857108916,1.04812960132837,0.883247960006357
