crop,period,f_n,f_m,S_n,eps,allen,morishima
rice_mid_indica,all,labor,labor,0.542336236034153,-0.2615895715715,-0.482338361685696,0
rice_mid_indica,all,labor,mach,0.542336236034153,0.171643706290852,0.917927790685465,0.875950367922261
rice_mid_indica,all,labor,fert,0.542336236034153,0.0215584462570611,0.157769410776443,0.247325916968376
rice_mid_indica,all,labor,seed,0.542336236034153,0.054774106007223,0.854252756463425,0.79272985461736
rice_mid_indica,all,labor,other,0.542336236034153,0.0136133130163637,0.194729788033164,0.710657227720625
rice_mid_indica,all,mach,labor,0.186990423465311,0.497825502951501,0.917927790685465,0.759415074523001
rice_mid_indica,all,mach,mach,0.186990423465311,-0.704306661631409,-3.76653867390202,0
rice_mid_indica,all,mach,fert,0.186990423465311,0.0194774478536214,0.142540210674425,0.245244918564936
rice_mid_indica,all,mach,seed,0.186990423465311,0.0336831362260505,0.525319609299371,0.771638884836188
rice_mid_indica,all,mach,other,0.186990423465311,0.153320574600236,2.19315334607666,0.850364489304497
rice_mid_indica,all,fert,labor,0.136645285996593,0.0855640684018225,0.157769410776443,0.347153639973323
rice_mid_indica,all,fert,mach,0.136645285996593,0.0266536543548453,0.142540210674425,0.730960315986254
rice_mid_indica,all,fert,fert,0.136645285996593,-0.225767470711314,-1.6522155818602,0
rice_mid_indica,all,fert,seed,0.136645285996593,0.0517832228242319,0.807607171723194,0.789738971434369
rice_mid_indica,all,fert,other,0.136645285996593,0.0617665251304147,0.883530873912395,0.758810439834676
rice_mid_indica,all,seed,labor,0.0641193201810502,0.463292224562174,0.854252756463425,0.724881796133674
rice_mid_indica,all,seed,mach,0.0641193201810502,0.098229736197521,0.52531960929937,0.80253639782893
rice_mid_indica,all,seed,fert,0.0641193201810502,0.110355712953016,0.807607171723194,0.33612318366433
rice_mid_indica,all,seed,seed,0.0641193201810502,-0.737955748610137,-11.5091012588158,0
rice_mid_indica,all,seed,other,0.0641193201810502,0.0660780748974271,0.945204852261056,0.763121989601688
rice_mid_indica,all,other,labor,0.0699087343228926,0.105609020285635,0.194729788033164,0.367198591857135
rice_mid_indica,all,other,mach,0.0699087343228926,0.410098672907238,2.19315334607666,1.11440533453865
rice_mid_indica,all,other,fert,0.0699087343228926,0.120730328952579,0.883530873912395,0.346497799663894
rice_mid_indica,all,other,seed,0.0699087343228926,0.0606058925588089,0.945204852261056,0.798561641168946
rice_mid_indica,all,other,other,0.0699087343228926,-0.697043914704261,-9.97077005406468,0
rice_mid_indica,2004-2008,labor,labor,0.505125954774094,-0.284355978431766,-0.562940739323002,0
rice_mid_indica,2004-2008,labor,mach,0.505125954774094,0.169378198063834,0.911343790625802,0.874156016758728
rice_mid_indica,2004-2008,labor,fert,0.505125954774094,0.0457520179311211,0.270215513023118,0.361877291693139
rice_mid_indica,2004-2008,labor,seed,0.505125954774094,0.0435377019858597,0.81270519521824,0.753070794009726
rice_mid_indica,2004-2008,labor,other,0.505125954774094,0.0256880604509515,0.29824579356297,0.75040220951257
rice_mid_indica,2004-2008,mach,labor,0.185855436560911,0.4603434023673,0.911343790625802,0.744699380799067
rice_mid_indica,2004-2008,mach,mach,0.185855436560911,-0.704777818694894,-3.79207534488191,0
rice_mid_indica,2004-2008,mach,fert,0.185855436560911,0.0514334084286033,0.303770313824976,0.367558682190621
rice_mid_indica,2004-2008,mach,seed,0.185855436560911,0.0229492822016564,0.428387352136161,0.732482374225523
rice_mid_indica,2004-2008,mach,other,0.185855436560911,0.170051725697334,1.97434960004834,0.894765874758952
rice_mid_indica,2004-2008,fert,labor,0.169316770230016,0.136492869010574,0.270215513023118,0.42084884744234
rice_mid_indica,2004-2008,fert,mach,0.169316770230016,0.0564573642901859,0.303770313824976,0.76123518298508
rice_mid_indica,2004-2008,fert,fert,0.169316770230016,-0.316125273762018,-1.86706416223605,0
rice_mid_indica,2004-2008,fert,seed,0.169316770230016,0.0436156194015946,0.814159656195218,0.753148711425461
rice_mid_indica,2004-2008,fert,other,0.169316770230016,0.079559421059663,0.92370783363174,0.804273570121281
rice_mid_indica,2004-2008,seed,labor,0.0535713346512671,0.41051848768448,0.81270519521824,0.694874466116246
rice_mid_indica,2004-2008,seed,mach,0.0535713346512671,0.0796181183484388,0.42838735213616,0.784395937043333
rice_mid_indica,2004-2008,seed,fert,0.0535713346512671,0.137850883438554,0.814159656195218,0.453976157200572
rice_mid_indica,2004-2008,seed,seed,0.0535713346512671,-0.709533092023867,-13.2446409379701,0
rice_mid_indica,2004-2008,seed,other,0.0535713346512671,0.0815456025523933,0.946767973831523,0.806259751614012
rice_mid_indica,2004-2008,other,labor,0.086130503783712,0.150651691230852,0.29824579356297,0.435007669662619
rice_mid_indica,2004-2008,other,mach,0.086130503783712,0.366943606840844,1.97434960004834,1.07172142553574
rice_mid_indica,2004-2008,other,fert,0.086130503783712,0.156399227026691,0.92370783363174,0.472524500788709
rice_mid_indica,2004-2008,other,seed,0.086130503783712,0.0507196239632306,0.946767973831523,0.760252715987097
rice_mid_indica,2004-2008,other,other,0.086130503783712,-0.724714149061618,-8.41414037100602,0
rice_mid_indica,2009-2014,labor,labor,0.549112293592681,-0.257233073780454,-0.468452585713303,0
rice_mid_indica,2009-2014,labor,mach,0.549112293592681,0.167493532237156,0.917014694185725,0.873557103445086
rice_mid_indica,2009-2014,labor,fert,0.549112293592681,0.0237428306467974,0.172788863115436,0.252292066794007
rice_mid_indica,2009-2014,labor,seed,0.549112293592681,0.0517560957109841,0.848655501558913,0.782676212765771
rice_mid_indica,2009-2014,labor,other,0.549112293592681,0.0142406151855162,0.203899484057047,0.711127064975341
rice_mid_indica,2009-2014,mach,labor,0.182650870590339,0.503544041982514,0.917014694185725,0.760777115762967
rice_mid_indica,2009-2014,mach,mach,0.182650870590339,-0.70606357120793,-3.86564580243111,0
rice_mid_indica,2009-2014,mach,fert,0.182650870590339,0.0174578990247728,0.12705016388943,0.246007135171983
rice_mid_indica,2009-2014,mach,seed,0.182650870590339,0.029826680682268,0.489074307219732,0.760746797737055
