crop,period,f_n,f_m,S_n,eps,allen,morishima
soybean,all,labor,labor,0.550686912450145,-0.19561503189273,-0.355220048761264,0
soybean,all,labor,mach,0.550686912450145,0.181087095434986,1.07962757172656,1.0488468671734
soybean,all,labor,fert,0.550686912450145,0.0156512042671383,0.126293774316459,0.438990833800543
soybean,all,labor,seed,0.550686912450145,-0.0126808184683689,-0.125779250819729,0.265819730967972
soybean,all,labor,other,0.550686912450145,0.0115575506589746,0.20334555366373,1.11039744893023
soybean,all,mach,labor,0.167731077065204,0.594536774070145,1.07962757172656,0.790151805962876
soybean,all,mach,mach,0.167731077065204,-0.867759771738416,-5.17351815132674,0
soybean,all,mach,fert,0.167731077065204,0.0866508955446783,0.699209368138903,0.509990525078083
soybean,all,mach,seed,0.167731077065204,0.0839346577758785,0.832536038521044,0.362435207212219
soybean,all,mach,other,0.167731077065204,0.102637444347714,1.80582102240752,1.20147734261897
soybean,all,fert,labor,0.12392696593199,0.0695483286400064,0.126293774316459,0.265163360532737
soybean,all,fert,mach,0.12392696593199,0.117279140412019,0.699209368138903,0.985038912150435
soybean,all,fert,fert,0.12392696593199,-0.423339629533405,-3.41604126551221,0
soybean,all,fert,seed,0.12392696593199,0.0460680488585508,0.456942482585709,0.324568598294892
soybean,all,fert,other,0.12392696593199,0.190444111622829,3.35070677712063,1.28928400989408
soybean,all,seed,labor,0.100818047378446,-0.0692649872842087,-0.125779250819729,0.126350044608522
soybean,all,seed,mach,0.100818047378446,0.139642166436733,0.832536038521044,1.00740193817515
soybean,all,seed,fert,0.100818047378446,0.0566274954722783,0.456942482585709,0.479967125005683
soybean,all,seed,seed,0.100818047378446,-0.278500549436341,-2.7624076906679,0
soybean,all,seed,other,0.100818047378446,0.151495874811538,2.66544473394992,1.25033577308279
soybean,all,other,labor,0.0568369971742151,0.111979735107545,0.20334555366373,0.307594767000275
soybean,all,other,mach,0.0568369971742151,0.302892305075401,1.80582102240752,1.17065207681382
soybean,all,other,fert,0.0568369971742151,0.415242924616318,3.35070677712063,0.838582554149723
soybean,all,other,seed,0.0568369971742151,0.268724933471993,2.66544473394992,0.547225482908334
soybean,all,other,other,0.0568369971742151,-1.09883989827126,-19.3331800218637,0
soybean,2004-2008,labor,labor,0.487840932677783,-0.225778426408053,-0.462811566812862,0
soybean,2004-2008,labor,mach,0.487840932677783,0.17866839547233,1.09215990471518,1.05146546084004
soybean,2004-2008,labor,fert,0.487840932677783,0.0400997946922982,0.24703529318227,0.532134674597742
soybean,2004-2008,labor,seed,0.487840932677783,-0.00337757137792754,-0.0270762927356536,0.370240225793094
soybean,2004-2008,labor,other,0.487840932677783,0.0103878076213525,0.168906433276516,1.09275987122525
soybean,2004-2008,mach,labor,0.16359179155082,0.532800306549534,1.09215990471518,0.758578732957587
soybean,2004-2008,mach,mach,0.16359179155082,-0.872797065367715,-5.33521307575252,0
