crop,f_n,f_m,eps,morishima
soybean,labor,labor,-0.366583107632228,0
soybean,labor,mach,0.225295718509271,1.1877720731282
soybean,labor,fert,0.0906746823863463,0.883357270776584
soybean,labor,seed,0.021556207891695,0.559647222185473
soybean,labor,other,0.0290564988449164,1.01983084891699
soybean,mach,labor,0.697253688926904,1.06383679655913
soybean,mach,mach,-0.962476354618924,0
soybean,mach,fert,0.146713905442309,0.939396493832547
soybean,mach,seed,0.0602545588952694,0.598345573189047
soybean,mach,other,0.0582542013544419,1.04902855142652
soybean,fert,labor,0.394403762565908,0.760986870198136
soybean,fert,mach,0.206199877146782,1.16867623176571
soybean,fert,fert,-0.792682588390238,0
soybean,fert,seed,0.0994051198078016,0.637496134101579
soybean,fert,other,0.0926738288697472,1.08344817894182
soybean,seed,labor,0.11915276423417,0.485735871866399
soybean,seed,mach,0.107617720302955,1.07009407492188
soybean,seed,fert,0.126323894234049,0.919006482624287
soybean,seed,seed,-0.538091014293778,0
soybean,seed,other,0.184996635522604,1.17577098559468
soybean,other,labor,0.280442218468612,0.64702532610084
soybean,other,mach,0.181672620887643,1.14414897550657
soybean,other,fert,0.205637450667204,0.998320039057442
soybean,other,seed,0.323022060048617,0.861113074342395
soybean,other,other,-0.990774350072076,0
