param,est,se_delta
alpha_1,0.376606331323857,0.00962342946375072
alpha_2,0.254618003286694,0.00527379962551887
alpha_3,0.181469168616538,0.00408423454191567
alpha_4,0.0781585562723724,0.00252432935345513
gamma_1_1,0.146977459292559,0.0112103018549696
gamma_1_2,-0.0221730524318173,0.00582595149610735
gamma_1_3,-0.0718719249185593,0.00451665584079516
gamma_1_4,-0.00983410802977296,0.00283290120820971
gamma_2_2,0.0225090925181481,0.00603055237580726
gamma_2_3,-0.0102202774743038,0.00410169067834214
gamma_2_4,0.00341697160515399,0.00253163954447478
gamma_3_3,0.0811613209529427,0.00451608744294499
gamma_3_4,-0.0109948687709231,0.00229140579136466
gamma_4_4,0.0151466070925275,0.00216264485932979
gamma_1y,0.0357674277001897,0.0398156154589702
gamma_2y,-0.00353802322828097,0.0211754002512984
gamma_3y,0.0120836143943463,0.0164839212210209
gamma_4y,-0.0273885973100087,0.0101500635822295
lambda_1t,-0.0101475646310135,0.000777852013454934
lambda_2t,0.00373575284794304,0.000400961655172607
lambda_3t,0.00272590329257613,0.000328894087673052
lambda_4t,0.0022170285386294,0.000195202888551125
alpha_0,0.0800377299565846,0.0258760083496652
alpha_y,-0.0421580346962375,0.0929106457455068
gamma_yy,-0.344588109024609,0.336410067971854
lambda_t,-0.0139544109015843,0.000969644420321592
lambda_tt,-0.000164205256458065,0.000319933006158936
lambda_yt,-0.000111823652476775,0.00553715950925339
fe1_广东,0.10321053191427,0.013628369826139
fe1_广西,0.0948421792984538,0.0142107559997254
fe1_江西,0.015235985225123,0.0109152763938415
fe1_浙江,-0.0250192864304609,0.0106211860431222
fe1_海南,0.102279190757039,0.0242821771678247
fe1_湖北,0.0503187177871429,0.0101023422963639
fe1_湖南,0.0405257742012932,0.0117392997696559
fe1_福建,0.173872930920305,0.0111960839071926
fe2_广东,-0.052710899469433,0.00750577861367163
fe2_广西,-0.0671150046524464,0.00818673519993059
fe2_江西,-0.0324526213273029,0.00608536672376896
fe2_浙江,0.0261059273946115,0.00589132490498447
fe2_海南,-0.0336973637062307,0.0129927219427527
fe2_湖北,-0.032835148255095,0.00545278672893521
fe2_湖南,-0.00348199461308126,0.0064823225371078
fe2_福建,-0.0912171067362653,0.00603986783065536
fe3_广东,0.0016870409509409,0.0057846416051841
fe3_广西,-0.00528732689221404,0.00626932270650113
fe3_江西,0.00839929646070529,0.00468688132816484
fe3_浙江,-0.00490528750306855,0.00461346527097578
fe3_海南,-0.00452006895905696,0.0100842338401619
fe3_湖北,-0.0189924938340654,0.00422709882556811
fe3_湖南,-0.0355854688801087,0.00504520661889972
fe3_福建,-0.0291421529649249,0.00467850771114461
fe4_广东,-0.0216205680750259,0.00357235547992542
fe4_广西,-0.0107798946513319,0.00384103460604389
fe4_江西,-0.00884600109174624,0.00290679536204609
fe4_浙江,-0.0156554173619555,0.00306224437084574
fe4_海南,-0.00209260014834629,0.00622826697661002
fe4_湖北,0.003222838504376,0.00262700095180624
fe4_湖南,-0.00325370634486642,0.00315847945216042
fe4_福建,-0.0321558794944586,0.00294826124664593
feC_广东,-0.0676300407465112,0.0311752863738704
feC_广西,-0.0713787041454563,0.0323570981713396
feC_江西,-0.101705107927912,0.0232873589393132
feC_浙江,-0.137386612614536,0.02042337819379
feC_海南,-0.161661292375754,0.0486871931682102
feC_湖北,-0.0142863016063624,0.0201446114974392
feC_湖南,-0.116953311826824,0.0260834018519211
feC_福建,0.074332536422256,0.024390167672459
