param,est,se_delta
alpha_1,0.345683627869724,0.0113598037918038
alpha_2,0.262090417840667,0.00572137237135825
alpha_3,0.194977281899822,0.00478729553540894
alpha_4,0.0812813193341147,0.00261103832017701
gamma_1_1,0.114670383919096,0.013523800622153
gamma_1_2,-0.0108259522256209,0.00660776592855107
gamma_1_3,-0.0629604733150731,0.00553763506240203
gamma_1_4,-0.0108061376249493,0.00323438206166321
gamma_2_2,0.0319414088604522,0.00596409459869376
gamma_2_3,-0.0231441178009378,0.00419330088109334
gamma_2_4,0.00297064184892365,0.00257883086304688
gamma_3_3,0.0857484562364024,0.00505469391479046
gamma_3_4,-0.00962982468048711,0.00242131322067663
gamma_4_4,0.0162539467814495,0.00226831777902044
gamma_1y,0.135809881110116,0.0435073569552252
gamma_2y,-0.0271081623996857,0.0211907610770402
gamma_3y,-0.0301121822468932,0.018317113482483
gamma_4y,-0.0325468347544071,0.00963314070291029
lambda_1t,-0.00612284120952367,0.000767355359395219
lambda_2t,0.00252890293619148,0.000368604608416181
lambda_3t,0.00129587781383367,0.000341632083900078
lambda_4t,0.00205743330369628,0.000176368560922435
alpha_0,-0.00870116208859437,0.0316928945457738
alpha_y,0.200013068441742,0.115235459118075
gamma_yy,-0.600491582040382,0.389371746327481
lambda_t,-0.00669158833414356,0.00124704360265168
lambda_tt,-0.000543484202679745,0.000375170814454588
lambda_yt,0.0227704102289193,0.00640040704320581
fe1_广东,0.140593311908418,0.0162367616198898
fe1_广西,0.161077913101268,0.0184486343111139
fe1_江西,0.0545527051645489,0.0128525832200645
fe1_浙江,-0.0150737758304527,0.0126811238616532
fe1_海南,0.178790532336168,0.027323587477589
fe1_湖北,0.0448560475242452,0.0116339268946007
fe1_湖南,0.0550009988856657,0.0132945490691948
fe1_福建,0.208906220128807,0.0133896132913702
fe2_广东,-0.0602325253758729,0.00818235162659775
fe2_广西,-0.0826017803223419,0.00972459545924627
fe2_江西,-0.0431124568353553,0.00658179716146219
fe2_浙江,0.0234412070265447,0.00643125718894277
fe2_海南,-0.0486593614434254,0.0134003546839653
fe2_湖北,-0.0325909064133207,0.0056622062223167
fe2_湖南,-0.010253516550268,0.00665510950920173
fe2_福建,-0.0973558263019943,0.00662170471447762
fe3_广东,-0.0161009276585257,0.00683033844023677
fe3_广西,-0.0349795424017307,0.00777269532352883
fe3_江西,-0.00750546613603295,0.00545301015870135
fe3_浙江,-0.0100515255467192,0.00541952160516676
fe3_海南,-0.0400336499770725,0.0114772212028329
fe3_湖北,-0.0155771478445802,0.00487523066721295
fe3_湖南,-0.0391203920896617,0.00570303327519521
fe3_福建,-0.0461495257367798,0.00559694270217563
fe4_广东,-0.0249938085797042,0.00367231626915579
fe4_广西,-0.0176081415634756,0.00433669600032088
fe4_江西,-0.0130637901184369,0.00298261970700913
fe4_浙江,-0.0174399451938844,0.00323917680439392
fe4_海南,-0.00785711472420923,0.00611350834068955
fe4_湖北,0.00320286556842019,0.00257214677968368
fe4_湖南,-0.00446114379078607,0.00307802246907711
fe4_福建,-0.0362340902825243,0.00312891790709162
feC_广东,0.0735953913448967,0.0396300271561361
feC_广西,0.1657479782526,0.041277268384647
feC_江西,-0.00510421323624542,0.0291984152457572
feC_浙江,-0.084223823746555,0.0262070694755047
feC_海南,0.0806202900204504,0.0636482061919413
feC_湖北,-0.0644077311555816,0.0252236923432462
feC_湖南,-0.0929507985152333,0.0327330978338256
feC_福建,0.178792715904342,0.0308917550129399
