crop,factor,wage_def,R2_year,within_prov_sd
corn,labor,daywage,0.887,0.506
corn,mach,daywage,0.114,0.25
corn,fert,daywage,0.268,0.19
corn,seed,daywage,0.568,0.351
corn,labor,hired,0.676,0.417
wheat,labor,daywage,0.891,0.416
wheat,mach,daywage,0.124,0.223
wheat,fert,daywage,0.201,0.226
wheat,seed,daywage,0.271,0.208
wheat,labor,hired,0.636,0.371
soybean,labor,daywage,0.838,0.442
soybean,mach,daywage,0.124,0.228
soybean,fert,daywage,0.173,0.198
soybean,seed,daywage,0.088,0.205
soybean,labor,hired,0.529,0.372
rice_japonica,labor,daywage,0.869,0.469
rice_japonica,mach,daywage,0.133,0.23
rice_japonica,fert,daywage,0.2,0.195
rice_japonica,seed,daywage,0.235,0.297
rice_japonica,labor,hired,0.577,0.359
rice_mid_indica,labor,daywage,0.89,0.464
rice_mid_indica,mach,daywage,0.184,0.234
rice_mid_indica,fert,daywage,0.263,0.177
rice_mid_indica,seed,daywage,0.611,0.351
rice_mid_indica,labor,hired,0.623,0.389
rice_early_indica,labor,daywage,0.804,0.556
rice_early_indica,mach,daywage,0.139,0.303
rice_early_indica,fert,daywage,0.147,0.248
rice_early_indica,seed,daywage,0.126,0.41
rice_early_indica,labor,hired,0.59,0.437
rice_late_indica,labor,daywage,0.786,0.554
rice_late_indica,mach,daywage,0.127,0.308
rice_late_indica,fert,daywage,0.178,0.26
rice_late_indica,seed,daywage,0.283,0.384
rice_late_indica,labor,hired,0.54,0.437
peanut,labor,daywage,0.88,0.396
peanut,mach,daywage,0.22,0.234
peanut,fert,daywage,0.254,0.182
peanut,seed,daywage,0.263,0.207
peanut,labor,hired,0.726,0.346
rapeseed,labor,daywage,0.775,0.477
rapeseed,mach,daywage,0.096,0.266
rapeseed,fert,daywage,0.14,0.246
rapeseed,seed,daywage,0.099,0.372
rapeseed,labor,hired,0.475,0.407
