"beta0","p"
-2.5,0.0325749655474149
-2.48,0.0332079104400777
-2.46,0.0338625189682112
-2.44,0.0345397684557045
-2.42,0.0352406897925455
-2.4,0.0359663708383629
-2.38,0.0367179600688372
-2.36,0.0374966704835763
-2.34,0.0383037837961508
-2.32,0.0391406549283568
-2.3,0.0400087168328029
-2.28,0.0409094856698406
-2.26,0.0418445663670628
-2.24,0.0428156585920103
-2.22,0.0438245631711214
-2.2,0.0448731889910482
-2.18,0.0459635604211088
-2.16,0.0470978252992407
-2.14,0.048278263527126
-2.12,0.0495072963241178
-2.1,0.0507874961936593
-2.08,0.0521215976604404
-2.06,0.0535125088410531
-2.04,0.0549633239167383
-2.02,0.0564773365814606
-2,0.0580580545453399
-1.98,0.0597092151794165
-1.96,0.0614348023947629
-1.94,0.0632390648558556
-1.92,0.0651265356364662
-1.9,0.0671020534337216
-1.88,0.0691707854652606
-1.86,0.0713382521826668
-1.84,0.0736103539441822
-1.82,0.0759933997991773
-1.8,0.0784941385460207
-1.78,0.0811197922357408
-1.76,0.0838780923026044
-1.74,0.0867773185126255
-1.72,0.0898263409293536
-1.7,0.0930346651043804
-1.68,0.0964124807056863
-1.66,0.0999707138020458
-1.64,0.103721083022425
-1.62,0.107676159808422
-1.6,0.111849432970518
-1.58,0.116255377747342
-1.56,0.120909529547576
-1.54,0.125828562525566
-1.52,0.131030373102057
-1.5,0.136534168488028
-1.48,0.142360560199218
-1.46,0.148531662458421
-1.44,0.155071195267346
-1.42,0.162004591785291
-1.4,0.169359109472366
-1.38,0.177163944234747
-1.36,0.185450346539449
-1.34,0.194251738141509
-1.32,0.203603827674856
-1.3,0.213544722892803
-1.28,0.224115036793729
-1.26,0.235357984221358
-1.24,0.247319464778501
-1.22,0.260048127026574
-1.2,0.273595407956493
-1.18,0.288015540600551
-1.16,0.303365521413974
-1.14,0.319705027694255
-1.12,0.337096273839215
-1.1,0.35560379370612
-1.08,0.375294134761984
-1.06,0.396235448182337
-1.04,0.418496957649195
-1.02,0.442148288447073
-1,0.46725863771843
-0.98,0.493895766617767
-0.96,0.522124795853154
-0.94,0.5520067880082
-0.92,0.583597103449346
-0.9,0.616943521897349
-0.88,0.652084129277352
-0.86,0.689044979616574
-0.84,0.727837554848596
-0.82,0.768456061596271
-0.8,0.810874623333672
-0.78,0.855044448482939
-0.76,0.900891079300416
-0.74,0.948311851679682
-0.72,0.997173720505166
-0.7,0.952688373438665
-0.68,0.901472403725087
-0.66,0.849409228713521
-0.64,0.796761442681533
-0.62,0.743820942510745
