model,MAE,RMSE,R2,rank,is_best
fttransformer,0.17039077786396462,0.29780574315041897,-661879510.8870426,1,True
resnet_tabular,0.17926650048171375,0.3054332007333766,-10066282294.878548,2,False
mlp,0.18583680128397295,0.27662934544051687,-296336079.3797761,3,False
tabm,0.18647446054670644,0.2755539635804037,-173104661.62230307,4,False
tabpfn,0.18936124816836356,0.2773756920158465,-88664451.17999533,5,False
randomforest,0.1903893867733535,0.28873844018521067,-1121707383.6038046,6,False
catboost,0.19219591035148717,0.2872827529821622,-10485111984.994127,7,False
lightgbm,0.19296487875639784,0.28973228714508437,-3548623.782323979,8,False
linear,0.19659228439400575,0.2943594981493895,-40184211798.69993,9,False
lasso,0.19836303720538292,0.29910351976481875,-53349664903.91641,10,False
xgboost,0.20276947080920985,0.30743829028465786,-10598858170.968548,11,False
tabnet,0.2512402988367996,0.35883272506883895,-1373333334187.6936,12,False
