wave,T1,pop
2015,11,2188 
2015,12,1439 
2015,13,7345 
2015,14,3519 
2015,15,2440 
2015,21,4338 
2015,22,2613 
2015,23,3529 
2015,31,2458 
2015,32,8315 
2015,33,5985 
2015,34,6011 
2015,35,3984 
2015,36,4485 
2015,37,9866 
2015,41,9701 
2015,42,5850 
2015,43,6615 
2015,44,11678 
2015,45,4811 
2015,46,945 
2015,50,3070 
2015,51,8196 
2015,52,3708 
2015,53,4663 
2015,54,330 
2015,61,3846 
2015,62,2523 
2015,63,577 
2015,64,684 
2015,65,2385 
2016,11,2195 
2016,12,1443 
2016,13,7375 
2016,14,3514 
2016,15,2436 
2016,21,4327 
2016,22,2567 
2016,23,3463 
2016,31,2467 
2016,32,8381 
2016,33,6072 
2016,34,6033 
2016,35,4016 
2016,36,4496 
2016,37,9973 
2016,41,9778 
2016,42,5885 
2016,43,6625 
2016,44,11908 
2016,45,4857 
2016,46,957 
2016,50,3110 
2016,51,8251 
2016,52,3758 
2016,53,4677 
2016,54,340 
2016,61,3874 
2016,62,2520 
2016,63,582 
2016,64,695 
2016,65,2428 
2017,11,2194 
2017,12,1410 
2017,13,7409 
2017,14,3510 
2017,15,2433 
2017,21,4312 
2017,22,2526 
2017,23,3399 
2017,31,2466 
2017,32,8423 
2017,33,6170 
2017,34,6057 
2017,35,4065 
2017,36,4511 
2017,37,10033 
2017,41,9829 
2017,42,5904 
2017,43,6633 
2017,44,12141 
2017,45,4907 
2017,46,972 
2017,50,3144 
2017,51,8289 
2017,52,3803 
2017,53,4693 
2017,54,349 
2017,61,3904 
2017,62,2522 
2017,63,586 
2017,64,705 
2017,65,2480 
2018,11,2192 
2018,12,1383 
2018,13,7426 
2018,14,3502 
2018,15,2422 
2018,21,4291 
2018,22,2484 
2018,23,3327 
2018,31,2475 
2018,32,8446 
2018,33,6273 
2018,34,6076 
2018,35,4104 
2018,36,4513 
2018,37,10077 
2018,41,9864 
2018,42,5917 
2018,43,6635 
2018,44,12348 
2018,45,4947 
2018,46,982 
2018,50,3163 
2018,51,8321 
2018,52,3822 
2018,53,4703 
2018,54,354 
2018,61,3931 
2018,62,2515 
2018,63,587 
2018,64,710 
2018,65,2520 
2019,11,2190 
2019,12,1385 
2019,13,7447 
2019,14,3497 
2019,15,2415 
2019,21,4277 
2019,22,2448 
2019,23,3255 
2019,31,2481 
2019,32,8469 
2019,33,6375 
2019,34,6092 
2019,35,4137 
2019,36,4516 
2019,37,10106 
2019,41,9901 
2019,42,5927 
2019,43,6640 
2019,44,12489 
2019,45,4982 
2019,46,995 
2019,50,3188 
2019,51,8351 
2019,52,3848 
2019,53,4714 
2019,54,361 
2019,61,3944 
2019,62,2509 
2019,63,590 
2019,64,717 
2019,65,2559 
2020,11,2189 
2020,12,1387 
2020,13,7464 
2020,14,3490 
2020,15,2403 
2020,21,4255 
2020,22,2399 
2020,23,3171 
2020,31,2488 
2020,32,8477 
2020,33,6468 
2020,34,6105 
2020,35,4161 
2020,36,4519 
2020,37,10165 
2020,41,9941 
2020,42,5745 
2020,43,6645 
2020,44,12624 
2020,45,5019 
2020,46,1012 
2020,50,3209 
2020,51,8371 
2020,52,3858 
2020,53,4722 
2020,54,366 
2020,61,3955 
2020,62,2501 
2020,63,593 
2020,64,721 
2020,65,2590 
2021,11,2189 
2021,12,1373 
2021,13,7448 
2021,14,3480 
2021,15,2400 
2021,21,4229 
2021,22,2375 
2021,23,3125 
2021,31,2489 
2021,32,8505 
2021,33,6540 
2021,34,6113 
2021,35,4187 
2021,36,4517 
2021,37,10170 
2021,41,9883 
2021,42,5830 
2021,43,6622 
2021,44,12684 
2021,45,5037 
2021,46,1020 
2021,50,3212 
2021,51,8372 
2021,52,3852 
2021,53,4690 
2021,54,366 
2021,61,3954 
2021,62,2490 
2021,63,594 
2021,64,725 
2021,65,2589 
2022,11,2184 
2022,12,1363 
2022,13,7420 
2022,14,3481 
2022,15,2401 
2022,21,4197 
2022,22,2348 
2022,23,3099 
2022,31,2475 
2022,32,8515 
2022,33,6577 
2022,34,6127 
2022,35,4188 
2022,36,4528 
2022,37,10163 
2022,41,9872 
2022,42,5844 
2022,43,6604 
2022,44,12657 
2022,45,5047 
2022,46,1027 
2022,50,3213 
2022,51,8374 
2022,52,3856 
2022,53,4693 
2022,54,364 
2022,61,3956 
2022,62,2492 
2022,63,595 
2022,64,728 
2022,65,2587 
2023,11,2186 
2023,12,1364 
2023,13,7393 
2023,14,3466 
2023,15,2396 
2023,21,4182 
2023,22,2339 
2023,23,3062 
2023,31,2487 
2023,32,8526 
2023,33,6627 
2023,34,6121 
2023,35,4183 
2023,36,4515 
2023,37,10123 
2023,41,9815 
2023,42,5838 
2023,43,6568 
2023,44,12706 
2023,45,5027 
2023,46,1043 
2023,50,3191 
2023,51,8368 
2023,52,3865 
2023,53,4673 
2023,54,365 
2023,61,3952 
2023,62,2465 
2023,63,594 
2023,64,729 
2023,65,2598 
2024,11,2183 
2024,12,1364 
2024,13,7378 
2024,14,3446 
2024,15,2388 
2024,21,4155 
2024,22,2317 
2024,23,3029 
2024,31,2480 
2024,32,8526 
2024,33,6670 
2024,34,6123 
2024,35,4193 
2024,36,4502 
2024,37,10080 
2024,41,9785 
2024,42,5834 
2024,43,6539 
2024,44,12780 
2024,45,5013 
2024,46,1048 
2024,50,3190 
2024,51,8364 
2024,52,3860 
2024,53,4655 
2024,54,370 
2024,61,3953 
2024,62,2458 
2024,63,593 
2024,64,729 
2024,65,2623 
