Year,total_population,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
2015,138097,1.0868107527617648,1.155145328298669,1.3130920815586484,1.2317232270211722,1.0661449988544658,1.2676947898781485,1.305338892213028,1.0247397827540339,1.2681701677869983,1.192065518699483,1.1706738901827354,1.0325836749136195,1.0736360872289894,1.0000183879433793,1.002970181285336,63.76910159607955,69.09651297397197,31.019565609469183,35.27460135876731,11.836239068868831,15.234102502723347,27.760596669165572,33.812135747700644,97.83612605632273,104.3262728495373,20.22666097018762,25.56825070352283,1.6553994655930253,2.1797605443833192,1.2383418901207122,1.2699603215253936,8.460566123811523,10.68269372216906,11.328781218998241,13.704591012258417,9.42126331491633,10.982353812281826,12.092884711470923,12.487593888171173,44.353993207672865,47.627902208765214,1.3314213922098235,1.3352599688139173
2016,139003,1.0712265225626214,1.1264922282804075,1.3265489788172105,1.253217361160546,1.0452549640081255,1.2214358607735019,1.3737729667060743,1.0215811837012798,1.2864859402658162,1.2203698630663837,1.1648884572366283,1.01388647159013,1.058268990031824,1.0006579736953036,1.0049437191895345,62.57448220079061,66.79113858927052,31.2400326608218,34.79880815072629,11.562767066268654,15.071182101730717,27.200235104125444,33.38323838634147,100.06428566289935,104.60563741775991,19.724095882822674,24.066787108079488,1.7940907750192443,2.482040951456286,1.4785695272763895,1.5149901773278756,9.25039891225369,11.860055187961065,11.636710718473703,14.425742355765419,9.621447019129086,11.137151717354447,11.962002978352988,12.12843222738385,48.145342906268205,50.950503072150845,1.3330769839499867,1.3395313601642478
2017,139779,1.0642141129025537,1.135805323094343,1.3173680250838387,1.2333227984273116,1.0480646971547296,1.2103337736612132,1.4190222378809991,1.0202128729592974,1.311436452596371,1.2498927160016726,1.1881708285800148,1.0214980921425303,1.064594773740427,1.0000165006440906,1.0080597009499277,64.3993413930551,68.35329638628973,27.408590484086613,30.860004115083647,10.93249665972238,14.133067701396245,27.168005491137258,33.123006088799684,99.19846185764673,103.9723729819693,20.223758933745412,24.489231275141375,1.8639638286151712,2.6608054441571025,1.338018586482948,1.367334990960495,9.029555226464636,11.799654160262914,11.63214431352349,14.829166079552497,9.969308694439079,11.771941825035999,12.116350095507908,12.38229089965382,49.92649539630417,53.12491066009598,1.3301769221413802,1.3416422854148524
2018,140310,1.0867808643150374,1.1709016878052194,1.3271390723192096,1.266852447189507,1.0686438009910995,1.2866522681815236,1.4267836340131492,1.0196817049515179,1.308620472482253,1.2459615867533982,1.1881340068043449,1.017327941095813,1.0731771458265664,1.000001557568167,1.003164706512715,62.6806258564383,67.91383751966144,27.040262382437074,31.154842750053472,11.275712905784607,14.745565742427715,25.961172356872346,32.518525135511084,96.0866923241394,102.7245436129772,22.95137695103699,29.37240739012268,2.0008958734231346,2.882836996337834,1.298365048820469,1.3260798095192188,9.144407383650488,12.027134152659926,11.55773715344594,14.61623678860465,9.648803363979757,11.4043085991931,12.197649490414083,12.418912156540133,51.772687620269394,55.63551665602321,1.3128016534815763,1.316972029894305
2019,140805,1.0692395032998745,1.137561642700237,1.3254257907708977,1.240747143253949,1.0445242848823943,1.2232495584003804,1.3859138156457418,1.0174950421879194,1.2972008001296806,1.25111762177995,1.1617491569912137,1.0171822720198935,1.0608114022573205,1.00082166590641,1.0074216968114071,61.95844253239773,66.06555487846894,28.703193766277607,32.33404528719363,11.459299493168848,14.945986602579111,27.60147889513428,34.00029627035216,98.41325805191576,102.84259930894586,20.368170164411776,24.818428325664794,2.2239501438159155,3.1153355690731668,1.2004573701217998,1.2228492071696182,10.973217570398775,14.212915745320249,13.79949149533042,17.441984794076273,10.60180959482973,12.243448923435349,12.486082170377472,12.723645220634351,56.080492170022374,59.53216362367596,1.2683171762366392,1.2774973048080003
2020,141013,1.0716430089558717,1.1284810056205121,1.3175014760867523,1.2179600139810323,1.0455616091571303,1.2059814985785298,1.368008654540718,1.0177584949757827,1.2895204759176078,1.2515083529934272,1.1608660802900048,1.011854458021343,1.0654104023284394,1.000017662867564,1.003926369581301,66.46888651865926,71.06453110302293,31.71443978022477,35.43676460151735,12.494747775768877,16.2162075700142,29.98676817393413,36.27231054242547,103.55493536056957,108.30236908981693,18.275151227191817,22.023016511688088,2.3145929807890058,3.1943961475508753,1.2399863842340777,1.2639515487382518,12.962123350329401,16.629079410294008,14.117674966137873,17.769676321220796,12.681627935013083,14.601156682190746,12.973932899803565,13.14057466164898,55.92224121180317,59.63972077889241,1.2886357995362128,1.293483043740267
2021,141060,1.0718538158343935,1.1506028343699215,1.3115926904519735,1.2809945266797473,1.0528275698969105,1.2119213978340508,1.423512626671861,1.0168943423726857,1.3312829970688798,1.2813444590422804,1.1880230928151028,1.0191189844419528,1.0644469668243917,1.000000463716638,1.003372295455572,67.4156171496522,72.02541311669857,32.95976828520447,37.47052101160028,12.701140247769867,16.41552783229864,30.899568887060116,39.207421094367525,109.60127534382531,115.42336809632536,25.264175528144055,30.61450207776461,2.4732993052601726,3.550394068951331,1.3963547426626965,1.4220946546790711,18.459117396852406,24.525971977316804,14.488228413441089,18.878231129409688,13.117322415993195,15.456179064858055,14.358794839075573,14.652294010831087,60.68883241173968,64.65777762123888,1.2564313058273076,1.2606969613278178
2022,140975,1.0747131785249306,1.134052659400675,1.3212752616692593,1.2609130433282723,1.0452223722093341,1.2150287462613751,1.4021928906916028,1.0169728191780734,1.317134552763804,1.2647310790782185,1.1747886498366868,1.0126772420844685,1.0651412428235638,1.0000010940467616,1.00217183658806,63.332550928973994,67.87330393181931,31.53515444993729,35.29426127018292,12.00224239696861,15.640374387327794,29.33996178255245,36.69049710125066,108.09951622628125,113.02626530723695,26.989525802447243,32.80197875348422,2.541774073417273,3.5982573065155354,1.3983025359106225,1.4239668802045495,11.844193651356624,15.62326778279375,14.0881163326831,17.979108922719874,13.466550097535025,15.685553487676135,12.362899095584321,12.535800407902867,54.41767902110303,58.03102423382634,1.210450789147012,1.2132348938853876
2023,140767,1.0693349133011953,1.150189759129514,1.318451169511299,1.2696295257214305,1.048508378494366,1.2164723325829703,1.4227456057989432,1.01794881279155,1.342650711356466,1.291575399586634,1.1951390775122483,1.0171413736017367,1.0613593584582404,1.0000025396135261,1.0021175867650436,62.834691808923765,67.02567821929686,30.748126663157045,35.020669217683796,11.822284869310849,15.370473867510876,28.608069490308957,35.97242461494136,113.4759801658059,118.97518163526338,30.51075678248453,37.14124896934084,3.166350778236377,4.547935788358639,1.7283525258050538,1.7616287314176793,12.46408817407489,16.85437523216621,15.402401130946883,20.142680323826383,14.941558746012914,17.73109901894466,13.16608367017838,13.41181481606078,60.74765747653923,64.53005326784445,1.182598904572805,1.185105480562777
2024,140628,1.0640017171559077,1.1536887366181052,1.3311824446797862,1.2593306926622618,1.0502644598928998,1.2202206845291894,1.4288857860667077,1.0195181347688098,1.3358447694015716,1.2870541301273848,1.1894611374305324,1.0159130112144579,1.0597642100387157,1.0000039474830922,1.001935779245857,58.89017477697887,62.51842436581531,27.09963315964397,30.985774809717935,11.104070984416355,14.59766279287265,26.88633127892099,33.48647011512173,108.69224692095457,114.15981607128275,28.121959353756004,34.34261313144172,3.8844289188497316,5.591759881897086,1.8550025599453877,1.892449664149406,12.606842165144924,16.964953155906453,15.275911624996446,19.916067883228955,14.107938675086045,16.661669042683997,12.572419432829879,12.791523502789047,61.570819466962476,65.28807763904979,1.1064766618312143,1.1086020584517076
