Year,total_population,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
2015,138097,1.2061970133211413,1.2913667962602942,1.253101677945963,1.1638034420801273,1.1866321760301106,1.2234547931531048,1.523658675165078,3.0994202257416332,1.2967010935352394,1.1879170412537752,1.1541820152326854,1.188210314997484,1.0573682185909197,1.0327866423233594,1.300615943723149,60.364557193540556,73.1847116574874,34.357655365822524,43.46185392711231,11.592411908404095,14.490744462809591,28.070878475815963,32.5185612680809,97.83612605632273,116.34079175686108,20.22666097018762,24.830706803365526,1.6553994655930253,2.539199231183601,1.2383418901207122,3.525054023859822,8.460566123811523,10.923061207458103,11.328781218998241,13.684238289101629,9.42126331491633,10.8236979953001,12.092884711470923,14.143716967850605,44.353993207672865,46.89700923102878,1.3314213922098235,1.7235932016456543
2016,139003,1.1749189574759622,1.2464822504790427,1.231277966681818,1.126088830428772,1.143961515483909,1.1847435023079607,1.4058518522645536,3.051205020396247,1.2964921013364072,1.1808321751749804,1.1165795184640859,1.136005320630591,1.0444962016097992,1.0320474367417172,1.1423197697961527,58.58632615023741,69.12360906614873,34.85320576287903,42.73862518841852,11.438542340561,14.037182728377436,27.699442778329054,31.119890148455948,100.06428566289935,114.6076082542483,19.724095882822674,23.440845090462524,1.7940907750192443,2.524398153611717,1.4785695272763895,4.090057254341066,9.25039891225369,11.940504178518367,11.636710718473703,13.837764925693389,9.621447019129086,10.684481969035,11.962002978352988,13.375036175344977,48.145342906268205,50.285727572733165,1.3330769839499867,1.5237513114431926
2017,139779,1.1924335379142592,1.2528848917204563,1.2571735956240162,1.1205384255001318,1.1630680227352854,1.1998162558032184,1.4205866048469091,1.9397311191589226,1.3172191148989052,1.1996744136580262,1.1273579938940645,1.1330702524465481,1.046840671065597,1.0361719536676286,1.144638755469379,58.435417060837004,69.76085035305509,33.89706832818164,41.85064137836986,10.7004661367991,13.429030949102954,26.875482502183594,30.11520016907879,99.19846185764673,115.45429451593769,20.223758933745412,24.315348282849914,1.8639638286151712,2.6426877960293567,1.338018586482948,2.5026976585764147,9.029555226464636,11.804472481546306,11.63214431352349,14.153858873575613,9.969308694439079,11.158185462235053,12.116350095507908,13.52408685960816,49.92649539630417,52.272739196488686,1.3301769221413802,1.5291263340011652
2018,140310,1.215549693674702,1.2764564799583638,1.2551884712531387,1.1423159179202034,1.2096788114021906,1.220898744243464,1.5258679652897646,2.866753703733824,1.3420311060034391,1.200032785795661,1.1404361379981212,1.1466061644515209,1.0548056407371003,1.0403059468706184,1.184168814799587,57.03352349026686,69.30346534907261,33.407157562250376,42.30187377101195,10.30351542616939,12.926549144072412,26.213577022845705,29.88481962657785,96.0866923241394,116.4827873188629,22.95137695103699,28.0121877979893,2.0008958734231346,3.0476718518353922,1.298365048820469,3.421523478892023,9.144407383650488,12.188741191663135,11.55773715344594,14.007877289291356,9.648803363979757,10.957168401387667,12.197649490414083,13.853240696269737,51.772687620269394,54.62576457906344,1.3128016534815763,1.5478113656901642
2019,140805,1.19680501026241,1.2414159663210604,1.245319597428688,1.1207299052272117,1.1860254948514328,1.193722373931678,1.4233821649083338,1.6471358737805433,1.3344076415673751,1.2075489984891556,1.120461578468628,1.1345685227011604,1.0513835589646514,1.04386727610699,1.1135637827738394,56.06711899364825,67.09847693638571,35.764591390781106,44.122014112498874,10.502539557552774,13.06214724385822,27.388164744996313,30.689644987752484,98.41325805191576,116.90363041159938,20.368170164411776,24.343995750944337,2.2239501438159155,3.1662213982059355,1.2004573701217998,1.9536713354032853,10.973217570398775,14.550034099448505,13.79949149533042,16.8359213023212,10.60180959482973,11.821298196644277,12.486082170377472,14.0320717089258,56.080492170022374,58.986777638761026,1.2683171762366392,1.4153775346648079
2020,141013,1.1947021618322702,1.231533183741323,1.2384680376456139,1.1137629813556427,1.1818553209590141,1.1812629748543357,1.3836319007252056,1.5856506277186668,1.3366718059994538,1.2037716125981435,1.1166952723841728,1.1404339039041806,1.0523338560175906,1.0454314276100132,1.106047184634587,59.55087970663996,71.23556877433877,40.50905140913129,49.535069346469605,11.070017098056573,13.678103681974553,29.534894034759194,32.802388275744775,103.55493536056957,122.53138377043841,18.275151227191817,21.66982635262965,2.3145929807890058,3.187216665698305,1.2399863842340777,1.9211367839465547,12.962123350329401,17.23770675771933,14.117674966137873,17.133201715841615,12.681627935013083,14.09447455269511,12.973932899803565,14.621500776439369,55.92224121180317,58.855517758212216,1.2886357995362128,1.425882682290577
2021,141060,1.2110016487750213,1.2576009227296745,1.265840995727857,1.1128016407729175,1.2015114946178216,1.2005388979209939,1.3688830113752557,1.7454078955469141,1.3759065574445017,1.2217979268174846,1.1293489035045012,1.1255352589778191,1.0542510215430068,1.0506535724157187,1.112997034814622,58.17862026402123,70.62555178312235,44.64797272336713,55.6772910319582,11.304704952068148,14.27984122029811,29.84479663023015,33.24273386226808,109.60127534382531,131.9636172580594,25.264175528144055,30.357458815010997,2.4732993052601726,3.3922115873316994,1.3963547426626965,2.3855357715226444,18.459117396852406,25.684260151408612,14.488228413441089,17.934753201041648,13.117322415993195,14.749974783106023,14.358794839075573,16.092517780590796,60.68883241173968,64.02759218383868,1.2564313058273076,1.3991980870317327
2022,140975,1.213825082535486,1.260320115313312,1.255843414938342,1.1157391346922652,1.203519850450954,1.1916426854783488,1.3711558367166783,1.56318701234479,1.3868438683103672,1.2277166877259387,1.120718784281875,1.1338178540285258,1.05754479110611,1.0518127498132717,1.1146939961750997,54.261062018159365,66.04505314430322,43.30734930684291,54.18144369741028,10.370498593253018,13.006688953542598,28.270999640177042,31.525562706838663,108.09951622628125,130.4762682927948,26.989525802447243,32.195029501723795,2.541774073417273,3.4971772289521454,1.3983025359106225,2.18681888125202,11.844193651356624,16.385068623814,14.0881163326831,17.487100461923557,13.466550097535025,15.03842273734531,12.362899095584321,13.951283834634832,54.41767902110303,57.600184883569476,1.210450789147012,1.350680583427971
2023,140767,1.2291428423289692,1.2829111543660845,1.2823235411546716,1.1178121519461375,1.2260355389198254,1.214358714486651,1.370490775612089,1.5152429023340284,1.4191990738611864,1.2484895473271609,1.1259174150880167,1.1369172963149512,1.0570442695743958,1.0605338087587988,1.1450016792456452,51.18204493767742,63.06165551029606,44.64307494194779,56.92122395835873,10.505824558947564,13.457294694687853,27.68222839312785,30.918136736931434,113.4759801658059,139.35111845838486,30.51075678248453,37.040383156453025,3.166350778236377,4.346264197732868,1.7283525258050538,2.5750793091639865,12.46408817407489,17.640888014817058,15.402401130946883,19.43968643362745,14.941558746012914,16.761223674204068,13.16608367017838,14.913525599499794,60.74765747653923,64.25312204986065,1.182598904572805,1.3535064009563238
2024,140628,1.242071834647806,1.3025489925035798,1.2945655132497491,1.12175804331425,1.2396847839604057,1.2283186181791381,1.3778268547864976,1.5231549573043295,1.4380969914031843,1.2563922505577885,1.1296542806368324,1.1414708697662226,1.0577930461040645,1.0655508964643703,1.1683203582782,47.26347408135351,58.86449928472432,41.15302319179711,53.37681604958055,9.751150007788876,12.626968179180716,25.812562919020703,28.916288779373343,108.69224692095457,135.04777177612428,28.121959353756004,34.57731943561907,3.8844289188497316,5.36723140419511,1.8550025599453877,2.752745566378134,12.606842165144924,18.07604840482204,15.275911624996446,19.434102430167158,14.107938675086045,15.868802107556036,12.572419432829879,14.305978972286063,61.570819466962476,65.1640482490435,1.1064766618312143,1.292082295140537
