Year,total_population,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
2015,138097,1.1170788608326025,1.1790937104056418,1.3046919519289746,1.2377280676962257,1.0645795018342812,1.2265395114063304,1.6160778589128308,1.0288836098947052,1.3664938222287923,1.263607602310183,1.1249363187796588,1.017533485679046,1.076849202660359,1.0,1.0020583025730128,65.65752667797038,72.85009490528263,29.211087648103327,33.778785038839054,11.916436009754287,15.38291994815917,27.60045260775515,33.52400817901538,97.83612605632273,104.15146272430303,20.22666097018762,24.770795261800302,1.6553994655930253,2.7239583438015296,1.2383418901207122,1.27431753351479,8.460566123811523,11.372923195903972,11.328781218998241,14.56929327282947,9.42126331491633,10.547155493930962,12.092884711470923,12.327616790504395,44.353993207672865,47.754644209952126,1.3314213922098235,1.3340010037375922
2016,139003,1.1001805584449045,1.1787195803384225,1.373164945937114,1.2372315743103879,1.0471304889013524,1.2145563185902548,1.9439615470898612,1.0292268230872843,1.5133315561379221,1.3012600249194988,1.159922945579453,1.0157005152687417,1.051918342000391,1.0,1.0157250781873135,62.290052768560926,68.06495960750676,31.195121847122433,36.03305497257026,12.757380353092927,17.041200946272305,26.33496206323021,31.9168052405127,100.06428566289935,104.78411837880903,19.724095882822674,23.853050545826306,1.7940907750192443,3.550757095995882,1.4785695272763895,1.5223041467318912,9.25039891225369,14.002703065301636,11.636710718473703,15.469995214806346,9.621447019129086,11.0959077719026,11.962002978352988,12.157413707062663,48.145342906268205,50.620333207873294,1.3330769839499867,1.3530939081258397
2017,139779,1.083710989373547,1.131924712505417,1.4179409466159882,1.1640680856603391,1.0676009335456442,1.1564962021625753,2.0529258059472526,1.0585420542342658,1.6083049619861265,1.3145010070255407,1.1427815417263854,1.0191120002575935,1.0610782432042074,1.0,1.0012523302858074,62.383393253804,67.34091375278027,28.83426406718653,32.225132208759554,11.309442954123979,15.688880548217915,27.38133375288685,31.618362601762104,99.19846185764673,105.92441125180778,20.223758933745412,23.526899287201008,1.8639638286151712,3.904497775896431,1.338018586482948,1.4068378881841155,9.029555226464636,14.436091088805421,11.63214431352349,15.70639538012824,9.969308694439079,11.331934323784244,12.116350095507908,12.330421030275026,49.92649539630417,53.14645859477732,1.3301769221413802,1.3319805307616353
2018,140310,1.1751229932825238,1.1871613200632636,1.3664386163682825,1.2472634005846261,1.1144210793432832,1.2511867054324453,2.1031716711884783,1.0824119114795356,1.716737136614738,1.3472917461794924,1.1392441588196838,1.0327647155241206,1.1174099067035852,1.0,1.0050062474387824,61.468331651488604,71.40740895194176,26.307528815491526,30.713375699475627,13.104991801849398,17.775121573264492,26.07692123270281,32.075400547279145,96.0866923241394,107.23584189874526,22.95137695103699,28.574357522591473,2.0008958734231346,4.318003663575353,1.298365048820469,1.4045332921233589,9.144407383650488,16.085613212956616,11.55773715344594,15.876118301965596,9.648803363979757,10.976833070811853,12.197649490414083,12.628508123848542,51.772687620269394,58.536865178603506,1.3128016534815763,1.3197794278277262
2019,140805,1.0855816456599725,1.1850383016948596,1.4495577209303212,1.2309789731612657,1.0676758323369695,1.1916794727806688,2.2968860698788456,1.0345407165006164,1.6810034160082978,1.352568045099755,1.144121574401522,1.020849930472397,1.05322727130201,1.0,1.0274264962653608,60.45031586307601,65.26434376706707,28.993412120113767,33.506499319376786,12.340213481538253,17.65974566824465,27.938473222250433,34.12188634891232,98.41325805191576,105.16442343664096,20.368170164411776,24.276481647568517,2.2239501438159155,5.279997713992154,1.2004573701217998,1.2434585938186788,10.973217570398775,18.749310018792386,13.79949149533042,18.979152524692715,10.60180959482973,12.058280615177285,12.486082170377472,12.737062894256036,56.080492170022374,59.065727013995314,1.2683171762366392,1.3029844226529652
2020,141013,1.1150660359417017,1.1641936322177817,1.3813618225312858,1.1933740704796973,1.122470612143858,1.2046490802766547,2.471277277418599,1.0540108184899204,1.6904285925304814,1.381995203000544,1.1353672561333947,1.0144215991034262,1.0657263208112544,1.0,1.0111969499575655,64.24292770895335,71.22914761845622,32.43994128828919,36.85422189027239,13.496036363322792,18.387620744997008,30.485936888021683,35.98116425012145,103.55493536056957,116.20453024770084,18.275151227191817,22.11730502574838,2.3145929807890058,5.873048231514316,1.2399863842340777,1.315208676110042,12.962123350329401,22.48415047462068,14.117674966137873,19.687609893848837,12.681627935013083,14.277041603378269,12.973932899803565,13.156025116800478,55.92224121180317,59.66717645579918,1.2886357995362128,1.3016470391363617
2021,141060,1.1192041094550351,1.1865016664671613,1.3952705895660265,1.2454468016742275,1.127151384879553,1.1846734992821588,2.3826686778316093,1.0213804952059784,1.7112495222454953,1.3533368899489375,1.1390456520440775,1.0105621975872714,1.05713989640369,1.0,1.0323592617810968,66.19014237583094,73.81279439850815,33.97556257194435,39.1586464581221,13.41472730927769,18.58509473103372,30.39566231263368,37.40734753852218,109.60127534382531,123.61292712729669,25.264175528144055,30.029039915572305,2.4732993052601726,6.0131513843087205,1.3963547426626965,1.426419287619372,18.459117396852406,31.484571396636778,14.488228413441089,19.893134103834743,13.117322415993195,14.835158770794406,14.358794839075573,14.514967209419462,60.68883241173968,64.22360357822073,1.2564313058273076,1.2973497988145217
2022,140975,1.100482880654163,1.1888760564231073,1.4509506677769115,1.227528439239933,1.0745943274546605,1.1585778640680324,2.3905969996213083,1.0212311850695248,1.7030789062200682,1.3582322693828168,1.184416914435949,1.0113195170752616,1.061171945346358,1.0,1.0011063455638805,63.07201852956435,68.59049035533305,31.251858384355483,36.59552234505834,12.255337546840634,17.703943951168494,29.630695097671893,36.09465468139253,108.09951622628125,116.42404140213428,26.989525802447243,31.334305466067917,2.541774073417273,6.226284922038577,1.3983025359106225,1.4282049740474194,11.844193651356624,20.493550108811906,14.0881163326831,19.333051768210957,13.466550097535025,15.782177391233335,12.362899095584321,12.503309529225174,54.41767902110303,57.84986433648856,1.210450789147012,1.211779536324522
2023,140767,1.1151306817600481,1.1762420461578995,1.4514473108389887,1.222132666947879,1.110090754588122,1.1964070018433663,2.3715317123038404,1.0341141943899497,1.6857691415365135,1.3649259295564278,1.175849884131876,1.0182497114408589,1.065058788930755,1.0,1.0000883752083367,59.40208376343802,66.15257732086029,34.4506927635958,40.03605936371726,12.069101372287875,17.638156297390722,28.09129493237892,33.91807058752654,113.4759801658059,126.31021772578717,30.51075678248453,36.5894407572152,3.166350778236377,7.677206201757813,1.7283525258050538,1.794253567530717,12.46408817407489,21.223285267854514,15.402401130946883,21.32678241174038,14.941558746012914,17.381649512513036,13.16608367017838,13.397624348064669,60.74765747653923,64.79388459469388,1.182598904572805,1.1827045670490288
2024,140628,1.0773907262260416,1.1877141097635242,1.4010400365522078,1.2261497387391214,1.1112730686559142,1.1674751670200354,2.3830481748344945,1.1383511215580946,1.669322671381931,1.3393031031256961,1.1817807569517154,1.007154013871212,1.0602418482122435,1.0,1.014274372277409,58.242397793238176,62.55199248589811,27.61097093320402,32.15655653916159,11.451113064286476,16.062462156086315,26.675728409231514,32.319832966284984,108.69224692095457,120.94214497453201,28.121959353756004,32.916851892923,3.8844289188497316,9.422708472742443,1.8550025599453877,2.04705805746408,12.606842165144924,21.360021305053692,15.275911624996446,20.714995326287593,14.107938675086045,16.47719915244907,12.572419432829879,12.665858424877346,61.570819466962476,65.42691561571904,1.1064766618312143,1.1219209483155932
