Year,total_population,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
2015,138097,2.4381491789263285,1.092270949825406,1.0568990839708814,1.065050173751886,1.1398819423350717,2.103433278054282,1.0992057007164802,1.27000731114791,1.6651904542856442,51722.382484245834,1.1544794607087694,1.601548217853822,1.2489621469080718,1.015835411774623,1.0081518153749718,50.566266212310104,96.66471251087243,32.160622939961776,34.802631691982164,28.750336290405844,30.203832155555524,22.908277500905402,24.839209875558574,97.83612605632273,111.28789620328824,20.22666097018762,41.1594245905743,1.6553994655930253,1.8171885305014532,1.2383418901207122,1.5456640476846446,8.460566123811523,14.176050301915565,11.328781218998241,459045.8790767248,9.42126331491633,11.090248246740686,12.092884711470923,20.10657745590899,44.353993207672865,56.16781285835092,1.3314213922098235,1.342556432564538
2016,139003,1.7832695403202437,1.028466662011915,1.0658008304350972,1.0652959013649501,1.073563285155901,2.3863622293154343,1.0659082490900433,1.419662226337266,1.9667611898482715,119993.46867182119,1.1833904007753373,1.6173768419751946,1.2800631725438483,1.0101175656574743,1.0086399545212836,47.26414408775948,69.96832646804508,34.57107337036248,35.639799547923595,27.605165655706713,29.545163132163754,23.137133918177827,25.03580885491261,100.06428566289935,107.2723751298257,19.724095882822674,44.575891521615866,1.7940907750192443,1.917390723466229,1.4785695272763895,2.0633219166302195,9.25039891225369,19.102103586605775,11.636710718473703,1700376.3276055409,9.621447019129086,11.575265858434168,11.962002978352988,20.034005696170382,48.145342906268205,62.51208136471917,1.3330769839499867,1.3453543143349151
2017,139779,3.0726652033677815,1.1108808191491677,1.0957050488076652,1.1068060616697397,1.062596805207389,50294.6705475364,1.1360275208705404,1.8191104564610867,1.7905767753072717,119443.07881261746,1.072886417617134,1.7107766734518988,1.2036334775970265,1.036089758484427,1.0899462764602639,42.2172320065486,84.19232391542087,33.92035738952387,38.242604957635386,31.479950159986764,34.38750495587552,22.29089447194212,24.794450775263165,99.19846185764673,105.46179046150222,20.223758933745412,881129.8043131442,1.8639638286151712,2.1275929776529194,1.338018586482948,2.4405533518654754,9.029555226464636,16.52856532060276,11.63214431352349,1693562.1638056547,9.969308694439079,10.814317015769092,12.116350095507908,21.128388169167895,49.92649539630417,60.816089695680844,1.3301769221413802,1.4550749669999334
2018,140310,6.3326337066441445,1.0803256338063125,1.0740128399718647,1.0364144207378188,1.0658816272138467,49619.90358714962,1.1371696259004924,1.218822590424615,1.7412034268108512,49622.34507013927,1.2164784567163613,1.549399791501431,1.1633083217918503,1.0317552103750816,1.0533917976050795,39.797338749793504,130.80125350323365,33.2307701976053,36.07422432214342,31.24568961440178,33.29722931837308,22.683974939731723,23.618346577004203,96.0866923241394,102.30016969344999,22.95137695103699,1019140.5448112463,2.0008958734231346,2.26133707615256,1.298365048820469,1.5441366201261117,9.144407383650488,16.473329338183785,11.55773715344594,476985.4382800172,9.648803363979757,11.952148826362352,12.197649490414083,19.051676839060143,51.772687620269394,60.99258235648251,1.3128016534815763,1.385832249372905
2019,140805,1.5270378332044972,1.0265437756201725,1.0917547419975175,1.006880806871841,1.0665008028548806,7.459274127451202,1.1960572848369393,1.2300918794989648,1.2951466894421553,251616.20360675684,1.5400993898546844,1.3834354863790095,1.1346201302079229,1.0181390786896454,1.0562631988789024,41.75391615733044,52.31372250187593,31.00029311725187,31.8496923142387,33.74806211101229,36.34105934493852,23.22014330138385,23.44954192885958,98.41325805191576,105.0603540050877,20.368170164411776,133.47631780451906,2.2239501438159155,2.628084515611203,1.2004573701217998,1.4572462118755218,10.973217570398775,14.247029728560948,13.79949149533042,2642462.7067653453,10.60180959482973,16.824989248578984,12.486082170377472,17.5445331810997,56.080492170022374,64.45225483028729,1.2683171762366392,1.3410526862260328
2020,141013,1.36226637314691,1.0013008135034933,1.094834487569353,1.0135198124237996,1.0718270306035416,65455.40492817526,1.3677359441287038,1.2119356503678407,1.233471310939345,237625.0490566013,1.6077089635859092,1.3328843668831154,1.2093998170024152,1.0074496592370938,1.0361181103871575,39.92632764837999,46.85797141848843,38.23801110651889,38.29507230671399,38.34045215838902,41.432461261050065,24.160051335299116,24.556327661940255,103.55493536056957,111.17855645684674,18.275151227191817,1083934.6453394976,2.3145929807890058,3.1390978073015883,1.2399863842340777,1.4940834986319005,12.962123350329401,16.338251894826538,14.117674966137873,2477568.5968341725,12.681627935013083,21.022389841077587,12.973932899803565,17.705620823485617,55.92224121180317,69.31412092289389,1.2886357995362128,1.3355483071616923
2021,141060,1.6363028104365285,1.004919864809362,1.1130780320985485,1.0486945105177692,1.0038145839317913,4.462035493693738,1.2244483340433974,1.1175017809913097,1.4382262924601075,358877.1400751194,1.3808668910858726,1.893472114547057,1.1458761917186122,1.0339457697958498,1.047716709348257,40.90291214340426,53.06712745154938,44.21586142712832,44.441185660881864,34.45828940352975,39.84609359736513,24.39903159562434,25.371692159613115,109.60127534382531,110.05252316729094,25.264175528144055,108.34412544955178,2.4732993052601726,3.052011450227948,1.3963547426626965,1.5539344256943013,18.459117396852406,26.75129265615232,14.488228413441089,5039464.412269633,13.117322415993195,19.135037047791347,14.358794839075573,26.723570960114884,60.68883241173968,70.7560899922153,1.2564313058273076,1.317864099484239
2022,140975,1.1728227733391128,1.0046395656689706,1.1233861275209502,1.0750475758011864,1.0386297279834549,65319.90157249633,1.2561188179785938,1.1038194703773228,1.3457282677168012,358612.03023733594,1.4525106233529954,1.479785872121955,1.1716843028919413,1.0184093035106998,1.0402165989837786,38.47585886097747,41.50683435061294,43.14003662165576,43.358291414659035,32.451391517466234,37.16228606435866,22.142622558332874,23.49179489023586,108.09951622628125,112.24111786666468,26.989525802447243,1502867.3064132473,2.541774073417273,3.212662528156762,1.3983025359106225,1.5306095554155499,11.844193651356624,16.659770309738125,14.0881163326831,4997706.411544543,13.466550097535025,20.679892422391173,12.362899095584321,18.184968052489292,54.41767902110303,64.51691853899914,1.210450789147012,1.2606975160674847
2023,140767,1.183088792675561,1.0037433630869186,1.1361353330779496,1.3222164581359335,1.0221184484651638,2.3774329065169066,1.1848078328793927,1.0958495926919827,1.5879816832786195,358344.084396614,1.4035547259763794,1.5106479556712502,1.1784898982151035,1.0200155039750711,1.040280410090625,37.502098645908106,40.97934335812811,44.44852294347578,44.61854779110305,30.82406479401868,36.22891878540798,21.23848644829805,26.319014561192862,113.4759801658059,115.94795791607409,30.51075678248453,69.90669217269254,3.166350778236377,3.7253137489333574,1.7283525258050538,1.8695754947221332,12.46408817407489,20.545073856450806,15.402401130946883,5562246.133586347,14.941558746012914,21.70710440210975,13.16608367017838,19.480144166521118,60.74765747653923,72.03373459979795,1.182598904572805,1.2319708603539647
2024,140628,1.1694954311733845,1.0033787135364156,1.1239662889583182,1.4511616376118086,1.0205194965178341,2.1128573079573485,1.1378758876591986,1.0911790165498472,1.7012551470413384,428567.6255917675,1.4545508378942564,1.6086962021210127,1.180531495123316,1.0192275720497166,1.030126770266123,35.55249726348152,38.38374278596032,40.47381438491982,40.62230464663192,28.118162116298354,32.75100398424712,19.835736435260497,26.36418271979866,108.69224692095457,110.97137288617242,28.121959353756004,57.20935781589841,3.8844289188497316,4.4298633336499815,1.8550025599453877,2.0039513315799606,12.606842165144924,22.11899537325213,15.275911624996446,7086748.994091665,14.107938675086045,21.407240910438805,12.572419432829879,19.7987740511458,61.570819466962476,73.18781264068768,1.1064766618312143,1.1417130285560901
