Year,total_population,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
2015,138097,1.1944486858837098,1.2373649975289553,1.2591986609818528,1.1425755506523265,1.1671655103235794,1.2289179612878587,1.5689611407765227,1.985144953609937,1.3631554192959638,1.1988479249172361,1.1464322707734043,1.1798249267320935,1.0754197190106636,1.0796562832592511,1.4162577848953561,33.596375735895776,40.0635660578046,33.596375735895776,41.559724845226526,33.596375735895776,42.241580212741994,33.596375735895776,38.34089961082114,97.83612605632273,114.40956494197836,20.22666097018762,24.93989354135691,1.6553994655930253,2.615359608424562,1.2383418901207122,2.3769102687514154,8.460566123811523,11.573710897859902,11.328781218998241,13.74963450962975,9.42126331491633,10.738951350080384,12.092884711470923,14.00562472056932,44.353993207672865,47.682936336082804,1.3314213922098235,1.8860891092489784
2016,139003,1.16685311549607,1.2188992921840487,1.2513901059225958,1.1245204866201597,1.1372920029205869,1.1972687592403406,1.4962487747996507,2.0190558584001517,1.3728500810827022,1.1957590760861965,1.1155098993995896,1.1447236721172036,1.055950146213721,1.0339618886193058,1.3271159135855224,33.14437925800163,38.625374882337624,33.14437925800163,40.3757777499771,33.14437925800163,41.42158239231896,33.14437925800163,37.23348571087751,100.06428566289935,113.94742958991645,19.724095882822674,23.686146020685136,1.7940907750192443,2.681723212173423,1.4785695272763895,2.866275604139231,9.25039891225369,12.714472581617057,11.636710718473703,14.012194672613806,9.621447019129086,10.665225940504833,11.962002978352988,13.41466278648888,48.145342906268205,50.802614550464504,1.3330769839499867,1.7638221435152426
2017,139779,1.1728924784826074,1.2044370581829489,1.2391239964419631,1.1142883355339206,1.1355538591498013,1.1944827067173918,1.4743400538291433,1.8090348993421204,1.3651475384654337,1.197281765772875,1.1154300393348278,1.1496787386683864,1.0535560622463036,1.0191256159730075,1.302478564630312,32.477108507000345,38.03915423547755,32.477108507000345,39.09894216724918,32.477108507000345,40.17766198566395,32.477108507000345,36.15390208735516,99.19846185764673,112.78018298386118,20.223758933745412,24.235228939798464,1.8639638286151712,2.73877634817804,1.338018586482948,2.3499626106683893,9.029555226464636,12.338942462569557,11.63214431352349,14.057988094444644,9.969308694439079,11.054459840855234,12.116350095507908,13.652171253872776,49.92649539630417,52.54417326396935,1.3301769221413802,1.7363700990756623
2018,140310,1.200840552100917,1.231134715257108,1.2386422627059315,1.1296429879587102,1.1713824463491331,1.228554514464921,1.5507779282200227,1.8620690559178676,1.4112378826664498,1.1924053799080436,1.1300870915685672,1.146953756382727,1.0671432002059416,1.0064572136630183,1.310229418563794,31.73944337538308,38.08225356667875,31.73944337538308,39.03517509323593,31.73944337538308,39.28709261963818,31.73944337538308,35.83117101756412,96.0866923241394,112.76251684778785,22.95137695103699,28.215945927249376,2.0008958734231346,3.112343009794872,1.298365048820469,2.3460444479240015,9.144407383650488,12.922710925924045,11.55773715344594,13.89006291504134,9.648803363979757,10.850601497463376,12.197649490414083,13.717151684744973,51.772687620269394,55.226600998442166,1.3128016534815763,1.712009985162469
2019,140805,1.183232775526567,1.2074862363936425,1.2402815721978164,1.123628373607271,1.152331392080881,1.2102005821242998,1.4974944521923255,1.890926064067724,1.409235971159258,1.1862028752757812,1.1135180497517554,1.1192452339340315,1.0515361175320692,1.0,1.219162630629641,32.430603671744606,38.33167888937463,32.430603671744606,39.129887006053,32.430603671744606,40.20012260863402,32.430603671744606,36.422230062675105,98.41325805191576,113.56984712325753,20.368170164411776,24.664039311530395,2.2239501438159155,3.3366363369951317,1.2004573701217998,2.1943371367006943,10.973217570398775,15.421211277652114,13.79949149533042,16.509299515994478,10.60180959482973,11.747529121960959,12.486082170377472,13.692127702914041,56.080492170022374,58.910217061644666,1.2683171762366392,1.5454847147245774
2020,141013,1.1717103461379232,1.1811340095935245,1.2157039551294586,1.1130981801137414,1.142592799869399,1.1983522767549486,1.4505629555343194,1.7189431063607614,1.3928824746854103,1.163604662026779,1.1050557450945706,1.1096467340974145,1.0445643937402134,1.0,1.1725365904699552,35.16621056214676,41.11930074826931,35.16621056214676,41.46601440571667,35.16621056214676,42.7016227268669,35.16621056214676,39.09559413151255,103.55493536056957,118.44812660604788,18.275151227191817,21.95567722006133,2.3145929807890058,3.3658534284636112,1.2399863842340777,2.073771374392998,12.962123350329401,17.99364057663188,14.117674966137873,16.55189439134609,12.681627935013083,13.941381233874916,12.973932899803565,14.108453175993642,55.92224121180317,58.37792702683106,1.2886357995362128,1.5099205052796456
2021,141060,1.1818024174084907,1.1825826673933022,1.2102529016781876,1.101399844167158,1.1465914323396393,1.2075692297821494,1.4328057532278484,1.6824246552395004,1.4324872442891121,1.1821592868611992,1.103939705589296,1.105403421747109,1.0443755555333807,1.0,1.1804444006139638,35.99402364242166,42.471602830855986,35.99402364242166,42.50487405425225,35.99402364242166,43.5057425944227,35.99402364242166,39.606761222000685,109.60127534382531,125.86565274166992,25.264175528144055,30.51523922791772,2.4732993052601726,3.5652830289393895,1.3963547426626965,2.2805630353383464,18.459117396852406,27.273295314518183,14.488228413441089,17.317172208983493,13.117322415993195,14.398555289864197,14.358794839075573,15.623639625261083,60.68883241173968,63.35979839342657,1.2564313058273076,1.4787829949826496
2022,140975,1.1831891189722121,1.1752342494009982,1.2123541809916683,1.1073432757110466,1.1489609682008468,1.2145709186951805,1.4216327544612262,1.6521283498981754,1.4685110612369505,1.1862249109602203,1.1009479490789371,1.1028387061661484,1.0480389702260628,1.0,1.144196077213002,34.052477389608086,40.23788159193194,34.052477389608086,39.963418134932446,34.052477389608086,41.22740368786433,34.052477389608086,37.67387067006627,108.09951622628125,124.50257006089466,26.989525802447243,32.79058098483031,2.541774073417273,3.6508025918209093,1.3983025359106225,2.2624640049790288,11.844193651356624,17.465353078830756,14.0881163326831,16.87731168280434,13.466550097535025,14.742794609018187,12.362899095584321,13.418806221233082,54.41767902110303,57.01583458568602,1.210450789147012,1.383366797142728
2023,140767,1.1968592022714524,1.1788941762745742,1.2071231951975772,1.100213501595683,1.1559169053238167,1.2217720310756521,1.3983682599499436,1.6054507468351438,1.4777146368068457,1.188160785221321,1.0911802603702256,1.0944475620462497,1.0427838530209652,1.0,1.1310205411729832,33.503293207925154,40.03391847616739,33.503293207925154,39.43548775074273,33.503293207925154,40.40504245020018,33.503293207925154,36.818710724708275,113.4759801658059,131.32748427905597,30.51075678248453,37.268899044666476,3.166350778236377,4.462687578801576,1.7283525258050538,2.684918819080635,12.46408817407489,18.47844571456884,15.402401130946883,18.476392650004104,14.941558746012914,16.20210932956196,13.16608367017838,14.184354039800457,60.74765747653923,63.322827162920696,1.182598904572805,1.3360637226056804
2024,140628,1.2081107744561124,1.1893726281805501,1.211865392502111,1.1032271893011318,1.1629295550071967,1.2322752604346594,1.4085041857081817,1.6237725837568027,1.4960728974918562,1.1937476847045638,1.0895585612854568,1.0881272807608757,1.0418747495604745,1.0,1.120876285472312,30.99505254999004,37.41091082563778,30.99505254999004,36.83493986496456,30.99505254999004,37.553176406484525,30.99505254999004,34.16950611081989,108.69224692095457,126.61156779492043,28.121959353756004,34.688401734317665,3.8844289188497316,5.5010799278845,1.8550025599453877,2.9052363995075035,12.606842165144924,18.91580996305826,15.275911624996446,18.452324389862852,14.107938675086045,15.256716400014131,12.572419432829879,13.482719938779246,61.570819466962476,64.11670077599153,1.1064766618312143,1.2388105474533695
