Year,total_population,全国户外消费系数_daogu,全国户外消费系数_xiaomai,全国户外消费系数_doulei,全国户外消费系数_zaliang,全国户外消费系数_shucai,全国户外消费系数_zhurou,全国户外消费系数_niurou,全国户外消费系数_yangrou,全国户外消费系数_qinlei,全国户外消费系数_shuichanpin,全国户外消费系数_danlei,全国户外消费系数_nailei,全国户外消费系数_guaguo,全国户外消费系数_youliao,全国户外消费系数_tang,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
2015,138097,1.0492589089114093,1.0714549252971581,1.0489045482726393,1.030975521361311,1.0365670971688312,1.0532201870144684,1.2873218807437297,1.208419636279265,1.1575738714472665,1.0687946679254776,1.0368512932834335,1.0648604565197017,1.0108855722747443,886059.3659105207,1.044445410684214,62.112950834239165,65.67453733883764,30.687585039396463,32.367117621402585,15.263232937960568,15.928565384608312,26.321734131986915,27.080952142440566,97.83612605632273,101.45276480436209,20.22666097018762,21.442784904925926,1.6553994655930253,2.16607451960427,1.2383418901207122,1.4924500963164047,8.460566123811523,9.88443264026955,11.328781218998241,12.036953783105133,9.42126331491633,9.708975181984357,12.092884711470923,12.676754823334141,44.353993207672865,44.81088364352834,1.3314213922098235,1.4004748158270963
2016,139003,1.0724846001841475,1.0459433139882899,1.055466469137744,1.0288822499362624,1.0382192199112517,1.061343683236573,1.3456379632959514,1.2202258566961255,1.1317444237881604,1.0837722193658152,1.0422694765713474,1.0473847663506577,1.0102573533432397,887172.8782060464,1.0557054214028176,60.58085988637902,65.06199253390155,30.33131416228232,31.371487358702787,14.205607863355343,14.939385148887226,27.459735119989812,28.223161189435334,100.06428566289935,103.88786028094748,19.724095882822674,21.015520158128055,1.7940907750192443,2.4718436953245746,1.4785695272763895,1.8231424632944502,9.25039891225369,10.527839914362373,11.636710718473703,12.621907215708912,9.621447019129086,9.990855919726899,11.962002978352988,12.397898278929567,48.145342906268205,48.590275666000885,1.3330769839499867,1.4119364205529878
2017,139779,1.058308568968612,1.061722542375311,1.036525606735932,1.0209670859513205,1.0237030940301521,1.0575495649289544,1.3328165502702254,1.105879808631313,1.1842510674142923,1.067776991224505,1.03511255344968,1.0344775979322254,1.0067628232612735,888162.4976388084,1.0105402352397148,61.70291588609567,65.84767705288833,28.930858279506037,30.14868737912798,13.518188372831425,13.91221689347326,25.756471489568195,26.182108280613082,99.19846185764673,101.57533727524607,20.223758933745412,21.57104364656529,1.8639638286151712,2.5358919611086654,1.338018586482948,1.47457991721138,9.029555226464636,10.801699461908523,11.63214431352349,12.45783086893015,9.969308694439079,10.242218885645283,12.116350095507908,12.426168304063477,49.92649539630417,50.21195498015259,1.3301769221413802,1.3453758469469665
2018,140310,1.0388051223068528,1.0431848418082919,1.0262807399178153,1.0097806658614663,1.0254403282554727,1.0472133129882164,1.2557906898555617,1.1533494462659668,1.1394034111422593,1.037422782060593,1.0251028156080673,1.0045824757605666,1.0040202825211249,889144.3682334364,1.0074103634313272,59.35225387202105,61.65994921313122,27.471465104275815,28.40692218889789,14.994387509882786,15.356484089894806,25.139667015352668,25.419786151793517,96.0866923241394,98.59525480348024,22.95137695103699,24.089003388524116,2.0008958734231346,2.5840183519425928,1.298365048820469,1.5382913534367233,9.144407383650488,10.491274155069704,11.55773715344594,12.0855335664891,9.648803363979757,9.882660691576856,12.197649490414083,12.238290339533183,51.772687620269394,51.939401281019215,1.3128016534815763,1.323233447903414
2019,140805,1.0632727979093126,1.0453432234247577,1.049054799864437,1.0179606416605984,1.0309488640326088,1.0513355191170988,1.4497838819406612,1.270230541881284,1.1254412951965584,1.0975038321153356,1.0319008741712548,1.008238697068637,1.0131316280519906,938993.495459624,1.0955705245839784,56.157141207817155,60.180759126605196,32.014005704501145,33.188251482321,14.375966486297505,14.872640881245886,27.17530128836266,27.56146054666878,98.41325805191576,101.48479578319748,20.368170164411776,21.490037927727084,2.2239501438159155,3.3894162024663856,1.2004573701217998,1.6126161176155074,10.973217570398775,12.512134583405473,13.79949149533042,15.3284435080154,10.60180959482973,10.918283242833464,12.486082170377472,12.557601577411251,56.080492170022374,56.70749813148144,1.2683171762366392,1.399201426086507
2020,141013,1.0872157200822261,1.0644735557007938,1.0785631365429666,1.0384819779853212,1.0587501745397172,1.0856416891577667,1.6307360310428025,1.1621358702213258,1.1713196728493673,1.1194169936931693,1.0558273070304471,1.0184578048477824,1.017591861185407,939206.418171688,1.0978450832921545,63.25980837624986,68.92182421833746,32.029526985743026,33.63856107394103,15.797404355258667,16.716224426637506,29.578102531335507,30.67975532063684,103.55493536056957,109.75014173809625,18.275151227191817,19.87470049418865,2.3145929807890058,4.04078702888938,1.2399863842340777,1.4500853942119543,12.962123350329401,15.395512454878386,14.117674966137873,15.930256624573977,12.681627935013083,13.395354077338672,12.973932899803565,13.137455987434917,55.92224121180317,56.839555428735686,1.2886357995362128,1.4241723158409239
2021,141060,1.0333416095815178,1.0280658004195657,1.003982812216489,1.0033248378878343,1.0051932688189664,1.0122390374983259,1.3894333128035044,1.0606497623779556,1.1337708717668848,1.0473983371267053,1.002734751235433,1.0042988501659142,1.0035906026505292,763430.1923184721,1.0004041766700846,63.63404635616833,65.82487563969659,34.27633003784393,34.989749990815774,16.667593588502154,16.707713520244315,29.398124587172237,29.471364346589844,109.60127534382531,110.13318578917566,25.264175528144055,25.619556966231844,2.4732993052601726,3.612556458078518,1.3963547426626965,1.486084092569979,18.459117396852406,21.07173738447193,14.488228413441089,15.315504232518135,13.117322415993195,13.140516841687912,14.358794839075573,14.40297627740328,60.68883241173968,60.85809371028803,1.2564313058273076,1.256938878116711
2022,140975,1.0610352060423893,1.0234690798000752,1.0200462361921898,1.005241535270876,1.0187252316614825,1.0210500006595111,3.0063706989727144,1.0373908720505225,1.1383516553815656,1.0956800373574618,1.0137423417391516,1.0076688324465275,1.0075662636063698,764043.9307620144,1.015098382488344,58.59714625377266,62.26233415596964,32.13499697857142,32.63438658393884,16.981474155710174,17.220468436734613,28.496292170378098,28.603291964242686,108.09951622628125,110.10110627405035,26.989525802447243,27.563871721259588,2.541774073417273,9.110484449112837,1.3983025359106225,1.454064864067685,11.844193651356624,13.68478910565076,14.0881163326831,15.699851403637606,13.466550097535025,13.635414496688902,12.362899095584321,12.429048206160866,54.41767902110303,54.738096520922795,1.210450789147012,1.2289360724766138
2023,140767,1.029501875393069,1.0192486756856252,1.0000121659534886,1.0,1.0015861340220036,1.0030317769472286,1.5912264018200668,1.0236449674446708,1.0709569105028887,1.0469797112544545,1.0,1.0017795054520136,1.0,892252.4223044569,1.0079954660021109,54.37540754760916,55.891195534732276,33.67500908681061,34.13646262833249,18.243811594487475,18.243902730151568,27.718944602793364,27.718944602793364,113.4759801658059,113.63879190885822,30.51075678248453,30.616334879822436,3.166350778236377,5.405870212139438,1.7283525258050538,1.7905836360202831,12.46408817407489,13.540054291594258,15.402401130946883,16.2863931049027,14.941558746012914,14.94155874601291,13.16608367017838,13.183238904875386,60.74765747653923,60.74765747653923,1.182598904572805,1.1917101939607726
2024,140628,1.0212296329663717,1.0092195565699604,1.0,1.0,1.001091229411405,1.0023157722451286,1.8190393749025815,1.018929315265233,1.0616749383547552,1.1003872999057882,1.0,1.0,1.0,892616.4518028545,1.007603467124722,49.76163549498115,50.73607030543721,30.777163417786763,30.94184734153192,17.817355694649645,17.817355694649645,25.624055592542614,25.62405559254261,108.69224692095457,108.80200380566126,28.121959353756004,28.198911560837516,3.8844289188497316,7.600599669775351,1.8550025599453877,1.90660548034502,12.606842165144924,13.587165533412168,15.275911624996446,17.311189590815673,14.107938675086045,14.107938675086045,12.572419432829879,12.572419432829877,61.570819466962476,61.570819466962476,1.1064766618312143,1.1145848808037453
