Province,Year,q_daogu_coef,q_xiaomai_coef,q_doulei_coef,q_zaliang_coef,q_shucai_coef,q_zhurou_coef,q_niurou_coef,q_yangrou_coef,q_qinlei_coef,q_shuichanpin_coef,q_danlei_coef,q_nailei_coef,q_guaguo_coef,q_youliao_coef,q_tang_coef,pop,q_liangshi,q_shucai,q_zhurou,q_niurou,q_yangrou,q_qinlei,q_shuichanpin,q_danlei,q_nailei,q_guaguo,q_tang,q_niurou,q_yangrou,q_niuyangrou,稻谷占比,小麦占比,豆类占比,杂粮占比,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
11,2015,1.1632981355296643,1.4583618158035463,1.229458913136259,1.2616628045958618,1.2192779630173345,1.1128888004444333,1.325184178245522,1.5126265772740544,1.5269174321178036,1.0309099406655278,1.2043130174317704,1.0630424126728586,1.004637548900374,1000000.0,1000000.0,2188,90.8,100.6,14.2,3.3,3.0,6.0,9.6,13.7,26.9,68.9,0.8,3.3,3.0,6.3,0.3284281516500282,0.3605356449865318,0.1306670024727322,0.1803692008907077,29.82127616982256,34.6910349674698,32.736636564777086,47.74186074390908,11.864563824524083,14.586993744535155,16.37752344087626,20.662912156750412,100.6,122.65936307954384,14.2,15.803020966310951,3.3,4.3731077882102225,3.0,4.537879731822163,6.0,9.161504592706821,9.6,9.896735430389066,13.7,16.499088338815255,26.9,28.595840900899894,68.9,69.21952711923578,0.8,800000.0
11,2016,1.0,1.4554043628951183,1.0,1.2164542074366689,1.1937615820492218,1.1226107023965024,2.6943149033346474,1.7938753902967957,1.5076821875263977,1.2103668748847958,1.1924171292491883,1.2421358568324514,1.0,1.0,1000000.0,2195,83.8,95.4,13.1,2.9,3.1,5.7,8.5,12.0,23.2,63.2,1.2,2.9,3.1,6.0,0.35577344829876606,0.34084274429207784,0.12749415170592102,0.17588965570323511,29.813814967436596,29.813814967436596,28.562621971676123,41.570164633301395,10.684009912956181,10.684009912956181,14.739553147931103,17.929991442537187,95.4,113.88485492749577,13.1,14.70620020139418,2.9,7.813513219670477,3.1,5.561013709920067,5.7,8.593788468900467,8.5,10.288118436520763,12.0,14.30900555099026,23.2,28.817551878512873,63.2,63.2,1.2,1200000.0
11,2017,1.0,1.4540049142774736,1.0,1.0482875243768854,1.161166475229275,1.1087652524303535,2.0862012687650933,1.684655811786896,1.4933661465543269,1.1605226234321695,1.179923456818255,1.3551249021854248,1.0,1.0,1.3524585617900429,2194,75.7,91.9,12.7,2.9,2.8,5.5,8.6,12.1,22.5,63.9,1.1,2.9,2.8,5.699999999999999,0.4046259878903933,0.26430713378047954,0.13985446159871412,0.19121241673041312,30.63018728330277,30.63018728330277,20.008050027182303,29.091803064632607,10.58698274302266,10.58698274302266,14.474779946492273,15.173731236008571,91.9,106.71119907357037,12.7,14.081318705865488,2.9,6.04998367941877,2.8,4.717036273003308,5.5,8.213513806048798,8.6,9.980494561516657,12.1,14.277073827500885,22.5,30.49031029917206,63.9,63.9,1.1,1.4877044179690473
11,2018,1.0501813991776554,1.491829897835376,1.1093392239896132,1.134433623538684,1.1319878704712718,1.1096025449167637,1.267782868474265,1.4660982364927488,1.4827043181693853,1.0891659473602753,1.1752404809338477,1.0,1.0,1.0,1.0,2192,91.9,106.3,16.3,3.3,2.7,5.8,8.9,14.6,26.0,74.7,1.1,3.3,2.7,6.0,0.3267149723759281,0.3793125174888975,0.12545942605160076,0.16851308408357377,30.025105961347794,31.53180778894559,34.85882035722968,52.003430412187676,11.52972125414211,12.790372028886559,15.48635242728043,17.56823889947683,106.3,120.3303106310962,16.3,18.086521482143247,3.3,4.183683465965074,2.7,3.958465238530422,5.8,8.599685045382435,8.9,9.69357693150645,14.6,17.158511021634176,26.0,26.0,74.7,74.7,1.1,1.1
11,2019,1.0159949470389855,1.455273069884042,1.0,1.1507938228196797,1.0541320665899792,1.115045388814651,1.5180359110355728,1.1726146663920327,1.4741881130143029,1.1245973769340183,1.168086507886832,1.0,1.0,1.0,1.0,2190,97.3,114.9,14.6,3.6,2.6,6.5,10.1,14.5,28.9,85.5,1.1,3.6,2.6,6.2,0.34031652701369747,0.35663971863754806,0.12843894396143252,0.17460481038732192,33.11279807843276,33.64243553000991,34.701044623433425,50.49949573732709,12.497109247447383,12.497109247447383,16.989048050686424,19.550891552316656,114.9,121.1197744511886,14.6,16.279662676693903,3.6,5.464929279728062,2.6,3.048798132619285,6.5,9.58222273459297,10.1,11.358433507033585,14.5,16.937254364359067,28.9,28.9,85.5,85.5,1.1,1.1
11,2020,1.2398901147953338,1.4633788849976244,1.0,1.1116279544360983,1.146238140222671,1.1164538098387615,1000000.0,1.7456653389223316,1.4868479415570024,1.1783786836239007,1.162985256057261,1.5219768007891643,1.0,1.0,1.0,2189,107.2,122.7,15.3,3.9,3.1,7.9,9.5,16.9,30.1,81.9,1.2,3.9,3.1,7.0,0.4238111168374307,0.2355870800121083,0.1582599341128338,0.1823418690376271,45.432551724972576,56.33137177372119,25.25493497729801,36.95753858776587,16.96546493689578,16.96546493689578,19.547048360833628,21.729045384616974,122.7,140.6434198053217,15.3,17.08174329053305,3.9,3900000.0,3.1,5.4115625506592275,7.9,11.746098738300319,9.5,11.194597494427057,16.9,19.65445082736771,30.1,45.81150170375385,81.9,81.9,1.2,1.2
11,2021,1.0,1.5563459171515517,1.0,1.1106273027164175,1.0464915197041893,1.0951209682841332,1.9726566523423483,1.0,1.4757485828967365,1.0,1.2031995501954806,1.0038437199933752,1.0,1000000.0,1.0,2189,109.9,119.0,18.5,4.0,3.4,7.6,10.0,16.2,29.8,77.2,1.1,4.0,3.4,7.4,0.36358648828119167,0.2662585039947998,0.19895889450765855,0.17119611321635003,39.95815506210297,39.95815506210297,29.2618095890285,45.541497882350626,21.865582506391675,21.865582506391675,18.814452842476868,20.895845012525317,119.0,124.53249084479853,18.5,20.259737913256465,4.0,7.890626609369393,3.4,3.4,7.6,11.215689230015197,10.0,10.0,16.2,19.491832713166787,29.8,29.91454285580258,77.2,77.2,1.1,1.1
11,2022,1.1311176109852308,1.675788577875421,1.1674186331448269,1.126354812437853,1.084714623577773,1.1068841674519942,1000000.0,1.0009646174869256,1.4847062271726148,1.1200679789792845,1.1901434942580236,1.5858696176172278,1.0,1.0,1.0,2184,94.5,109.9,17.5,3.8,2.9,6.9,9.4,16.3,22.0,62.9,0.9,3.8,2.9,6.699999999999999,0.3784555225161378,0.3142018389730602,0.1425259761210917,0.1648166623897102,35.76404687777502,40.45334326355269,29.69207378295419,49.75763809890887,13.468704743443165,15.723616881821666,15.575174595827615,17.543172860570227,109.9,119.21013713119726,17.5,19.3704729304099,3.8,3800000.0,2.9,2.902797390712084,6.9,10.244472967491042,9.4,10.528639002405274,16.3,19.399338956405785,22.0,34.88913158757901,62.9,62.9,0.9,0.9
11,2023,1.084457513528719,1.7933647534232708,1.0,1.0509217229682728,1.0,1.1069732677678237,1.5918662063974036,1.0,1.5499167081770842,1.1431960507265335,1.171556644037952,1.732093933888074,1.0,1000000.0,1.0,2186,91.5,112.0,18.2,3.8,3.4,7.3,10.2,17.4,20.7,70.6,0.9,3.8,3.4,7.199999999999999,0.33957038131615686,0.34337300929600856,0.16987059850003802,0.14718601088779662,31.07068989042835,33.69484310219584,31.418630350584785,56.34506427157338,15.54315976275348,15.54315976275348,13.46751999623339,14.153309318551262,112.0,112.0,18.2,20.14691347337439,3.8,6.049091584310133,3.4,3.4,7.3,11.314391969692714,10.2,11.66059971741064,17.4,20.38508560626036,20.7,35.854344431483135,70.6,70.6,0.9,0.9
11,2024,1.0564661514227665,1.914923127846324,1.0,1.0244667126185905,1.0,1.116843327611058,1.4280900339717109,1.0,1.716750726030802,1.1395971174955897,1.172362044664763,1.7277353930642672,1.0,1.0,1.0,2183,86.3,103.9,15.68,4.09,3.26,6.9,9.1,15.6,17.1,65.2,0.8,4.09,3.26,7.35,0.3702052762462787,0.3899146632604434,0.1900225049051401,0.0498575555881377,31.94871534005385,33.752736338208194,33.64963543937626,64.4364651464589,16.398942173313593,16.398942173313593,4.302707047256284,4.407980144063488,103.9,103.9,15.68,17.51210337694139,4.09,5.840888238944297,3.26,3.26,6.9,11.845580009612533,9.1,10.370333769209866,15.6,18.2888478967703,17.1,29.54427522139897,65.2,65.2,0.8,0.8
