品类,q_col,样本量,均值,标准差,最小值,最大值,中位数,P1,P5,P10,P25,P50,P75,P90,P95,P99
大米,q_daogu,6198,0.890491517281833,0.2157676780895985,0.0,1.0,1.0,0.0,0.40000001,0.591352371,0.8752725075000001,1.0,1.0,1.0,1.0,1.0
小麦,q_xiaomai,5895,0.853297700027447,0.2805121252172746,0.0,1.0,1.0,0.0,0.0,0.41209378599999996,0.83548108,1.0,1.0,1.0,1.0,1.0
豆类,q_doulei,5388,0.8627502318191907,0.28305982312365296,0.0,1.0,1.0,0.0,0.0,0.3959596030000001,0.9152903825,1.0,1.0,1.0,1.0,1.0
杂粮,q_zaliang,5436,0.88992788445241,0.25934208482082605,0.0,1.0,1.0,0.0,0.12179875,0.51999998,0.9958158699999999,1.0,1.0,1.0,1.0,1.0
蔬菜,q_shucai,6460,0.9100293014657895,0.18880948196150682,0.0,1.0,1.0,0.0,0.48604797000000005,0.66666669,0.91480841,1.0,1.0,1.0,1.0,1.0
猪肉,q_zhurou,5913,0.8696864417431085,0.2601266409100745,0.0,1.0,1.0,0.0,0.16666667,0.5,0.86941582,1.0,1.0,1.0,1.0,1.0
牛羊肉,q_niuyangrou,2163,0.7279631517756678,0.41658334969629224,0.0,1.0,1.0,0.0,0.0,0.0,0.4198717948717949,1.0,1.0,1.0,1.0,1.0
禽肉,q_qinlei,2750,0.8074980769603638,0.36147180629797043,0.0,1.0,1.0,0.0,0.0,0.0,0.8241688,1.0,1.0,1.0,1.0,1.0
水产品,q_shuichanpin,3833,0.86143661704503,0.30168543851135987,0.0,1.0,1.0,0.0,0.0,0.33333334,1.0,1.0,1.0,1.0,1.0,1.0
蛋类,q_danlei,5543,0.9085126934865595,0.2336681501165241,0.0,1.0,1.0,0.0,0.30303031,0.625,1.0,1.0,1.0,1.0,1.0,1.0
奶类,q_nailei,1592,0.9035197314591709,0.2723475814693494,0.0,1.0,1.0,0.0,0.0,0.6270390090000004,1.0,1.0,1.0,1.0,1.0,1.0
水果,q_guaguo,4434,0.9425187716278755,0.1950362684824985,0.0,1.0,1.0,0.0,0.526322268,0.87386421,1.0,1.0,1.0,1.0,1.0,1.0
