T1,wave,total_蛋类,ratio_蛋类
23,2006,740.0,1.0
41,2006,541.0,0.9981516
42,2006,322.0,1.0
32,2009,140.0,0.2857143
32,2009,50.0,0.0
32,2009,1200.0,0.94999999
41,2009,120.0,1.0
42,2009,140.0,1.0
43,2009,170.0,1.0
11,2011,180.0,0.66666669
11,2011,150.0,0.66666669
11,2011,173.0,0.31791908
41,2011,180.0,1.0
42,2011,120.0,1.0
21,2006,50.0,1.0
21,2006,520.0,1.0
21,2006,110.0,1.0
21,2006,290.0,1.0
21,2006,435.0,1.0
21,2006,722.0,1.0
21,2006,60.0,0.0
21,2006,903.0,1.0
21,2006,250.0,1.0
21,2006,390.0,1.0
21,2006,250.0,1.0
21,2006,155.0,0.90322578
21,2006,260.0,1.0
21,2006,200.0,1.0
21,2006,825.0,1.0
21,2006,1775.0,1.0
21,2006,890.0,1.0
21,2006,260.0,1.0
21,2006,410.0,1.0
21,2006,480.0,0.375
21,2006,419.0,1.0
21,2006,255.0,1.0
21,2006,125.0,1.0
21,2006,90.0,1.0
21,2006,120.0,1.0
21,2006,50.0,1.0
21,2006,235.0,1.0
21,2006,210.0,1.0
21,2006,100.0,1.0
21,2006,395.0,0.91139239
21,2006,150.0,1.0
21,2006,150.0,1.0
21,2006,300.0,1.0
21,2006,1080.0,0.53703701
21,2006,105.0,1.0
21,2006,210.0,1.0
21,2006,610.0,1.0
21,2006,560.0,1.0
21,2006,350.0,1.0
21,2006,120.0,1.0
21,2006,80.0,1.0
21,2006,410.0,1.0
21,2006,545.0,1.0
21,2006,450.0,1.0
21,2006,150.0,1.0
21,2006,765.0,1.0
21,2006,50.0,1.0
21,2006,365.0,1.0
21,2006,90.0,1.0
21,2006,65.0,1.0
21,2006,50.0,1.0
21,2006,460.0,0.78260869
21,2006,845.0,0.94082838
21,2006,250.0,1.0
21,2006,60.0,1.0
21,2006,330.0,1.0
21,2006,360.0,1.0
21,2006,550.0,1.0
21,2006,50.0,0.0
21,2006,465.0,1.0
21,2006,120.0,1.0
21,2006,220.0,1.0
21,2006,770.0,0.67532468
21,2006,520.0,1.0
21,2006,215.0,0.76744187
21,2006,325.0,1.0
21,2006,650.0,1.0
21,2006,500.0,1.0
21,2006,610.0,1.0
