T1,wave,total_大米,ratio_大米
23,2006,5170.0,1.0
41,2006,606.0,1.0
42,2006,1719.0,0.88278067
32,2009,3745.0,0.87716955
32,2009,3064.0,0.86847258
32,2009,3130.0,1.0
41,2009,60.0,1.0
42,2009,2660.0,0.88721806
43,2009,3415.0,0.99853587
11,2011,450.0,0.22222222
11,2011,500.0,1.0
11,2011,550.0,1.0
41,2011,2150.0,1.0
42,2011,1850.0,0.83783782
21,2006,3170.0,1.0
21,2006,925.0,1.0
21,2006,460.0,1.0
21,2006,4407.0,1.0
21,2006,1570.0,0.90445858
21,2006,2769.0,0.99927771
21,2006,764.0,0.99476439
21,2006,1664.0,1.0
21,2006,3336.0,1.0
21,2006,460.0,0.65217394
21,2006,2142.0,1.0
21,2006,1354.0,0.92466766
21,2006,150.0,1.0
21,2006,870.0,1.0
21,2006,1000.0,1.0
21,2006,526.0,0.80798477
21,2006,1352.0,0.85059172
21,2006,1750.0,1.0
21,2006,1100.0,1.0
21,2006,480.0,1.0
21,2006,1490.0,1.0
21,2006,1040.0,1.0
21,2006,640.0,1.0
21,2006,1239.0,1.0
21,2006,602.0,1.0
21,2006,2320.0,1.0
21,2006,880.0,0.39772728
21,2006,520.0,1.0
21,2006,1180.0,1.0
21,2006,530.0,1.0
21,2006,545.0,1.0
21,2006,765.0,1.0
21,2006,369.0,0.73712736
21,2006,2250.0,1.0
21,2006,3455.0,1.0
21,2006,300.0,1.0
21,2006,150.0,1.0
21,2006,1232.5,1.0
21,2006,1275.0,0.90196079
21,2006,430.0,1.0
21,2006,3820.0,1.0
21,2006,4155.0,1.0
21,2006,6256.0,0.82400894
21,2006,435.0,1.0
21,2006,1206.0,1.0
21,2006,2862.5,1.0
21,2006,2835.0,0.62962961
21,2006,1995.0,1.0
21,2006,895.0,1.0
21,2006,435.0,1.0
21,2006,240.0,0.5
21,2006,2006.0,1.0
21,2006,1260.0,1.0
21,2006,3650.0,1.0
21,2006,1700.0,1.0
21,2006,2544.0,0.9980346
21,2006,1071.0,0.88328665
21,2006,710.0,1.0
21,2006,670.0,0.82089549
21,2006,2404.0,1.0
21,2006,220.0,1.0
21,2006,921.0,0.39196527
21,2006,2000.0,0.88499999
21,2006,1300.0,1.0
