T1,wave,total_豆类,ratio_豆类
23,2006,400.0,1.0
41,2006,1480.0,1.0
42,2006,750.0,0.60000002
32,2009,530.0,0.8490566
32,2009,850.0,0.41176471
32,2009,880.0,0.88636363
42,2009,1820.0,0.78021979
43,2009,360.0,1.0
11,2011,100.0,1.0
11,2011,200.0,0.0
11,2011,760.0,0.19736843
41,2011,180.0,1.0
42,2011,440.0,0.31818181
21,2006,2400.0,1.0
21,2006,1550.0,1.0
21,2006,100.0,1.0
21,2006,1050.0,1.0
21,2006,400.0,1.0
21,2006,400.0,1.0
21,2006,746.0,1.0
21,2006,1400.0,1.0
21,2006,250.0,1.0
21,2006,300.0,1.0
21,2006,250.0,1.0
21,2006,1050.0,0.2857143
21,2006,100.0,1.0
21,2006,2065.0,0.94430995
21,2006,400.0,0.75
21,2006,1050.0,1.0
21,2006,350.0,1.0
21,2006,200.0,1.0
21,2006,145.0,1.0
21,2006,150.0,1.0
21,2006,730.0,1.0
21,2006,750.0,0.53333336
21,2006,1320.0,1.0
21,2006,165.0,1.0
21,2006,150.0,0.0
21,2006,1000.0,1.0
21,2006,510.0,1.0
21,2006,450.0,1.0
21,2006,550.0,1.0
21,2006,200.0,0.0
21,2006,250.0,1.0
21,2006,160.0,1.0
21,2006,1050.0,0.2857143
21,2006,1350.0,1.0
21,2006,820.0,1.0
21,2006,600.0,0.5
21,2006,1410.0,1.0
21,2006,250.0,1.0
21,2006,400.0,0.75
21,2006,1070.0,1.0
21,2006,690.0,1.0
21,2006,100.0,1.0
21,2006,450.0,1.0
21,2006,820.0,1.0
21,2006,275.0,1.0
21,2006,250.0,1.0
21,2006,400.0,1.0
21,2006,1480.0,1.0
21,2006,1750.0,1.0
21,2006,185.0,1.0
21,2006,650.0,1.0
21,2006,170.0,1.0
21,2006,200.0,1.0
21,2006,500.0,0.40000001
21,2006,650.0,0.84615386
21,2006,1120.0,1.0
21,2006,150.0,1.0
21,2006,750.0,1.0
21,2006,150.0,1.0
21,2006,1200.0,1.0
21,2006,100.0,0.0
21,2006,770.0,1.0
21,2006,1000.0,1.0
21,2006,950.0,1.0
21,2006,750.0,0.86666667
21,2006,255.0,0.70588237
21,2006,1346.0,0.92570579
21,2006,1000.0,1.0
21,2006,2093.0,1.0
21,2006,430.0,0.69767439
21,2006,1050.0,1.0
21,2006,1150.0,1.0
21,2006,1710.0,1.0
21,2006,560.0,1.0
21,2006,250.0,1.0
