T1,wave,total_奶类,ratio_奶类
41,2006,850.0,1.0
42,2006,290.0,0.31034482
32,2009,400.0,0.0
11,2011,500.0,1.0
11,2011,440.0,1.0
21,2006,1000.0,1.0
21,2006,242.0,1.0
21,2006,1825.0,1.0
21,2006,950.0,1.0
21,2006,1000.0,1.0
21,2006,454.0,1.0
21,2006,250.0,1.0
21,2006,200.0,1.0
21,2006,1250.0,1.0
21,2006,250.0,1.0
21,2006,750.0,1.0
21,2006,500.0,1.0
21,2006,227.0,1.0
21,2006,450.0,1.0
21,2006,1975.0,1.0
21,2006,681.0,1.0
21,2006,1750.0,1.0
21,2006,250.0,1.0
21,2006,250.0,1.0
21,2006,1362.0,1.0
21,2006,500.0,1.0
21,2006,1250.0,1.0
21,2006,500.0,1.0
21,2006,1850.0,1.0
21,2006,500.0,1.0
21,2006,1924.0,1.0
21,2006,100.0,1.0
21,2006,950.0,1.0
21,2006,250.0,1.0
21,2006,220.0,1.0
21,2006,250.0,1.0
21,2006,2957.0,1.0
21,2006,242.0,1.0
21,2006,750.0,1.0
21,2006,2900.0,1.0
21,2006,500.0,1.0
21,2006,750.0,1.0
21,2006,250.0,1.0
21,2006,600.0,1.0
21,2006,250.0,1.0
21,2006,250.0,1.0
21,2006,250.0,1.0
21,2006,2000.0,1.0
21,2006,1930.0,1.0
21,2006,750.0,1.0
21,2006,500.0,1.0
21,2006,750.0,1.0
21,2006,1181.0,1.0
21,2006,220.0,1.0
21,2006,1936.0,1.0
21,2006,120.0,1.0
21,2006,250.0,1.0
21,2006,660.0,1.0
21,2006,2400.0,1.0
21,2006,375.0,1.0
23,2006,240.0,1.0
23,2006,250.0,1.0
23,2006,720.0,1.0
23,2006,240.0,1.0
23,2006,620.0,1.0
23,2006,250.0,1.0
23,2006,1727.0,1.0
23,2006,250.0,1.0
23,2006,240.0,1.0
23,2006,750.0,1.0
23,2006,2181.0,1.0
23,2006,493.0,1.0
23,2006,370.0,1.0
23,2006,650.0,1.0
23,2006,300.0,1.0
23,2006,200.0,1.0
23,2006,440.0,1.0
23,2006,240.0,1.0
23,2006,570.0,1.0
23,2006,350.0,1.0
23,2006,500.0,1.0
23,2006,200.0,1.0
23,2006,720.0,1.0
23,2006,227.0,1.0
23,2006,900.0,1.0
23,2006,250.0,1.0
23,2006,500.0,1.0
23,2006,1200.0,1.0
23,2006,243.0,1.0
23,2006,25.0,1.0
23,2006,220.0,1.0
23,2006,300.0,1.0
23,2006,225.0,1.0
23,2006,125.0,1.0
23,2006,430.0,1.0
23,2006,150.0,1.0
23,2006,150.0,1.0
23,2006,250.0,1.0
23,2006,227.0,1.0
23,2006,220.0,1.0
23,2006,1025.0,1.0
23,2006,240.0,1.0
23,2006,750.0,1.0
23,2006,750.0,1.0
23,2006,227.0,1.0
32,2006,1260.0,1.0
32,2006,400.0,0.0
32,2006,420.0,1.0
32,2006,1000.0,0.75
32,2006,250.0,1.0
32,2006,450.0,1.0
32,2006,990.0,1.0
32,2006,440.0,1.0
32,2006,400.0,0.0
32,2006,90.0,1.0
32,2006,200.0,1.0
32,2006,750.0,1.0
32,2006,200.0,0.0
32,2006,450.0,0.0
32,2006,600.0,1.0
32,2006,360.0,0.0
32,2006,600.0,0.25
32,2006,500.0,0.5
32,2006,1190.0,1.0
32,2006,850.0,1.0
32,2006,2160.0,1.0
32,2006,355.0,1.0
32,2006,1100.0,0.77272725
32,2006,300.0,1.0
32,2006,2565.0,1.0
32,2006,600.0,1.0
32,2006,750.0,1.0
32,2006,200.0,1.0
32,2006,550.0,1.0
32,2006,1475.0,1.0
32,2006,1320.0,1.0
32,2006,900.0,1.0
32,2006,580.0,1.0
32,2006,840.0,0.26190478
32,2006,375.0,1.0
32,2006,615.0,1.0
32,2006,750.0,1.0
32,2006,845.0,1.0
32,2006,200.0,1.0
32,2006,50.0,0.0
32,2006,750.0,1.0
32,2006,200.0,1.0
32,2006,250.0,0.0
32,2006,390.0,1.0
32,2006,750.0,1.0
32,2006,100.0,1.0
32,2006,405.0,1.0
32,2006,750.0,0.66666669
32,2006,200.0,1.0
32,2006,1910.0,1.0
32,2006,275.0,1.0
32,2006,750.0,1.0
32,2006,700.0,0.0
32,2006,250.0,0.0
32,2006,640.0,0.6875
32,2006,250.0,1.0
32,2006,600.0,1.0
32,2006,250.0,0.0
32,2006,80.0,1.0
32,2006,1000.0,0.25
32,2006,75.0,1.0
32,2006,1260.0,1.0
32,2006,300.0,1.0
32,2006,920.0,1.0
32,2006,600.0,1.0
32,2006,500.0,1.0
32,2006,250.0,1.0
32,2006,660.0,1.0
32,2006,500.0,0.0
32,2006,250.0,1.0
32,2006,1350.0,1.0
32,2006,1975.0,0.69620252
32,2006,500.0,1.0
32,2006,250.0,1.0
32,2006,500.0,1.0
32,2006,1950.0,1.0
32,2006,600.0,1.0
32,2006,500.0,1.0
37,2006,700.0,1.0
37,2006,250.0,1.0
37,2006,660.0,1.0
37,2006,200.0,1.0
37,2006,500.0,1.0
37,2006,972.0,1.0
37,2006,1600.0,0.875
37,2006,470.0,1.0
37,2006,480.0,0.0
37,2006,2505.0,1.0
37,2006,950.0,1.0
37,2006,949.0,1.0
