进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,港口,运输方式,运输路线,公司,公司类型,地址,传真,电话,邮政编码,电子邮件,联系人,城市,商品1996编码,货币
进口,2001-04,07141020,木薯干,1322714.0,16329800.0,公斤,泰国,一般贸易,天津海关,江海运输,泰国,天津挂月集团有限公司,国有企业,蓟县上仓镇,022 29858164,022 29858163,301906.0,,贾连,天津市蓟县,hs71410,usd
进口,2001-04,07141020,木薯干,1322714.0,16329800.0,公斤,泰国,一般贸易,天津海关,江海运输,泰国,天津挂月集团有限公司,国有企业,蓟县上仓镇,022 29858164,022 29858163,301906.0,,贾连,天津市蓟县,hs71410,usd
进口,2001-04,10051000,种用玉米,6291.0,650.0,公斤,新西兰,一般贸易,大连海关,江海运输,新西兰,吉美农业技术有限公司,中外合资企业,长春市红旗街23号,0431 5952945,0431 5951246,130031,,陈翠琴,吉林省长春,hs100510,usd
进口,2001-04,07141020,木薯干,826653.0,11000000.0,公斤,泰国,一般贸易,南京海关,江海运输,泰国,中化广东进出口公司,国有企业,广州市站前路58号,020-86507512,020-86672288,510160.0,,陈国雄,安徽省合肥,hs71410,usd
进口,2001-04,07141020,木薯干,438229.0,4698000.0,公斤,印度尼西亚,进料加工贸易,南京海关,江海运输,印度尼西亚,中化厦门公司,,湖光大厦九楼BD座,,0592 5086362 5116888,361004.0,,孙连义,江苏省太仓,hs71410,usd
进口,2001-04,10030090,其他大麦,2030985.0,12135000.0,公斤,澳大利亚,一般贸易,南京海关,江海运输,澳大利亚,新疆啤酒花股份有限公司,国有企业,乌鲁木齐市解放北路17号,,991 2835219,830002.0,,赵富,江苏省南通,hs100300,usd
进口,2001-04,10030090,其他大麦,826653.0,5000000.0,公斤,加拿大,一般贸易,青岛海关,江海运输,加拿大,烟台麦多利啤酒原料有限公司,中外合资企业,烟台市莱山区迎春大街126号,,0535 6711004,264001.0,,曲继光,山东省烟台,hs100300,usd
进口,2001-04,07141020,木薯干,2309541.0,31328070.0,公斤,泰国,进料加工贸易,青岛海关,江海运输,泰国,河南天冠企业集团有限公司,国有企业,南阳市建设东路16号,0377 3026447,0377 3026447,473000.0,,张晓阳,河南省南阳,hs71410,usd
进口,2001-04,07141020,木薯干,913100.0,12386000.0,公斤,泰国,进料加工贸易,郑州海关,江海运输,泰国,河南天冠企业集团有限公司,国有企业,南阳市建设东路16号,0377 3026447,0377 3026447,473000.0,,张晓阳,河南省南阳,hs71410,usd
进口,2001-04,07141020,木薯干,25829.0,416600.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,上思县对外经济贸易公司,,思阳镇北布路十七号,8512227,8512227,535500.0,,刘颖,广西壮族南宁,hs71410,usd
进口,2001-04,07141020,木薯干,1002.0,16580.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县南亚经贸有限责任公司,,河口人民路9号,,21952,661300.0,,林学建,四川省其它,hs71410,usd
进口,2001-04,07141020,木薯干,394086.0,6515700.0,公斤,越南,边境小额贸易,南宁海关,汽车运输,越南,广西凭祥市进出口贸易公司,国有企业,广西凭祥市南山验货厂1幢,0771-8532890,0771-8532891,532600.0,,王  灵,广西壮族凭祥,hs71410,usd
进口,2001-04,10030090,其他大麦,2631394.0,16500000.0,公斤,加拿大,一般贸易,青岛海关,江海运输,加拿大,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,山东省烟台,hs100300,usd
进口,2001-04,10030090,其他大麦,2647944.0,16000000.0,公斤,加拿大,一般贸易,南京海关,江海运输,加拿大,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,江苏省南通,hs100300,usd
进口,2001-04,10030090,其他大麦,2693228.0,17575200.0,公斤,澳大利亚,一般贸易,大连海关,江海运输,澳大利亚,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,辽宁省大连,hs100300,usd
进口,2001-04,10030090,其他大麦,2665596.0,16722840.0,公斤,加拿大,一般贸易,大连海关,江海运输,加拿大,中国粮油食品进出口(集团)有限公司,国有企业,北京建国门内大街8号中粮广场A座7-13层,,010-65268888,100005.0,,周明臣,辽宁省大连,hs100300,usd
进口,2001-04,10051000,种用玉米,1007.0,176.0,公斤,法国,一般贸易,北京海关,航空运输,法国,北京市种子公司,国有企业,北京市海淀区北太平路15号,,01062361664,100088.0,,郑渝,北京市海淀区,hs100510,usd
进口,2001-04,10051000,种用玉米,16160.0,4000.0,公斤,阿根廷,一般贸易,北京海关,航空运输,美国,长春大成玉米开发有限公司,中外合资企业,长春市西环城路28号,0431-7860378,0431-7879934,130111.0,,朱媛,长春经济技术开发区,hs100510,usd
进口,2001-04,07141020,木薯干,663632.0,8295400.0,公斤,泰国,一般贸易,南京海关,江海运输,泰国,山东省东方国际贸易股份有限公司,国有企业,,0532-2971838,0532-2971902,266002.0,,李兆兴,江苏省连云港,hs71410,usd
进口,2001-04,07141020,木薯干,240293.0,2402930.0,公斤,越南,一般贸易,南京海关,江海运输,越南,江苏中贸发进出口股份有限公司,国有企业,江苏省无锡市县前东街8号国联大厦9楼,0510-2833158,0510-2832355,214005.0,,王锡林,江苏省无锡,hs71410,usd
进口,2001-04,07141020,木薯干,49200.0,820000.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,广西壮族自治区医药保健品进出口防城公司,国有企业,防城港市港口区友谊大道4号,0770 2824963,0770 2822790,538001,,施海萍,广西壮族南宁,hs71410,usd
进口,2001-04,10030090,其他大麦,2799851.0,15750000.0,公斤,加拿大,一般贸易,黄埔海关,江海运输,加拿大,浙江省国兴进出口有限公司,国有企业,浙江省杭州市延安路515号818室,0572-85103717,0572-85167007,310006,guoxin@mail.hz.zj.cn,郭信灿,广州经济技术开发区,hs100300,usd
进口,2001-04,07141020,木薯干,858343.0,11000000.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,烟台土畜产进出口集团有限公司,国有企业,烟台市环山路副148号,0535-6622379,0535-6216870,264001,,唐茂宽,山东省烟台,hs71410,usd
进口,2001-04,10030090,其他大麦,214669.0,1321140.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,兖矿集团博洋对外经济贸易有限公司,国有企业,邹城市凫山路40号,,370895383461,273500,,孔青,山东省济宁,hs100300,usd
进口,2001-04,10030090,其他大麦,213848.0,1316490.0,公斤,澳大利亚,一般贸易,上海海关,江海运输,澳大利亚,兖矿集团博洋对外经济贸易有限公司,国有企业,邹城市凫山路40号,,370895383461,273500,,孔青,山东省济宁,hs100300,usd
进口,2001-04,10030090,其他大麦,5118302.0,31450000.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,山东省粮油集团总公司,国有企业,山东省济南市泺源大街3号,,0531 6958867,250063.0,,孟庆秀,山东省烟台,hs100300,usd
进口,2001-04,10030090,其他大麦,89648.0,548340.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,山东省粮油集团总公司,国有企业,山东省济南市泺源大街3号,,0531 6958867,250063.0,,孟庆秀,山东省济南,hs100300,usd
进口,2001-04,07141020,木薯干,1614520.0,21340000.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省粮油集团总公司,国有企业,山东省济南市泺源大街3号,,0531 6958867,250063.0,,孟庆秀,山东省济南,hs71410,usd
进口,2001-04,10070010,种用食用高梁,752.0,76.0,公斤,美国,一般贸易,北京海关,航空运输,美国,中国绿色食品总公司,国有企业,北京朝阳区西坝河光熙门北里15号,,84252143 207,100028.0,,刘连馥,北京市朝阳区,hs100700,usd
进口,2001-04,07141020,木薯干,327685.0,4300000.0,公斤,泰国,一般贸易,黄埔海关,江海运输,泰国,广东正大康地有限公司,中外合资企业,广州市黄埔大道东圃地段,020 82270823,020 82270823,510660.0,,苗栓柱,广东省广州,hs71410,usd
进口,2001-04,07141020,木薯干,421968.0,5407650.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东省对外贸易集团有限公司,国有企业,青岛市太平路51号,,053222971222,266001.0,,米永法,山东省烟台,hs71410,usd
进口,2001-04,23033000,酿造及蒸馏过程中的糟粕及残渣,339.0,30000.0,公斤,日本,进料加工贸易,宁波海关,江海运输,日本,浙江惠灵对外贸易有限责任公司,国有企业,杭州下城区中山北路308号,,0571 5773818,310003.0,,龚荣祥,浙江省萧山,hs230330,usd
进口,2001-04,10051000,种用玉米,16000.0,800.0,公斤,德国,一般贸易,大连海关,江海运输,德国,辽宁东亚国际种苗有限公司,中外合资企业,沈阳市于洪区长江北街33号,024 86117722,024 86117722,110034.0,,于学明,辽宁省沉阳,hs100510,usd
进口,2001-04,10051000,种用玉米,4.0,8.0,公斤,德国,一般贸易,哈尔滨海关,航空运输,德国,黑龙江好运农业有限公司,中外合资企业,哈尔滨市和平路70号,,0451 2620333,150040.0,,吴德全,黑龙江省哈尔滨,hs100510,usd
进口,2001-04,10051000,种用玉米,150.0,150.0,公斤,德国,一般贸易,天津海关,江海运输,德国,黑龙江好运农业有限公司,中外合资企业,哈尔滨市和平路70号,,0451 2620333,150040.0,,吴德全,黑龙江省哈尔滨,hs100510,usd
进口,2001-04,07141020,木薯干,265043.0,3500000.0,公斤,泰国,一般贸易,深圳海关,江海运输,泰国,正大康地珠海有限公司,外商独资企业,珠海市前山金鸡山工业区南段,,0756 8612335,519070.0,,黄正纲,珠海特区,hs71410,usd
进口,2001-04,10070090,其他食用高梁,1027.0,17000.0,公斤,缅甸,边境小额贸易,昆明海关,汽车运输,缅甸,梁河县河西商号,集体企业,云南省瑞丽市,,,,,,云南省瑞丽,hs100700,usd
进口,2001-04,07141020,木薯干,28693.0,475000.0,公斤,越南,边境小额贸易,南宁海关,汽车运输,越南,广西壮族自治区凭祥市对外经济贸易公司,国有企业,凭祥市南大路7号,007718521127,007718521127,532600.0,,陈宝刚,广西壮族凭祥,hs71410,usd
进口,2001-04,07141020,木薯干,113590.0,1500000.0,公斤,泰国,一般贸易,深圳海关,江海运输,泰国,正大康地(番禺)有限公司,中外合资企业,番禺市沙湾镇蚬涌,020 84838229,020 84881218,511483,,刘锦成,广东省番禹,hs71410,usd
进口,2001-04,07141020,木薯干,302906.0,4000000.0,公斤,泰国,一般贸易,深圳海关,江海运输,泰国,正大康地--汕头有限公司,外商独资企业,广东汕头经济特区龙湖加工区,0754 8260161,0754 8260161,515041,,张汉源,汕头特区汕头,hs71410,usd
进口,2001-04,10051000,种用玉米,655.0,217.0,公斤,德国,其他,北京海关,航空运输,德国,中国种子集团公司,国有企业,北京市朝阳区安贞西里4区甲1号,010-64426338,010-64426336,100029.0,,何忠华,北京市朝阳区,hs100510,usd
进口,2001-04,10051000,种用玉米,2657.0,373.0,公斤,智利,其他,北京海关,航空运输,智利,中国种子集团公司,国有企业,北京市朝阳区安贞西里4区甲1号,010-64426338,010-64426336,100029.0,,何忠华,北京市朝阳区,hs100510,usd
进口,2001-04,10051000,种用玉米,1045.0,180.0,公斤,菲律宾,一般贸易,沈阳海关,航空运输,菲律宾,铁岭先锋种子研究有限公司,外商独资企业,铁岭市银州区工人街16号,0410 4851864,0410 4851864,112000.0,,狄奥斯切奇,辽宁省铁岭,hs100510,usd
进口,2001-04,10051000,种用玉米,2398.0,173.0,公斤,智利,其他,沈阳海关,航空运输,智利,铁岭先锋种子研究有限公司,外商独资企业,铁岭市银州区工人街16号,0410 4851864,0410 4851864,112000.0,,狄奥斯切奇,辽宁省铁岭,hs100510,usd
进口,2001-04,10051000,种用玉米,2585.0,150.0,公斤,匈牙利,其他,沈阳海关,航空运输,匈牙利,铁岭先锋种子研究有限公司,外商独资企业,铁岭市银州区工人街16号,0410 4851864,0410 4851864,112000.0,,狄奥斯切奇,辽宁省铁岭,hs100510,usd
进口,2001-04,10051000,种用玉米,4666.0,373.0,公斤,阿根廷,其他,沈阳海关,航空运输,阿根廷,铁岭先锋种子研究有限公司,外商独资企业,铁岭市银州区工人街16号,0410 4851864,0410 4851864,112000.0,,狄奥斯切奇,辽宁省铁岭,hs100510,usd
进口,2001-04,07141020,木薯干,13894.0,230000.0,公斤,越南,边境小额贸易,昆明海关,铁路运输,越南,河口县边贸总公司,国有企业,河口广龄路14号,,21418,661300.0,,蔡光祥,云南省其它,hs71410,usd
进口,2001-04,07141010,鲜木薯,539.0,56820.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县边贸总公司,国有企业,河口广龄路14号,,21418,661300.0,,蔡光祥,云南省河口,hs71410,usd
进口,2001-04,07141010,鲜木薯,1791.0,185280.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县边贸总公司,国有企业,河口广龄路14号,,21418,661300.0,,蔡光祥,云南省文山,hs71410,usd
进口,2001-04,07141020,木薯干,18077.0,322510.0,公斤,越南,边境小额贸易,昆明海关,其它运输,越南,河口县边贸总公司,国有企业,河口广龄路14号,,21418,661300.0,,蔡光祥,云南省其它,hs71410,usd
进口,2001-04,07141020,木薯干,5255.0,87000.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县边贸总公司,国有企业,河口广龄路14号,,21418,661300.0,,蔡光祥,云南省红河,hs71410,usd
进口,2001-04,07141020,木薯干,304228.0,4044200.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,青岛正大有限公司,外商独资企业,城阳区后桃林,,05324715889,266109.0,,游汝谦,山东省青岛,hs71410,usd
进口,2001-04,10059000,玉米，种用除外,3866.0,64000.0,公斤,缅甸,边境小额贸易,昆明海关,汽车运输,缅甸,瑞丽市宏安有限责任公司,私营企业,瑞丽市瑞宏路,,0692 4145745,678600.0,,张建和,云南省瑞丽,hs100590,usd
进口,2001-04,07141020,木薯干,165447.0,2200000.0,公斤,泰国,一般贸易,黄埔海关,江海运输,泰国,茂名市供销联合贸易进出口公司,,广东省茂名市油城四路81号,,0668 2284883,525000.0,,梁世飞,广东省茂名,hs71410,usd
进口,2001-04,07141020,木薯干,690655.0,9060300.0,公斤,泰国,一般贸易,青岛海关,江海运输,泰国,山东沭化集团有限公司,国有企业,山东临沭县城兴大西街,,0539-6213888,276700.0,,张立省,山东省临沂,hs71410,usd
进口,2001-04,07141020,木薯干,494935.0,4984340.0,公斤,越南,进料加工贸易,南京海关,江海运输,越南,罗氏中亚（无锡）柠檬酸有限公司,中外合资企业,无锡市金城桥西,0510-5406094,0510-5411888,214024.0,,王锡林,高新技术产业开发区,hs71410,usd
进口,2001-04,07141020,木薯干,1510.0,25000.0,公斤,越南,边境小额贸易,南宁海关,汽车运输,越南,广西金源进出口贸易有限公司,国有企业,广西凭祥市银兴大街105号,0771-8527557,0771-8528557/8530827,532600.0,rjx8181@sina.com,孙仙平,广西壮族凭祥,hs71410,usd
进口,2001-04,10040090,其他燕麦,2994.0,18069.0,公斤,澳大利亚,其他境外捐赠物资,广州海关,江海运输,香港,新风临时编码,其它,,,,,,,广东省广州,hs100400,usd
进口,2001-04,10030090,其他大麦,303617.0,1801820.0,公斤,澳大利亚,一般贸易,南京海关,江海运输,澳大利亚,中粮上海粮油进出口公司,国有企业,上海市中山南二路440号,021-64037846,021-64164988,200032.0,shco@public1.sta.net.cn,金家凯,江苏省南通,hs100300,usd
进口,2001-04,07141020,木薯干,819500.0,11000000.0,公斤,泰国,一般贸易,南京海关,江海运输,泰国,连云港市对外贸易公司,国有企业,中国江苏连云港市新浦海连东路9号外经贸大厦12层,0518-5805258,0518-5803627,222006.0,,汪烈元,江苏省连云港,hs71410,usd
进口,2001-04,10030090,其他大麦,223381.0,1382900.0,公斤,澳大利亚,一般贸易,大连海关,江海运输,澳大利亚,中粮上海粮油进出口公司,国有企业,上海市中山南二路440号,021-64037846,021-64164988,200032.0,shco@public1.sta.net.cn,金家凯,吉林省长春,hs100300,usd
进口,2001-04,10030090,其他大麦,16380.0,84000.0,公斤,法国,一般贸易,天津海关,江海运输,法国,保定欧麦八达麦芽有限公司,中外合资企业,保定市江成路,0312-7031389,0312-7031388,71050.0,,博聂.阿兰,河北省保定,hs100300,usd
进口,2001-04,10030090,其他大麦,1102105.0,6300000.0,公斤,澳大利亚,一般贸易,天津海关,江海运输,澳大利亚,保定欧麦八达麦芽有限公司,中外合资企业,保定市江成路,0312-7031389,0312-7031388,71050.0,,博聂.阿兰,河北省保定,hs100300,usd
进口,2001-04,07141010,鲜木薯,256.0,26500.0,公斤,越南,边境小额贸易,昆明海关,汽车运输,越南,河口县对外经济贸易公司,国有企业,河口县人民路6号,,0873 3421859,661300.0,,何书方,云南省河口,hs71410,usd
进口,2001-04,10051000,种用玉米,129.0,56.0,公斤,香港,一般贸易,杭州海关,航空运输,香港,浙江省种子公司,国有企业,杭州市秋涛北路119号,,0571 6945949,310020.0,,王浩良,浙江省杭州,hs100510,usd
进口,2001-04,07141020,木薯干,84741.0,1340840.0,公斤,越南,边境小额贸易,南宁海关,江海运输,越南,广西东兴市钦南边贸有限责任公司,国有企业,东兴开发区一区商住楼,0777 2829873,0777 2829873,538100,,温荣法,广西壮族钦州,hs71410,usd
进口,2001-04,07141020,木薯干,838508.0,11000000.0,公斤,泰国,一般贸易,深圳海关,江海运输,泰国,江门甘蔗化工厂(集团)股份有限公司,国有企业,中国广东江门市甘化路1号,0750-3361973,0750-3371681,529075.0,,周润,广东省江门,hs71410,usd
进口,2001-04,10030090,其他大麦,3205000.0,19900000.0,公斤,澳大利亚,一般贸易,青岛海关,江海运输,澳大利亚,山东九发集团公司,,中国烟台南大街9号金都大厦28层,0535-6623798,0535-4622382,264001.0,,蒋绍庆,山东省烟台,hs100300,usd
进口,2001-04,07141020,木薯干,582723.0,6132116.0,公斤,越南,一般贸易,青岛海关,江海运输,越南,山东九发集团公司,,中国烟台南大街9号金都大厦28层,0535-6623798,0535-4622382,264001.0,,蒋绍庆,山东省烟台,hs71410,usd
进口,2001-04,07141020,木薯干,765458.0,10000000.0,公斤,泰国,一般贸易,南京海关,江海运输,泰国,广东顺德糖厂有限公司,国有企业,顺德市德胜区沙头,0765 2292020,0765 2291041  07,528333.0,,张绪跃,江苏省连云港,hs71410,usd
进口,2001-04,10030090,其他大麦,2338000.0,14000000.0,公斤,澳大利亚,一般贸易,南京海关,江海运输,澳大利亚,山东九发集团公司,,中国烟台南大街9号金都大厦28层,0535-6623798,0535-4622382,264001.0,,蒋绍庆,山东省临沂,hs100300,usd
进口,2001-04,10030090,其他大麦,4734944.0,29968000.0,公斤,澳大利亚,一般贸易,石家庄海关,江海运输,澳大利亚,甘肃亚盛国际贸易集团有限公司,国有企业,甘肃省兰州市城关区张掖路 219号基隆大厦20层,,0931 8483524,730030.0,,周长生,河北省秦皇岛,hs100300,usd
