province,sorghum_US_exposure_2017,barley_australia_exposure_2017
上海市,0.9486115518792055,0.941389897146604
云南省,0.0,
内蒙古自治区,,1.0
北京市,0.9829864767352304,0.6445285561939846
四川省,0.0,1.0
天津市,0.0,1.0
安徽省,0.8931881656427614,0.982510428217198
山东省,0.6419209661930847,0.7032855667620339
广东省,1.0,0.7284746489241751
江苏省,1.0,0.6064218055933627
河北省,,0.7531933289617565
浙江省,,0.6537198563816141
海南省,,1.0
湖北省,0.000609871248008737,
湖南省,0.999976284286032,1.0
甘肃省,0.15784748375204588,1.0
福建省,0.8880670358264918,0.5736625040890935
贵州省,0.0,
辽宁省,0.11535080606368796,0.6604741031746383
黑龙江省,0.0,
