variable,N,mean,sd,min,p1,p25,p50,p75,p99,max
total_expenditure_usd,634,108692112,276121568,9,284,3791153,21424016,95566744,1838474112,2580201216
lnx,634,16.504513,2.7051468,2.1972246,5.6489744,15.148181,16.880007,18.375336,21.332201,21.671133
w_corn,634,.25106797,.36340433,0,0,0,.010544705,.45088592,1,1
w_sorghum,634,.17442143,.29288444,0,0,0,.0088601429,.21349871,1,1
w_cassava,634,.16934164,.29575983,0,0,0,0,.2106193,1,1
w_oats,634,.072653346,.20420626,0,0,0,0,.023118202,1,1
w_barley,634,.33251563,.36503774,0,0,0,.19552179,.60145032,1,1
ln_cell_price_raw1,391,-.73223281,1.4777384,-2.6248546,-2.212157,-1.5135961,-1.209178,-1.0536979,4.6681452,5.5332913
ln_cell_price_raw2,367,-1.1281378,.75213319,-1.9119828,-1.8897462,-1.4265062,-1.1407477,-1.0393691,2.9925356,5.9889612
ln_cell_price_raw3,271,-1.3945122,.33763295,-1.8424691,-1.8164482,-1.5090669,-1.3756931,-1.2674659,-1.1398724,3.3141861
ln_cell_price_raw4,290,-.84896624,1.2227331,-2.0778847,-1.8389211,-1.3816029,-1.1441556,-1.0390701,3.8628328,7.6866212
ln_cell_price_raw5,426,-1.3160397,.31275588,-2.01092,-1.7390994,-1.4716446,-1.3426869,-1.203714,-.79518664,3.2846637
