specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
easi,easi,nlsur,1,2,1,a1,.1212046998838247,.39157981,.30952746,.75692034,-.64627767,.88868701
easi,easi,nlsur,1,2,1,a2,.2188882270866647,.21197599,1.0326086,.30178711,-.19657707,.63435352
easi,easi,nlsur,1,2,1,a3,.1683827559114342,.43111107,.3905786,.69610876,-.67657942,1.013345
easi,easi,nlsur,1,2,1,a4,.0217597261443331,.24881873,.087452129,.93031216,-.46591601,.50943547
easi,easi,nlsur,1,2,1,b1_1,.0464465242382655,.093021981,.49930698,.61756313,-.1358732,.22876625
easi,easi,nlsur,1,2,1,b2_1,-.0509155202901084,.051964436,-.97981477,.32717755,-.15276395,.050932899
easi,easi,nlsur,1,2,1,b3_1,-.0240118836578846,.06091547,-.39418367,.69344544,-.14340401,.095380247
easi,easi,nlsur,1,2,1,b4_1,-.0340868949500935,.038247712,-.89121395,.37281439,-.10905103,.040877242
easi,easi,nlsur,1,2,1,g1_1,-.0931935327909366,.093479514,-.99694073,.3187933,-.27641001,.090022944
easi,easi,nlsur,1,2,1,g1_2,.0681981896653315,.078345187,.87048346,.38403627,-.085355558,.22175194
easi,easi,nlsur,1,2,1,g1_3,.0635036182005549,.075076796,.8458488,.3976371,-.083644196,.21065144
easi,easi,nlsur,1,2,1,g1_4,-.0377894298553671,.042404186,-.89117217,.37283683,-.12090011,.045321245
easi,easi,nlsur,1,2,1,g2_2,-.1203877567031083,.11932654,-1.0088934,.31302574,-.35426348,.11348796
easi,easi,nlsur,1,2,1,g2_3,.0788912766385053,.22089212,.35714847,.72098064,-.3540493,.51183188
easi,easi,nlsur,1,2,1,g2_4,.0201308953203246,.038923234,.51719481,.60502017,-.056157243,.096419029
easi,easi,nlsur,1,2,1,g3_3,-.3318181239900163,.28132868,-1.1794678,.23821196,-.88321221,.21957597
easi,easi,nlsur,1,2,1,g3_4,-.0910281747093994,.089318112,-1.0191457,.30813378,-.26608846,.084032103
easi,easi,nlsur,1,2,1,g4_4,-.0249626067114395,.049210399,-.50726283,.61197042,-.12141322,.071488008
easi,easi,nlsur,1,2,1,t1_1,.1029188937526818,.23322465,.44128653,.65900558,-.354193,.56003082
easi,easi,nlsur,1,2,1,t1_2,.4557670980469804,.18940927,2.4062555,.016116984,.084531762,.82700241
easi,easi,nlsur,1,2,1,t1_3,-.2578760918124738,.21844956,-1.1804835,.23780797,-.68602937,.17027716
easi,easi,nlsur,1,2,1,t1_4,-.1308281186807712,.25831318,-.50647092,.61252606,-.63711262,.37545642
easi,easi,nlsur,1,2,1,t1_5,-.2572426601991007,.10682812,-2.4080052,.016039954,-.46662194,-.047863398
easi,easi,nlsur,1,2,1,t1_6,-.029049430576056,.10597128,-.27412552,.78398818,-.23674931,.17865045
easi,easi,nlsur,1,2,1,t1_7,-.014931070827759,.070159428,-.21281631,.83147025,-.15244102,.12257888
easi,easi,nlsur,1,2,1,t2_1,-.0789457011053543,.16819999,-.46935618,.63881505,-.4086116,.2507202
easi,easi,nlsur,1,2,1,t2_2,-.1824649173166898,.10831604,-1.6845604,.092073411,-.39476046,.02983062
easi,easi,nlsur,1,2,1,t2_3,.0205630603658028,.18629639,.1103782,.91210943,-.34457114,.38569728
easi,easi,nlsur,1,2,1,t2_4,.1742716255158238,.19588473,.88966417,.37364623,-.20965539,.55819863
easi,easi,nlsur,1,2,1,t2_5,-.0954015040111222,.087890863,-1.0854542,.27772054,-.26766443,.076861419
easi,easi,nlsur,1,2,1,t2_6,.1317864214660775,.094861679,1.3892483,.16475727,-.054139052,.31771189
easi,easi,nlsur,1,2,1,t2_7,.0603761521929063,.054905768,1.0996323,.27149239,-.047237176,.16798948
easi,easi,nlsur,1,2,1,t3_1,-.1917408619569845,.27225792,-.70426178,.48126975,-.72535658,.3418749
easi,easi,nlsur,1,2,1,t3_2,-.003949904812675,.12858863,-.030717373,.97549492,-.255979,.24807918
easi,easi,nlsur,1,2,1,t3_3,.3270409021703084,.32245687,1.0142159,.3104797,-.30496293,.95904475
easi,easi,nlsur,1,2,1,t3_4,.2047736189877381,.32134154,.63724601,.52396458,-.42504421,.83459145
easi,easi,nlsur,1,2,1,t3_5,.1447852079473455,.16526294,.87608999,.38098112,-.17912421,.46869463
easi,easi,nlsur,1,2,1,t3_6,-.521978518978621,.21601191,-2.4164338,.015673371,-.9453541,-.098602943
easi,easi,nlsur,1,2,1,t3_7,-.036865615593685,.056260221,-.65526968,.51229417,-.14713362,.07340239
easi,easi,nlsur,1,2,1,t4_1,-.0829653993221358,.10024885,-.82759446,.40790018,-.27944955,.11351874
easi,easi,nlsur,1,2,1,t4_2,-.1066776460657588,.16536331,-.64511073,.51885545,-.43078378,.21742849
easi,easi,nlsur,1,2,1,t4_3,.1181245499295205,.037981868,3.1100249,.0018707161,.043681458,.19256765
easi,easi,nlsur,1,2,1,t4_4,.0269341168895721,.1019343,.26423016,.79160255,-.17285344,.22672167
easi,easi,nlsur,1,2,1,t4_5,.0171733794552766,.04950761,.34688362,.72867876,-.079859756,.11420651
easi,easi,nlsur,1,2,1,t4_6,.054732441500354,.18158965,.30140728,.76310396,-.30117673,.41064161
easi,easi,nlsur,1,2,1,t4_7,-.0521479839172302,.043852355,-1.1891718,.23437206,-.13809702,.033801049
easi,easi,nlsur,1,2,1,d1,.451031737459835,.63406003,.71133918,.47687408,-.7917031,1.6937666
easi,easi,nlsur,1,2,1,d2,.2152065350300534,.32985803,.65242171,.51412916,-.43130332,.86171639
easi,easi,nlsur,1,2,1,d3,.2930025053101328,.4403387,.66540259,.50579304,-.57004553,1.1560506
easi,easi,nlsur,1,2,1,d4,.1394092662408498,.27744135,.50248194,.61532855,-.40436578,.68318433
