margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,1.266274599171292,1.2624403,1.2608768,1.2352641,.70925993,.94471782,1.1810875,1.5128704,.0056338026,0,-1.1606971,9.3700132,355,.55993688,.001
latent,expenditure,2,0,.8053775730701445,.8289749,.830827,.82621878,.33960372,.73368126,.88700372,.93416333,.033802819,.0056338026,-2.6058192,.98153526,355,.55993688,.001
latent,expenditure,3,0,.8090935741557457,.86239445,.86363125,.88754392,1.2115616,.77773553,.92629105,1.077824,.028169014,.0056338026,-18.536322,2.3539851,355,.55993688,.001
latent,expenditure,4,0,.3217055801957163,.84381682,.80380213,.39653784,1.3131586,-.49315992,.7331385,.879556,.14647888,.014084507,-11.743712,1.027033,355,.55993688,.001
latent,expenditure,5,0,1.081247418069001,.95461267,.95613897,1.0665478,.26418209,.96124434,1.0278888,1.2171984,0,0,.60923421,4.7104945,355,.55993688,.001
latent,marshallian,1,1,-1.459760693089543,-1.2028455,-1.2021313,-1.4295317,.61541528,-1.9645224,-1.2607304,-1.1698283,1,0,-6.6482487,-1.0911934,355,.55993688,.001
latent,hicksian,1,1,-1.205277455100876,-.76562208,-.80161929,-1.1777908,.7014991,-1.8838578,-1.0215504,-.75495052,1,0,-6.5760102,-.39290252,355,.55993688,.001
latent,marshallian,2,1,.3182796189868515,.22511989,.22376752,.28674391,.53215265,.12793066,.1753636,.49803963,0,0,.076927058,4.5581393,355,.55993688,.001
latent,hicksian,2,1,.4953642666609429,.43780085,.4367035,.46838349,.48712695,.20350784,.37299496,.7402727,0,0,.14328967,4.1850171,355,.55993688,.001
latent,marshallian,3,1,.3212199284008202,.095758453,.099600062,.23213583,1.0891749,.053436156,.10133053,.63641238,0,.070422538,.025740206,16.570179,355,.55993688,.001
latent,hicksian,3,1,.4778732253598906,.29501057,.29856032,.42854154,.7448101,.14520296,.3298651,.75536245,0,0,.062605731,10.371186,355,.55993688,.001
latent,marshallian,4,1,-1.339344582117965,-.88109899,-.87941289,-1.2008991,2.1885972,-3.5964668,-.57410866,-.14608437,1,0,-16.396217,-.053424213,355,.55993688,.001
latent,hicksian,4,1,-1.292499848168789,-.62122315,-.62179929,-1.1768889,2.4990921,-3.5864167,-.4400883,.018239602,.88732392,.10422535,-19.874737,.40106562,355,.55993688,.001
latent,marshallian,5,1,.1376377708436084,.11142696,.11149919,.12628242,.17800003,.063666537,.086066507,.21988936,0,0,.051694024,2.017514,355,.55993688,.001
latent,hicksian,5,1,.3767962014527553,.34675217,.35094863,.36176351,.29418907,.13177972,.32081994,.63804531,0,0,.067164585,3.2996731,355,.55993688,.001
latent,marshallian,1,2,.2176879800733926,.051437397,.057006456,.20201547,.32813039,.048033863,.1110267,.53877378,0,.10985915,.024242783,2.339643,355,.55993688,.001
latent,hicksian,1,2,.4482470730996526,.22268046,.23664185,.42965245,.3950972,.18724526,.35143673,.78952551,0,0,.1055361,3.8238606,355,.55993688,.001
latent,marshallian,2,2,-1.17198842343718,-1.1042749,-1.1027876,-1.1462946,.33263037,-1.2675401,-1.0839885,-1.0605539,1,0,-3.8534861,-1.048618,355,.55993688,.001
latent,hicksian,2,2,-1.00950011494895,-.96210706,-.9612112,-.98907441,.38043669,-1.2112694,-.91420758,-.81373262,1,0,-3.8713624,-.63644946,355,.55993688,.001
latent,marshallian,3,2,.078223135076671,.04142138,.041089341,.055478435,.33421224,.004486694,.031755518,.12064369,.053521127,.73521125,-.45770288,5.2231135,355,.55993688,.001
latent,hicksian,3,2,.2398017682934574,.17601168,.18695761,.22761285,.19895542,.13260783,.2227622,.30367079,0,.02253521,.016503816,3.17785,355,.55993688,.001
latent,marshallian,4,2,.4761675348762409,.23414832,.23413362,.43255556,.84307051,.059072211,.19740672,1.2302499,0,.070422538,.0089277327,7.0522075,355,.55993688,.001
