margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,2.737848232906132,1.5518875,1.5509197,2.215837,5.9211779,1.1198895,1.5522118,4.1286721,.012987013,0,-1.066397,68.372063,154,.2429022,.001
latent,expenditure,2,0,.6572291895553298,1.02791,1.0227929,.72571754,1.0657234,.33791876,.78454316,1.0836219,.045454547,.0064935065,-10.173078,4.3211184,154,.2429022,.001
latent,expenditure,3,0,.4058681730309797,.65016049,.64398426,.50330585,1.0497876,.042593956,.62931561,.81107301,.090909094,.012987013,-10.585192,.91531795,154,.2429022,.001
latent,expenditure,4,0,.0099496561163257,.42977133,.42058718,.15106153,2.3691511,-.42784801,.56113243,.71522695,.12987013,.0064935065,-22.247803,.81869584,154,.2429022,.001
latent,expenditure,5,0,2.630064960344025,.71712744,.72929412,2.2750676,7.1175437,.51507795,1.1344047,4.007175,.012987013,.0064935065,-.1840217,61.690632,154,.2429022,.001
latent,marshallian,1,1,-2.830932448574167,-1.2985146,-1.3102621,-2.3203568,5.6324315,-4.2830682,-1.5466352,-1.2475904,1,0,-62.97422,-1.1864132,154,.2429022,.001
latent,hicksian,1,1,-2.516906939947545,-.76623464,-.76765305,-1.9995577,5.6935396,-4.1396813,-1.2844684,-.66873419,1,0,-62.879585,-.31626016,154,.2429022,.001
latent,marshallian,2,1,.9982217994086069,.3950913,.39031467,.76802546,2.4744508,.28549254,.39895147,1.1568593,0,0,.16872133,20.951818,154,.2429022,.001
latent,hicksian,2,1,1.093151573723453,.71380949,.71037209,.99272978,2.1099985,.40368414,.61005914,1.2900201,0,0,.18606707,17.264347,154,.2429022,.001
latent,marshallian,3,1,.7988687161829203,.48961675,.51003754,.71067023,1.4232738,.22723643,.48628807,1.167137,0,0,.10074089,14.903167,154,.2429022,.001
