margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,1.498666794198607,1.2600157,1.2600157,1.4986668,.42273575,1.1995742,1.3569094,1.9048655,0,0,1.171911,3.2499654,84,.13249211,.001
latent,expenditure,2,0,.7593758337815435,.68330896,.68330896,.75937581,.11475375,.63777071,.78816473,.85240525,0,0,.30472735,.87318003,84,.13249211,.001
latent,expenditure,3,0,.8156551088526989,.85171157,.85171157,.81565511,.25763223,.62158245,.89648318,.9511261,.023809524,0,-.95253712,.96201348,84,.13249211,.001
latent,expenditure,4,0,-.4163284011101601,-.028544296,-.028544296,-.4163284,2.7277493,-1.449,.40214014,.76210809,.32142857,.023809524,-17.970314,.88929093,84,.13249211,.001
latent,expenditure,5,0,1.660123866610342,1.1322278,1.1322278,1.6601238,1.3318293,1.1136777,1.2549559,2.3275595,0,0,1.1009083,9.9495192,84,.13249211,.001
latent,marshallian,1,1,-2.053969229899163,-1.5570607,-1.5570607,-2.0539691,.86656737,-2.9113553,-1.740164,-1.4469333,1,0,-5.838696,-1.3938546,84,.13249211,.001
latent,hicksian,1,1,-1.870574707938363,-1.3162968,-1.3219694,-1.8801562,.92017299,-2.8191805,-1.5572487,-1.1680069,1,0,-5.7755303,-1.0753108,84,.13249211,.001
latent,marshallian,2,1,.3562155216794658,.4721989,.46797043,.34754539,.1754944,.21562463,.31377029,.57260686,0,0,.18804373,1.0758381,84,.13249211,.001
latent,hicksian,2,1,.457418099861339,.56528455,.56119812,.44909009,.18201745,.28249177,.43101683,.69393319,0,0,.21473499,1.1486423,84,.13249211,.001
latent,marshallian,3,1,.506874103480512,.41286144,.41428253,.51170677,.68600112,.1392512,.293697,1.0010279,0,0,.10576256,5.0983572,84,.13249211,.001
latent,hicksian,3,1,.6174204754852786,.54792678,.54792678,.61742049,.66386497,.19442467,.44736537,1.1017646,0,0,.14195162,5.0466113,84,.13249211,.001
latent,marshallian,4,1,-1.376250418661121,-.96860391,-.96860391,-1.3762504,2.593925,-2.5355525,-.5464139,-.21486676,1,0,-16.448269,-.11767427,84,.13249211,.001
latent,hicksian,4,1,-1.432045916951792,-.97056693,-.97086936,-1.4491731,2.9751246,-2.6103153,-.48278069,-.097193666,1,.035714287,-19.955727,-.010495026,84,.13249211,.001
latent,marshallian,5,1,-.1006789924881215,-.023014138,-.023014138,-.100679,.27895761,-.15304273,-.033996433,-.011147025,1,.61904764,-2.4212167,-.0072975853,84,.13249211,.001
latent,hicksian,5,1,.1293154647525133,.15986848,.15878044,.1276405,.068314351,.038407862,.13320364,.21747223,.011904762,.16666667,-.0033274882,.26833805,84,.13249211,.001
latent,marshallian,1,2,.606032448067899,.33766496,.33764356,.58517164,.50077379,.25260392,.43033868,1.123028,0,0,.19926916,2.7233803,84,.13249211,.001
latent,hicksian,1,2,.9813028993321465,.4997336,.4997336,.98130292,.66187388,.47097191,.75302178,1.6985826,0,0,.35517091,3.8580441,84,.13249211,.001
latent,marshallian,2,2,-1.514832692537014,-1.691591,-1.691591,-1.5148327,.25966042,-1.8089772,-1.4454249,-1.3003968,1,0,-2.5537851,-1.253446,84,.13249211,.001
latent,hicksian,2,2,-1.321759961938665,-1.5498906,-1.5430183,-1.3071915,.33089751,-1.7194453,-1.2532762,-1.0085472,1,0,-2.530941,-.90733171,84,.13249211,.001
latent,marshallian,3,2,.6386884160476681,.50672477,.50672477,.63868845,.88859892,.18272139,.36312747,1.2870444,0,0,.13750033,6.9389009,84,.13249211,.001
latent,hicksian,3,2,.8410040234700918,.65383303,.65383303,.84100401,.80626959,.43146735,.60422665,1.3824302,0,0,.30029443,6.5793953,84,.13249211,.001
latent,marshallian,4,2,1.143510887321628,.77294344,.69326937,1.0079083,2.0425103,.1757616,.46054637,2.0360801,0,0,.091598399,12.398521,84,.13249211,.001
latent,hicksian,4,2,1.079839399017506,.78078967,.7119714,.9624598,1.5723566,.32139966,.57157165,1.6968071,0,0,.23051466,10.822347,84,.13249211,.001
latent,marshallian,5,2,-.6810061917513031,-.11948136,-.12054806,-.68814355,1.3956336,-1.4673575,-.26697874,-.10543405,1,0,-9.4010782,-.088605613,84,.13249211,.001
latent,hicksian,5,2,-.2498905386215841,.055881038,.055881038,-.24989054,.97297728,-.6981917,.021211419,.14737944,.41666666,.20238096,-6.4408174,.2375996,84,.13249211,.001
latent,marshallian,1,3,.541162052533643,.30641514,.30719787,.5252654,.43374768,.23857908,.41635853,.96449846,0,0,.18473959,2.2011087,84,.13249211,.001
latent,hicksian,1,3,.9366259141943503,.5029251,.5029251,.9366259,.6577487,.45792261,.68064195,1.7055171,0,0,.27812612,3.7847664,84,.13249211,.001
latent,marshallian,2,3,.4239440214701363,.5375604,.53773504,.42651197,.17608108,.27942222,.3672922,.62262613,0,0,.21080334,1.0943185,84,.13249211,.001
latent,hicksian,2,3,.6208949816043634,.65659142,.65339637,.61496955,.17872654,.43523437,.57853073,.91662711,0,0,.22174869,1.1127055,84,.13249211,.001
latent,marshallian,3,3,-3.48678562156943,-3.0072021,-3.0088336,-3.5104945,3.4295468,-6.0634804,-2.4066467,-1.6834781,1,0,-27.060785,-1.5189487,84,.13249211,.001
latent,hicksian,3,3,-3.260705879187747,-2.8249815,-2.8249815,-3.2607059,3.5194333,-6.0229445,-2.1984773,-1.2367263,1,0,-27.072903,-.93258047,84,.13249211,.001
latent,marshallian,4,3,-3.408785422394235,-2.5655651,-2.5682271,-3.4467263,6.4087319,-6.3775582,-1.4307384,-.53447318,1,0,-45.663788,-.2596859,84,.13249211,.001
latent,hicksian,4,3,-3.529193053470759,-2.5768325,-2.5797849,-3.5714796,7.1557064,-6.5263553,-1.3421088,-.2655167,1,.035714287,-48.388416,-.01940685,84,.13249211,.001
latent,marshallian,5,3,2.717497981606151,.56588233,.56588233,2.7174981,5.4535642,.49691632,1.0803709,5.5010819,0,0,.44973946,37.699974,84,.13249211,.001
latent,hicksian,5,3,3.207986376952761,.73213613,.73208416,2.756901,5.9883661,.60372686,1.3756275,6.5258679,0,0,.49944228,40.648075,84,.13249211,.001
latent,marshallian,1,4,-.4566826023652262,-.21414758,-.2143659,-.46040758,.4261778,-.8907094,-.30217311,-.1748381,1,0,-2.2880161,-.1475096,84,.13249211,.001
latent,hicksian,1,4,-.3309337604630987,-.17740689,-.17738979,-.31610602,.33669904,-.74359244,-.20517306,-.075059429,1,.023809524,-1.8720586,-.0056826882,84,.13249211,.001
latent,marshallian,2,4,.1128901672893893,.13488762,.13494074,.11359132,.05355604,.067583255,.097043984,.18641001,0,0,.054694477,.3585161,84,.13249211,.001
latent,hicksian,2,4,.1722022351155644,.16026497,.16026497,.17220223,.078006603,.092720263,.1569315,.28994405,0,0,.057373937,.39795339,84,.13249211,.001
latent,marshallian,3,4,-.6733189321408404,-.5522545,-.5522545,-.67331892,.90129071,-1.3769518,-.38822728,-.19131325,1,0,-6.7254066,-.14579727,84,.13249211,.001
latent,hicksian,3,4,-.6112080704525762,-.52563983,-.5263896,-.61837524,.93892002,-1.3459227,-.31713378,-.097727381,1,.047619049,-6.935523,-.016335059,84,.13249211,.001
latent,marshallian,4,4,-2.002274079225672,-1.7170455,-1.7178218,-2.0138121,1.9639748,-2.7817969,-1.3902934,-1.1340227,1,0,-14.275532,-1.0446178,84,.13249211,.001
latent,hicksian,4,4,-1.958808314478291,-1.6772031,-1.6772031,-1.9588083,1.993481,-2.8027451,-1.3671659,-1.0222608,1,0,-14.309232,-.76509112,84,.13249211,.001
latent,marshallian,5,4,1.332626251888748,.27534914,.27534914,1.3326262,2.6108654,.23945294,.5209884,2.7359698,0,0,.21111277,17.974663,84,.13249211,.001
latent,hicksian,5,4,1.487164372470339,.31120461,.31268468,1.2843593,2.8452859,.2695393,.6063081,3.0237148,0,0,.23444967,19.369896,84,.13249211,.001
latent,marshallian,1,5,-.1352094666563778,-.13288754,-.13288754,-.13520947,.1136032,-.32680443,-.10454695,-.024528699,1,.27380952,-.42850384,-.0040147649,84,.13249211,.001
latent,hicksian,1,5,.2835796507543464,.49104503,.49104503,.28357965,.2014181,.033400688,.24196704,.54459417,.011904762,.15476191,-.00036405586,.60964894,84,.13249211,.001
latent,marshallian,2,5,-.1375928495998751,-.13636492,-.13636492,-.13759285,.044143841,-.19390108,-.13023725,-.084833123,1,0,-.2796149,-.06402339,84,.13249211,.001
latent,hicksian,2,5,.071244647441044,.16774966,.16774966,.07124465,.16716677,-.12537491,.041474391,.31583935,.41666666,.20238096,-.23861818,.4106876,84,.13249211,.001
latent,marshallian,3,5,2.198886926995061,1.7881588,1.7881588,2.1988869,3.0149057,.60166949,1.2295674,4.5307775,0,0,.45985824,22.701471,84,.13249211,.001
latent,hicksian,3,5,2.413489452350623,2.1488614,2.1488614,2.4134893,2.9958293,.69106656,1.4614,4.9090405,0,0,.47556847,22.38242,84,.13249211,.001
latent,marshallian,4,5,6.060127446309669,4.5068154,4.5068154,6.0601273,11.658764,.9358598,2.5338249,11.045208,0,0,.44108862,81.959381,84,.13249211,.001
latent,hicksian,4,5,5.840207898123445,4.4438128,4.4438128,5.8402081,10.552312,.9569782,2.6647091,10.248253,0,0,.56876367,71.831032,84,.13249211,.001
latent,marshallian,5,5,-4.928562921092089,-1.8309637,-1.8379073,-4.9679704,7.748704,-9.0150232,-2.5551205,-1.7265278,1,0,-53.801861,-1.6577315,84,.13249211,.001
latent,hicksian,5,5,-4.574575680780302,-1.2590903,-1.2590903,-4.5745759,7.8498797,-8.9077587,-2.246495,-1.1115109,1,0,-53.732708,-.9802388,84,.13249211,.001
