model,order,elasticity_type,demand_good,shock_good,reference_share,elasticity
easi,1,expenditure,1,0,.2505079665403191,1.044673
easi,1,expenditure,2,0,.1752390706283748,.90675724
easi,1,expenditure,3,0,.169326392999634,1.0017996
easi,1,expenditure,4,0,.0736358327872702,.73336387
easi,1,expenditure,5,0,.3312907370444018,1.073887
easi,1,marshallian,1,1,.2505079665403191,-1.2357352
easi,1,hicksian,1,1,.2505079665403191,-.97403628
easi,1,marshallian,2,1,.1752390706283748,.16981773
easi,1,hicksian,2,1,.1752390706283748,.39696762
easi,1,marshallian,3,1,.169326392999634,.13059381
easi,1,hicksian,3,1,.169326392999634,.38155261
easi,1,marshallian,4,1,.0736358327872702,-.40444225
easi,1,hicksian,4,1,.0736358327872702,-.22072877
easi,1,marshallian,5,1,.3312907370444018,.11157361
easi,1,hicksian,5,1,.3312907370444018,.38059086
easi,1,marshallian,1,2,.2505079665403191,.094625197
easi,1,hicksian,1,2,.2505079665403191,.27769271
easi,1,marshallian,2,2,.1752390706283748,-1.0984056
easi,1,hicksian,2,2,.1752390706283748,-.93950623
easi,1,marshallian,3,2,.169326392999634,.070022397
easi,1,hicksian,3,2,.169326392999634,.24557683
easi,1,marshallian,4,2,.0736358327872702,.10728247
easi,1,hicksian,4,2,.0736358327872702,.23579647
easi,1,marshallian,5,2,.3312907370444018,-.079133943
easi,1,hicksian,5,2,.3312907370444018,.10905302
easi,1,marshallian,1,3,.2505079665403191,.081012972
easi,1,hicksian,1,3,.2505079665403191,.25790367
easi,1,marshallian,2,3,.1752390706283748,.08375299
easi,1,hicksian,2,3,.1752390706283748,.23729092
easi,1,marshallian,3,3,.169326392999634,-3.0491114
easi,1,hicksian,3,3,.169326392999634,-2.8794804
easi,1,marshallian,4,3,.0736358327872702,.10701842
easi,1,hicksian,4,3,.0736358327872702,.23119627
easi,1,marshallian,5,3,.3312907370444018,.91797632
easi,1,hicksian,5,3,.3312907370444018,1.0998137
easi,1,marshallian,1,4,.2505079665403191,-.14180772
easi,1,hicksian,1,4,.2505079665403191,-.064882353
easi,1,marshallian,2,4,.1752390706283748,.03231236
easi,1,hicksian,2,4,.1752390706283748,.099082179
easi,1,marshallian,3,4,.169326392999634,.026773153
easi,1,hicksian,3,4,.169326392999634,.1005415
easi,1,marshallian,4,4,.0736358327872702,-1.2021673
easi,1,hicksian,4,4,.0736358327872702,-1.1481655
easi,1,marshallian,5,4,.3312907370444018,.12138864
easi,1,hicksian,5,4,.3312907370444018,.2004652
easi,1,marshallian,1,5,.2505079665403191,.15723175
easi,1,hicksian,1,5,.2505079665403191,.50332224
easi,1,marshallian,2,5,.1752390706283748,-.094234735
easi,1,hicksian,2,5,.1752390706283748,.20616554
easi,1,marshallian,3,5,.169326392999634,1.8199223
easi,1,hicksian,3,5,.169326392999634,2.1518092
easi,1,marshallian,4,5,.0736358327872702,.65894479
easi,1,hicksian,4,5,.0736358327872702,.90190142
easi,1,marshallian,5,5,.3312907370444018,-2.1456916
easi,1,hicksian,5,5,.3312907370444018,-1.7899228
