model,order,elasticity_type,demand_good,shock_good,reference_share,elasticity
quaids,2,expenditure,1,0,.0292426076556439,2.4561903
quaids,2,expenditure,2,0,.2394290178539817,.60202986
quaids,2,expenditure,3,0,.1704676387258105,.62750787
quaids,2,expenditure,4,0,.2272029525657874,.67884427
quaids,2,expenditure,5,0,.3336577831987766,1.5669527
quaids,2,marshallian,1,1,.0292426076556439,-4.190568
quaids,2,hicksian,1,1,.0292426076556439,-4.1187425
quaids,2,marshallian,2,1,.2394290178539817,.39654323
quaids,2,hicksian,2,1,.2394290178539817,.41414818
quaids,2,marshallian,3,1,.1704676387258105,.40762922
quaids,2,hicksian,3,1,.1704676387258105,.4259792
quaids,2,marshallian,4,1,.2272029525657874,-.0870791
quaids,2,hicksian,4,1,.2272029525657874,-.06722793
quaids,2,marshallian,5,1,.3336577831987766,-.15388942
quaids,2,hicksian,5,1,.3336577831987766,-.10806764
quaids,2,marshallian,1,2,.0292426076556439,2.8028281
quaids,2,hicksian,1,2,.0292426076556439,3.3909113
quaids,2,marshallian,2,2,.2394290178539817,-1.5982471
quaids,2,hicksian,2,2,.2394290178539817,-1.4541036
quaids,2,marshallian,3,2,.1704676387258105,.20671873
quaids,2,hicksian,3,2,.1704676387258105,.35696232
quaids,2,marshallian,4,2,.2272029525657874,.013167304
quaids,2,hicksian,4,2,.2272029525657874,.17570232
quaids,2,marshallian,5,2,.3336577831987766,.069068372
quaids,2,hicksian,5,2,.3336577831987766,.44424233
quaids,2,marshallian,1,3,.0292426076556439,2.0645134
quaids,2,hicksian,1,3,.0292426076556439,2.4832144
quaids,2,marshallian,2,3,.2394290178539817,.15152188
quaids,2,hicksian,2,3,.2394290178539817,.25414848
quaids,2,marshallian,3,3,.1704676387258105,-2.6754732
quaids,2,hicksian,3,3,.1704676387258105,-2.5685034
quaids,2,marshallian,4,3,.2272029525657874,-.28381178
quaids,2,hicksian,4,3,.2272029525657874,-.16809081
quaids,2,marshallian,5,3,.3336577831987766,.75959963
quaids,2,hicksian,5,3,.3336577831987766,1.0267143
quaids,2,marshallian,1,4,.0292426076556439,-1.0803869
quaids,2,hicksian,1,4,.0292426076556439,-.52233315
quaids,2,marshallian,2,4,.2394290178539817,.0299474
quaids,2,hicksian,2,4,.2394290178539817,.16673036
quaids,2,marshallian,3,4,.1704676387258105,-.36660668
quaids,2,hicksian,3,4,.1704676387258105,-.22403505
quaids,2,marshallian,4,4,.2272029525657874,-1.282813
quaids,2,hicksian,4,4,.2272029525657874,-1.1285775
quaids,2,marshallian,5,4,.3336577831987766,.4530797
quaids,2,hicksian,5,4,.3336577831987766,.80909598
quaids,2,marshallian,1,5,.0292426076556439,-2.0525775
quaids,2,hicksian,1,5,.0292426076556439,-1.2330505
quaids,2,marshallian,2,5,.2394290178539817,.41820467
quaids,2,hicksian,2,5,.2394290178539817,.61907661
quaids,2,marshallian,3,5,.1704676387258105,1.8002241
quaids,2,hicksian,3,5,.1704676387258105,2.0095968
quaids,2,marshallian,4,5,.2272029525657874,.96169227
quaids,2,hicksian,4,5,.2272029525657874,1.1881939
quaids,2,marshallian,5,5,.3336577831987766,-2.6948109
quaids,2,hicksian,5,5,.3336577831987766,-2.1719849
