数据库：分省年度数据 
时间：2000年-2025年 
数据时间	,北京市	,天津市	,河北省	,山西省	,内蒙古自治区	,辽宁省	,吉林省	,黑龙江省	,上海市	,江苏省	,浙江省	,安徽省	,福建省	,江西省	,山东省	,河南省	,湖北省	,湖南省	,广东省	,广西壮族自治区	,海南省	,重庆市	,四川省	,贵州省	,云南省	,西藏自治区	,陕西省	,甘肃省	,青海省	,宁夏回族自治区	,新疆维吾尔自治区	,
2000年	,3.27	,2.78	,65.29	,7.32	,21.84	,25.84	,33.54	,27.07	,0.05	,5.12	,0.92	,31.88	,2.12	,5.24	,69.18	,83.00	,13.80	,13.49	,5.17	,9.79	,2.05	,4.40	,23.83	,6.99	,12.77	,8.48	,7.86	,7.85	,6.35	,3.31	,22.24	,
2001年	,4.01	,3.53	,68.50	,6.58	,23.21	,27.26	,35.30	,23.62	,0.03	,5.02	,1.00	,28.70	,2.21	,5.34	,72.96	,89.23	,13.43	,13.15	,5.21	,10.43	,2.37	,4.71	,22.30	,7.58	,13.82	,8.94	,8.17	,8.72	,7.00	,2.51	,23.99	,
2002年	,4.92	,4.56	,71.23	,6.72	,19.49	,29.66	,37.00	,28.24	,0.06	,5.34	,1.23	,35.32	,2.33	,6.00	,76.15	,89.20	,14.65	,15.92	,5.02	,11.59	,2.57	,5.03	,23.64	,8.97	,15.68	,9.40	,9.39	,9.49	,7.03	,2.91	,25.90	,
2003年	,5.18	,5.41	,78.59	,6.67	,24.03	,33.87	,40.25	,29.93	,0.06	,5.58	,1.38	,34.85	,2.48	,6.96	,79.65	,93.00	,14.89	,16.08	,5.81	,12.93	,2.71	,5.33	,25.60	,10.13	,17.58	,10.77	,10.47	,10.65	,7.09	,3.74	,28.77	,
2004年	,5.09	,5.58	,82.91	,6.70	,28.72	,37.29	,48.97	,31.42	,0.01	,5.29	,1.47	,35.56	,2.83	,8.71	,79.59	,98.33	,15.87	,16.85	,6.33	,14.60	,2.85	,5.73	,27.00	,11.38	,19.81	,12.19	,11.16	,11.27	,7.30	,4.66	,30.42	,
2005年	,4.38	,6.24	,86.86	,6.93	,33.60	,42.25	,51.00	,31.11	,0.07	,5.71	,1.38	,32.98	,2.92	,10.19	,80.72	,100.78	,16.32	,18.18	,7.21	,16.87	,2.96	,5.83	,28.50	,12.50	,21.73	,12.76	,11.87	,12.81	,7.44	,5.20	,34.22	,
2006年	,3.05	,3.89	,54.06	,3.73	,36.43	,35.30	,45.02	,31.00	,0.03	,2.96	,0.99	,17.27	,1.99	,7.11	,65.49	,82.05	,14.85	,13.75	,5.05	,10.89	,1.96	,3.86	,26.44	,9.10	,22.93	,12.90	,7.12	,13.92	,8.80	,5.56	,29.18	,
2007年	,2.78	,3.89	,57.74	,3.87	,39.40	,38.23	,47.56	,33.19	,0.03	,2.84	,1.05	,17.09	,2.06	,7.25	,69.24	,82.11	,15.74	,14.60	,5.33	,11.65	,2.02	,4.18	,28.60	,9.47	,24.77	,14.19	,7.59	,14.50	,14.52	,6.50	,31.44	,
2008年	,2.13	,3.68	,56.83	,4.23	,43.09	,37.70	,39.97	,32.60	,0.00	,2.97	,0.98	,17.11	,2.14	,10.58	,70.67	,84.10	,16.09	,14.61	,5.76	,12.45	,2.19	,5.19	,28.68	,10.22	,26.12	,14.19	,7.59	,14.77	,7.28	,6.83	,32.42	,
2009年	,2.09	,3.55	,55.26	,4.84	,47.40	,40.20	,41.82	,36.80	,0.01	,3.26	,1.04	,17.54	,2.17	,10.91	,69.63	,83.97	,17.03	,15.74	,6.06	,13.36	,2.28	,5.93	,28.91	,11.40	,27.99	,14.22	,7.80	,15.07	,8.10	,7.28	,33.88	,
2010年	,2.04	,3.10	,58.08	,4.92	,49.71	,41.57	,43.24	,39.04	,0.01	,3.48	,1.13	,18.32	,2.25	,11.16	,68.66	,83.05	,17.69	,16.27	,6.27	,13.70	,2.25	,6.27	,29.41	,11.99	,29.89	,14.77	,7.30	,16.08	,8.46	,7.49	,35.47	,
2011年	,2.10	,3.08	,54.46	,4.50	,49.73	,42.00	,43.40	,39.34	,	,3.58	,1.15	,17.82	,2.35	,11.70	,66.23	,82.00	,18.17	,16.20	,6.56	,14.27	,2.35	,6.65	,28.93	,12.00	,30.69	,14.77	,7.39	,16.14	,8.70	,7.48	,33.76	,
2012年	,2.17	,3.26	,55.30	,4.89	,51.17	,43.20	,44.96	,39.69	,0.01	,3.47	,1.15	,18.13	,2.45	,12.10	,66.96	,80.44	,18.94	,16.80	,6.68	,13.86	,2.51	,7.05	,29.28	,13.04	,31.86	,15.06	,7.50	,16.72	,9.56	,7.91	,36.16	,
2013年	,2.05	,3.28	,52.30	,5.20	,51.79	,43.24	,45.05	,39.73	,0.00	,3.19	,1.13	,18.15	,2.64	,12.69	,67.90	,80.56	,20.17	,18.19	,6.97	,14.33	,2.62	,7.62	,31.09	,14.13	,31.80	,15.94	,7.52	,17.16	,10.28	,8.67	,37.82	,
