Food group,2024,BS 2035,BS 2050,HDS (B1) 2035,HDS (B1) 2050,HDS (B2) 2035,HDS (B2) 2050,HDS (B3) 2035,HDS (B3) 2050
Rice,111.13,103.10,96.59,87.31,65.20,86.15,63.74,88.56,66.76
Wheat,64.62,59.84,55.77,50.68,37.65,50.01,36.80,51.40,38.55
Edible oils,22.18,23.02,24.26,17.92,13.42,17.74,13.14,18.11,13.73
Fruits,116.31,121.02,125.14,115.54,112.17,116.31,113.43,114.71,110.83
Vegetables,144.97,147.87,151.41,152.82,163.68,152.79,163.50,152.85,163.87
Pork,31.56,34.46,38.24,20.32,10.97,20.21,10.83,20.43,11.11
Beef,6.78,7.84,9.15,4.51,2.48,4.53,2.47,4.49,2.48
Mutton,3.52,4.09,4.88,2.35,1.32,2.36,1.32,2.35,1.32
Poultry,17.00,19.64,23.33,22.64,32.64,22.68,32.65,22.60,32.63
Eggs,16.95,17.55,18.75,14.86,12.66,14.88,12.66,14.85,12.66
Dairy products,35.49,40.52,47.32,56.09,102.05,55.71,100.20,56.50,104.03
Aquatic products,22.75,25.29,28.74,34.64,60.43,35.01,61.43,34.24,59.36
