diet_pathway,source_scenario,year,world_commodity,source_commodities,baseline_kg_per_capita,pathway_kg_per_capita,preference_multiplier_vs_baseline,mapping_note
BASELINE,BS,2023,BFV,CATM,6.56657231834401,6.56657231834401,1.0,bovine meat; mutton excluded
BASELINE,BS,2024,BFV,CATM,6.776990371232993,6.776990371232993,1.0,bovine meat; mutton excluded
BASELINE,BS,2025,BFV,CATM,6.875307463334945,6.875307463334945,1.0,bovine meat; mutton excluded
BASELINE,BS,2026,BFV,CATM,6.965222187737043,6.965222187737043,1.0,bovine meat; mutton excluded
BASELINE,BS,2027,BFV,CATM,7.060108140458184,7.060108140458184,1.0,bovine meat; mutton excluded
BASELINE,BS,2028,BFV,CATM,7.154646134027522,7.154646134027522,1.0,bovine meat; mutton excluded
BASELINE,BS,2029,BFV,CATM,7.250262481915533,7.250262481915533,1.0,bovine meat; mutton excluded
BASELINE,BS,2030,BFV,CATM,7.345899314229409,7.345899314229409,1.0,bovine meat; mutton excluded
BASELINE,BS,2031,BFV,CATM,7.437265724809698,7.437265724809698,1.0,bovine meat; mutton excluded
BASELINE,BS,2032,BFV,CATM,7.534516133015776,7.534516133015776,1.0,bovine meat; mutton excluded
BASELINE,BS,2033,BFV,CATM,7.633598991250766,7.633598991250766,1.0,bovine meat; mutton excluded
BASELINE,BS,2034,BFV,CATM,7.734727189308881,7.734727189308881,1.0,bovine meat; mutton excluded
BASELINE,BS,2035,BFV,CATM,7.838325743700063,7.838325743700063,1.0,bovine meat; mutton excluded
BASELINE,BS,2036,BFV,CATM,7.936238536443523,7.936238536443523,1.0,bovine meat; mutton excluded
BASELINE,BS,2037,BFV,CATM,8.036406405878463,8.036406405878463,1.0,bovine meat; mutton excluded
BASELINE,BS,2038,BFV,CATM,8.13468459390377,8.13468459390377,1.0,bovine meat; mutton excluded
BASELINE,BS,2039,BFV,CATM,8.23097289030608,8.23097289030608,1.0,bovine meat; mutton excluded
BASELINE,BS,2040,BFV,CATM,8.32517260707462,8.32517260707462,1.0,bovine meat; mutton excluded
BASELINE,BS,2041,BFV,CATM,8.41453230843421,8.41453230843421,1.0,bovine meat; mutton excluded
BASELINE,BS,2042,BFV,CATM,8.505297715601273,8.505297715601273,1.0,bovine meat; mutton excluded
BASELINE,BS,2043,BFV,CATM,8.593900644467404,8.593900644467404,1.0,bovine meat; mutton excluded
BASELINE,BS,2044,BFV,CATM,8.68025171374678,8.68025171374678,1.0,bovine meat; mutton excluded
BASELINE,BS,2045,BFV,CATM,8.764263491134045,8.764263491134045,1.0,bovine meat; mutton excluded
BASELINE,BS,2046,BFV,CATM,8.845238437073553,8.845238437073553,1.0,bovine meat; mutton excluded
BASELINE,BS,2047,BFV,CATM,8.92473933408745,8.92473933408745,1.0,bovine meat; mutton excluded
BASELINE,BS,2048,BFV,CATM,9.001709094463676,9.001709094463676,1.0,bovine meat; mutton excluded
BASELINE,BS,2049,BFV,CATM,9.07606954578101,9.07606954578101,1.0,bovine meat; mutton excluded
BASELINE,BS,2050,BFV,CATM,9.147745150138158,9.147745150138158,1.0,bovine meat; mutton excluded
BASELINE,BS,2023,BUT,MILK,37.05427511403377,37.05427511403377,1.0,common dairy-food multiplier
BASELINE,BS,2024,BUT,MILK,35.49446339894381,35.49446339894381,1.0,common dairy-food multiplier
BASELINE,BS,2025,BUT,MILK,35.924228811772124,35.924228811772124,1.0,common dairy-food multiplier
BASELINE,BS,2026,BUT,MILK,36.34660570111934,36.34660570111934,1.0,common dairy-food multiplier
BASELINE,BS,2027,BUT,MILK,36.78983409802401,36.78983409802401,1.0,common dairy-food multiplier
BASELINE,BS,2028,BUT,MILK,37.2307397738459,37.2307397738459,1.0,common dairy-food multiplier
BASELINE,BS,2029,BUT,MILK,37.67563260849735,37.67563260849735,1.0,common dairy-food multiplier
BASELINE,BS,2030,BUT,MILK,38.12050271847346,38.12050271847346,1.0,common dairy-food multiplier
