metric_id,domain,label,value,unit,scope
cgs_price_prk,world_market,Pigmeat world price,-46.23490261638384,% vs same-SSP baseline,"SSP2, 2050"
cgs_price_ric,world_market,Rice world price,-14.601388061614015,% vs same-SSP baseline,"SSP2, 2050"
cgs_price_bfv,world_market,Bovine-meat world price,-12.07059706564808,% vs same-SSP baseline,"SSP2, 2050"
cgs_price_plm,world_market,Poultry-meat world price,8.375080149439729,% vs same-SSP baseline,"SSP2, 2050"
cgs_price_fmk,world_market,Fluid-milk world price,18.647903559933333,% vs same-SSP baseline,"SSP2, 2050"
cgs_price_wdm,world_market,Whole-milk-powder world price,22.57344059910631,% vs same-SSP baseline,"SSP2, 2050"
china_cgs_net_import_prk,china,China Pigmeat net-import change,-32.33906562419244,Mt,"SSP2, 2050"
china_cgs_net_import_ric,china,China Rice net-import change,-46.648259181356025,Mt,"SSP2, 2050"
china_cgs_net_import_fmk,china,China Fluid milk net-import change,48.74046416866132,Mt,"SSP2, 2050"
world_cgs_ghg,environment,World farm-gate GHG change,-254.54279698304435,Mt CO2e,"SSP2, 2050"
china_cgs_ghg,environment,China farm-gate GHG change,-47.30313483570024,Mt CO2e,"SSP2, 2050"
ex_china_cgs_ghg,environment,Outside-China farm-gate GHG change,-207.23966214734412,Mt CO2e,"SSP2, 2050"
world_cgs_primary_production,production,World non-overlapping primary-basket production change,-70.9664091845425,Mt,"SSP2, 2050"
cgs_price_sensitivity_range_prk,sensitivity,PRK CGS price-effect sensitivity range,25.046505776665025,percentage-point range,"SSP2, 2050; low/central/high/CES"
cgs_price_sensitivity_range_ric,sensitivity,RIC CGS price-effect sensitivity range,10.749356207282577,percentage-point range,"SSP2, 2050; low/central/high/CES"
cgs_price_sensitivity_range_plm,sensitivity,PLM CGS price-effect sensitivity range,19.21738477504247,percentage-point range,"SSP2, 2050; low/central/high/CES"
cgs_price_sensitivity_range_fmk,sensitivity,FMK CGS price-effect sensitivity range,5.534654242560233,percentage-point range,"SSP2, 2050; low/central/high/CES"
cgs_price_sensitivity_range_wdm,sensitivity,WDM CGS price-effect sensitivity range,3.533439347088919,percentage-point range,"SSP2, 2050; low/central/high/CES"
