scenario,base_ssp,diet_pathway,year,population_million,food_demand_mt,energy_kcal,protein_g,fat_g,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
SSP1__BASELINE,SSP1,BASELINE,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP1__BASELINE,SSP1,BASELINE,2050,9177.728638257666,3518.3446455414737,8478519139512496.0,234343006760948.22,267055624933699.62,2530.998733551361,69.95583115033007,79.72116797436698
SSP1__CGS,SSP1,CGS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP1__CGS,SSP1,CGS,2050,9177.728638257666,3431.8227242608605,8169368595526837.0,225632912139845.6,256188872037359.7,2438.7114340325197,67.35570274436992,76.47723617850936
SSP1__MTS,SSP1,MTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP1__MTS,SSP1,MTS,2050,9177.728638257666,3462.624513653343,8290874701892137.0,228969287000957.94,260845115795277.38,2474.983310791769,68.35167390503814,77.86721323234116
SSP1__PTS,SSP1,PTS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP1__PTS,SSP1,PTS,2050,9177.728638257666,3519.229486619592,8466612334804219.0,234874910383211.53,268986680794277.16,2527.4443265680884,70.11461446757777,80.29762476559617
SSP2__BASELINE,SSP2,BASELINE,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP2__BASELINE,SSP2,BASELINE,2024,8063.880833517145,2476.766235695419,6088846807501512.0,166821426649729.34,194882660284136.6,2068.702702799079,56.6780454666592,66.21192794040714
SSP2__BASELINE,SSP2,BASELINE,2025,8135.740129227402,2516.6174143389317,6181150729519728.0,169400392941680.75,197607171409890.44,2081.514313872134,57.045905869871916,66.54459239265806
SSP2__BASELINE,SSP2,BASELINE,2026,8202.03695736916,2554.065023004189,6268258344880704.0,171787965951521.16,200134111565073.0,2093.786046463774,57.38232636078984,66.85078807554304
SSP2__BASELINE,SSP2,BASELINE,2027,8269.56240594341,2592.184049145214,6356964443743727.0,174214881558635.3,202699518595474.84,2106.0776963538424,57.71781164902795,67.15484079759634
SSP2__BASELINE,SSP2,BASELINE,2028,8338.34282407324,2631.076716894603,6447455150547233.0,176688806412240.44,205312508297656.3,2118.4378070224116,58.054571740539316,67.4594502290476
SSP2__BASELINE,SSP2,BASELINE,2029,8408.40520824516,2670.7887307656165,6539812467381182.0,179213033780992.66,207976682651005.97,2130.8790415585445,58.39331013890099,67.76542238853624
SSP2__BASELINE,SSP2,BASELINE,2030,8479.777219277335,2711.3484503408718,6634092158230727.0,181789464611503.6,210693998818406.28,2143.4047716180153,58.734246764232175,68.07299501535599
SSP2__BASELINE,SSP2,BASELINE,2031,8541.342053189861,2748.2278471572863,6719983385050964.0,184141583049150.72,213215437540460.72,2155.5059227285606,59.06536521593607,68.39111231405806
SSP2__BASELINE,SSP2,BASELINE,2032,8604.037860737553,2785.848929822367,6807575463293704.0,186539980529347.66,215785104349927.94,2167.6905636788933,59.39867398057013,68.71100247128078
SSP2__BASELINE,SSP2,BASELINE,2033,8667.887696366779,2824.2293686227194,6896908357954113.0,188985767857112.84,218404129083698.8,2179.9589471816594,59.734187283346564,69.03267530709374
SSP2__BASELINE,SSP2,BASELINE,2034,8732.915153120195,2863.3871988971823,6988023080810688.0,191480077278176.62,221073664277659.75,2192.3113163087805,60.07191667946335,69.35613839980842
SSP2__BASELINE,SSP2,BASELINE,2035,8799.144375956763,2903.3409634107384,7080961895346828.0,194024074125656.66,223794898010272.53,2204.747958983287,60.41187450864131,69.68140090448175
SSP2__BASELINE,SSP2,BASELINE,2036,8855.606330843266,2939.624570262077,7165418172047212.0,196338962215313.12,226298094203818.47,2216.819710556587,60.74287235420031,70.01155601070629
SSP2__BASELINE,SSP2,BASELINE,2037,8913.097851390046,2976.6078634958135,7251482000300904.0,198697871443838.5,228847824499688.5,2228.9751896226244,61.07615321402765,70.34370670543642
SSP2__BASELINE,SSP2,BASELINE,2038,8971.638677272733,3014.3069556569717,7339190095968195.0,201101825867599.53,231445144221854.06,2241.214882725599,61.41173606136134,70.67786703733856
SSP2__BASELINE,SSP2,BASELINE,2039,9031.248984246591,3052.7383810757287,7428580127236532.0,203551877037507.84,234091136082852.7,2253.5392786420684,61.74964021233323,71.01405126000832
SSP2__BASELINE,SSP2,BASELINE,2040,9091.949394267884,3091.9191080966416,7519690741544373.0,206049104825110.56,236786910980058.28,2265.9488685205406,62.08988534044946,71.35227384438186
SSP2__BASELINE,SSP2,BASELINE,2041,9142.021375037797,3128.022356490424,7603517318522658.0,208360905274026.16,239303665201170.12,2278.6595483360725,62.44262311943504,71.71570193364322
SSP2__BASELINE,SSP2,BASELINE,2042,9193.020462047289,3164.7991675184503,7688890335600061.0,210715468623569.47,241866164452840.66,2291.4615562114673,62.79792981496732,72.08153496817323
SSP2__BASELINE,SSP2,BASELINE,2043,9244.963031960817,3202.264595929972,7775843991949688.0,213113761250002.56,244475420083300.47,2304.355582177677,63.15583052897516,72.44979446056654
SSP2__BASELINE,SSP2,BASELINE,2044,9297.86580194625,3240.434082405495,7864413350369208.0,215556774920394.16,247132469178261.6,2317.3423240532125,63.51635087135784,72.82050230074387
SSP2__BASELINE,SSP2,BASELINE,2045,9351.745837019509,3279.323464309919,7954634360744575.0,218045527522447.84,249838375275398.0,2330.4224875626305,63.87951697168968,73.19368076440422
SSP2__BASELINE,SSP2,BASELINE,2046,9394.430862409085,3315.082038810506,8037402605854453.0,220342359150457.25,252359951745230.56,2343.9718099413617,64.25910256236821,73.59648904711027
SSP2__BASELINE,SSP2,BASELINE,2047,9437.950472105107,3351.492061755672,8121662723845956.0,222680864793970.56,254926614043064.34,2357.6231742292503,64.64163621991268,74.00219800202626
SSP2__BASELINE,SSP2,BASELINE,2048,9482.317787481512,3388.5676752712675,8207446620729504.0,225061960211427.5,257539333367662.47,2371.377508036313,65.02715095483681,74.41083820639672
SSP2__BASELINE,SSP2,BASELINE,2049,9527.546188175404,3426.3233756897002,8294786984846268.0,227486584682982.47,260199105081361.34,2385.2357517094815,65.41568045224405,74.822440785606
SSP2__BASELINE,SSP2,BASELINE,2050,9573.649317210557,3464.774023169884,8383717307446913.0,229955701670814.6,262906949364892.6,2399.198858502331,65.80725908597371,75.23703742351817
SSP2__CGS,SSP2,CGS,2023,7993.414718056831,2438.833109186321,6000311539079834.0,164374376261898.03,192312107293866.22,2056.594118527788,56.3389706109717,65.91456896968096
SSP2__CGS,SSP2,CGS,2024,8063.880833517145,2476.766235695419,6088846807501512.0,166821426649729.34,194882660284136.6,2068.702702799079,56.6780454666592,66.21192794040714
