scenario,indicator,unit,y2024,y2035,y2050,pct_vs_BS_2050
BS,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
BS,co2_faostat_cons,Mt CO2e,567.9,615.8,652.1,0.00
BS,co2_pn_lca,Mt CO2e,6618,7184,7607,0.00
BS,water_green,km3,1789,1862,1935,0.00
BS,water_blue,km3,318.6,332.3,338.1,0.00
BS,water_grey,km3,318.8,335.3,345.1,0.00
BS,water_blue_prod,km3,319.5,334.3,333.5,0.00
BS,nitrogen_total,Mt N,43.93,44.38,46.21,0.00
BS,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
BS,land_diet,Mha,1018,1121,1206,0.00
A1,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
A1,co2_faostat_cons,Mt CO2e,567.9,625.9,681.1,4.44
A1,co2_pn_lca,Mt CO2e,6618,7265,7834,2.98
A1,water_green,km3,1789,1879,1985,2.58
A1,water_blue,km3,318.6,332.5,340.5,0.71
A1,water_grey,km3,318.8,338,353,2.29
A1,water_blue_prod,km3,319.5,334.3,333.5,0.00
A1,nitrogen_total,Mt N,43.93,44.55,46.81,1.30
A1,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
A1,land_diet,Mha,1018,1145,1270,5.35
A2,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
A2,co2_faostat_cons,Mt CO2e,567.9,624.1,676.4,3.72
A2,co2_pn_lca,Mt CO2e,6618,7260,7814,2.73
A2,water_green,km3,1789,1875,1976,2.11
A2,water_blue,km3,318.6,331.4,339.1,0.28
A2,water_grey,km3,318.8,337.2,351.7,1.90
A2,water_blue_prod,km3,319.5,334.3,333.5,0.00
A2,nitrogen_total,Mt N,43.93,44.46,46.69,1.04
A2,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
A2,land_diet,Mha,1018,1145,1266,5.04
A3,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
A3,co2_faostat_cons,Mt CO2e,567.9,626,681.4,4.48
A3,co2_pn_lca,Mt CO2e,6618,7257,7815,2.74
A3,water_green,km3,1789,1881,1986,2.64
A3,water_blue,km3,318.6,333.3,341,0.85
A3,water_grey,km3,318.8,338.4,353.2,2.33
A3,water_blue_prod,km3,319.5,334.3,333.5,0.00
A3,nitrogen_total,Mt N,43.93,44.59,46.8,1.28
A3,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
A3,land_diet,Mha,1018,1142,1266,4.97
A4,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
A4,co2_faostat_cons,Mt CO2e,567.9,637.1,717.4,10.00
A4,co2_pn_lca,Mt CO2e,6618,7347,8134,6.93
A4,water_green,km3,1789,1900,2053,6.10
A4,water_blue,km3,318.6,335.4,349.7,3.41
A4,water_grey,km3,318.8,341.1,363.3,5.28
A4,water_blue_prod,km3,319.5,334.3,333.5,0.00
A4,nitrogen_total,Mt N,43.93,44.91,48,3.89
A4,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
A4,land_diet,Mha,1018,1164,1337,10.91
A5,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
A5,co2_faostat_cons,Mt CO2e,567.9,615.7,649.8,-0.36
A5,co2_pn_lca,Mt CO2e,6618,7188,7562,-0.59
A5,water_green,km3,1789,1860,1928,-0.40
A5,water_blue,km3,318.6,330.1,334.3,-1.14
A5,water_grey,km3,318.8,335.2,344.5,-0.19
A5,water_blue_prod,km3,319.5,334.3,333.5,0.00
A5,nitrogen_total,Mt N,43.93,44.23,45.87,-0.73
A5,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
A5,land_diet,Mha,1018,1126,1206,0.05
A6,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,-0.00
A6,co2_faostat_cons,Mt CO2e,567.9,623.7,655,0.44
A6,co2_pn_lca,Mt CO2e,6618,7249,7609,0.02
A6,water_green,km3,1789,1876,1941,0.28
A6,water_blue,km3,318.6,332,335.4,-0.80
A6,water_grey,km3,318.8,337.5,346.2,0.33
A6,water_blue_prod,km3,319.5,334.3,333.5,0.00
A6,nitrogen_total,Mt N,43.93,44.49,46.06,-0.32
A6,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
A6,land_diet,Mha,1018,1141,1219,1.14
B1,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
B1,co2_faostat_cons,Mt CO2e,567.9,563.5,645.5,-1.02
B1,co2_pn_lca,Mt CO2e,6618,6959,7939,4.37
B1,water_green,km3,1789,1801,1925,-0.54
B1,water_blue,km3,318.6,328.2,341.8,1.10
B1,water_grey,km3,318.8,336,359.1,4.06
B1,water_blue_prod,km3,319.5,334.3,333.5,0.00
B1,nitrogen_total,Mt N,43.93,44.04,47.49,2.77
B1,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
B1,land_diet,Mha,1018,997,1155,-4.24
B2,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
B2,co2_faostat_cons,Mt CO2e,567.9,562.9,643.1,-1.38
B2,co2_pn_lca,Mt CO2e,6618,6964,7946,4.46
B2,water_green,km3,1789,1800,1921,-0.71
B2,water_blue,km3,318.6,328.1,341.4,0.97
B2,water_grey,km3,318.8,335.8,358.5,3.88
B2,water_blue_prod,km3,319.5,334.3,333.5,0.00
B2,nitrogen_total,Mt N,43.93,44.04,47.47,2.73
B2,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
B2,land_diet,Mha,1018,996.9,1153,-4.35
B3,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
B3,co2_faostat_cons,Mt CO2e,567.9,563.7,646.7,-0.84
B3,co2_pn_lca,Mt CO2e,6618,6950,7911,4.00
B3,water_green,km3,1789,1801,1925,-0.51
B3,water_blue,km3,318.6,328.2,341.8,1.10
B3,water_grey,km3,318.8,335.9,359,4.04
B3,water_blue_prod,km3,319.5,334.3,333.5,0.00
B3,nitrogen_total,Mt N,43.93,44.03,47.43,2.65
B3,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
B3,land_diet,Mha,1018,996.5,1154,-4.32
B4,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
B4,co2_faostat_cons,Mt CO2e,567.9,565.5,655.7,0.54
B4,co2_pn_lca,Mt CO2e,6618,6986,8098,6.45
B4,water_green,km3,1789,1806,1949,0.70
B4,water_blue,km3,318.6,328.7,345.3,2.12
B4,water_grey,km3,318.8,337,364.6,5.64
B4,water_blue_prod,km3,319.5,334.3,333.5,0.00
B4,nitrogen_total,Mt N,43.93,44.15,48.08,4.06
B4,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
B4,land_diet,Mha,1018,1001,1173,-2.69
B5,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
B5,co2_faostat_cons,Mt CO2e,567.9,561.4,635.4,-2.57
B5,co2_pn_lca,Mt CO2e,6618,6932,7781,2.29
B5,water_green,km3,1789,1796,1901,-1.77
B5,water_blue,km3,318.6,327.6,338.4,0.08
B5,water_grey,km3,318.8,334.9,353.7,2.48
B5,water_blue_prod,km3,319.5,334.3,333.5,0.00
B5,nitrogen_total,Mt N,43.93,43.94,46.89,1.48
B5,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
B5,land_diet,Mha,1018,993.5,1136,-5.78
B6,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
B6,co2_faostat_cons,Mt CO2e,567.9,563.6,639,-2.01
B6,co2_pn_lca,Mt CO2e,6618,6961,7841,3.08
B6,water_green,km3,1789,1802,1910,-1.30
B6,water_blue,km3,318.6,328.2,339.6,0.44
B6,water_grey,km3,318.8,336.1,355.7,3.06
B6,water_blue_prod,km3,319.5,334.3,333.5,0.00
B6,nitrogen_total,Mt N,43.93,44.05,47.12,1.98
B6,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
B6,land_diet,Mha,1018,997.3,1143,-5.20
C1,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
C1,co2_faostat_cons,Mt CO2e,567.9,571.8,612,-6.16
C1,co2_pn_lca,Mt CO2e,6618,6955,7518,-1.17
C1,water_green,km3,1789,1803,1881,-2.82
C1,water_blue,km3,318.6,327,335.4,-0.80
C1,water_grey,km3,318.8,333.2,347.9,0.82
C1,water_blue_prod,km3,319.5,334.3,333.5,0.00
C1,nitrogen_total,Mt N,43.93,43.83,46.18,-0.07
C1,nitrogen_prod,Mt N,44.15,45.08,45.38,0.00
C1,land_diet,Mha,1018,1020,1102,-8.63
C2,co2_faostat_prod,Mt CO2e,571.3,596.8,622.1,0.00
