scenario,commodity,year,production,net_import,supply_available,domestic_demand_total,food_demand_total,balance_error,balance_error_pct_of_use
BS,RICE,2023,20660.3,100.6,20760.9,20760.9,15799.6,3.63798e-12,1.75232e-14
BS,RICE,2024,20753.5,78.57,20832.1,20832.1,15650,0,0
BS,RICE,2025,20794.1,172.862,20967,20967,15482.9,7.27596e-12,3.4702e-14
BS,RICE,2026,20834.1,273.137,21107.2,21107.2,15336.2,3.63798e-12,1.72357e-14
BS,RICE,2027,20873.2,342.807,21216,21216,15192.3,0,0
BS,RICE,2028,20911.5,395.14,21306.7,21306.7,15047.7,0,0
BS,RICE,2029,20948.9,450.102,21399,21399,14901.6,3.63798e-12,1.70007e-14
BS,RICE,2030,20985.2,509.234,21494.5,21494.5,14754.5,-3.63798e-12,-1.69252e-14
BS,RICE,2031,21004.7,548.091,21552.8,21552.8,14619.7,1.09139e-11,5.06382e-14
BS,RICE,2032,21022.9,551.027,21573.9,21573.9,14482.3,-3.63798e-12,-1.68629e-14
BS,RICE,2033,21039.7,556.997,21596.7,21596.7,14343.5,0,0
BS,RICE,2034,21054.9,565.955,21620.9,21620.9,14203.2,3.63798e-12,1.68262e-14
BS,RICE,2035,21068.5,578.454,21646.9,21646.9,14061.9,7.27596e-12,3.3612e-14
BS,RICE,2036,21079.7,596.318,21676,21676,13931.4,-7.27596e-12,-3.35668e-14
BS,RICE,2037,21089,615.695,21704.7,21704.7,13799.7,-1.09139e-11,-5.02838e-14
BS,RICE,2038,21096.5,637.578,21734,21734,13667.9,7.27596e-12,3.34773e-14
BS,RICE,2039,21102.4,662.245,21764.6,21764.6,13536.4,-3.63798e-12,-1.67151e-14
BS,RICE,2040,21107,688.573,21795.5,21795.5,13404.4,3.63798e-12,1.66914e-14
BS,RICE,2041,21110.3,725.229,21835.5,21835.5,13280.5,3.63798e-12,1.66608e-14
BS,RICE,2042,21112.5,762.401,21874.9,21874.9,13155.1,1.81899e-11,8.31541e-14
BS,RICE,2043,21113.7,800.975,21914.7,21914.7,13029.1,0,0
BS,RICE,2044,21114.1,841.013,21955.1,21955.1,12902.6,-3.63798e-12,-1.65701e-14
BS,RICE,2045,21113.5,881.935,21995.5,21995.5,12775.1,0,0
BS,RICE,2046,21112.2,924.901,22037.1,22037.1,12647.8,0,0
BS,RICE,2047,21110.2,967.071,22077.3,22077.3,12518,-3.63798e-12,-1.64784e-14
BS,RICE,2048,21107.6,1008.9,22116.5,22116.5,12386.2,7.27596e-12,3.28984e-14
BS,RICE,2049,21104.3,1049.48,22153.8,22153.8,12251.4,-7.27596e-12,-3.28429e-14
BS,RICE,2050,21100.5,1088.61,22189.1,22189.1,12113.6,1.81899e-11,8.19767e-14
BS,WHEA,2023,13659,1189.4,14848.4,14848.4,9162.85,-1.81899e-12,-1.22504e-14
BS,WHEA,2024,14009.9,1106.26,15116.2,15116.2,9100,3.63798e-12,2.40668e-14
BS,WHEA,2025,14115.7,1022.88,15138.6,15138.6,9002.72,-7.27596e-12,-4.80624e-14
BS,WHEA,2026,14217.3,958.062,15175.4,15175.4,8917.07,0,0
BS,WHEA,2027,14314.7,899.708,15214.4,15214.4,8832.87,3.63798e-12,2.39113e-14
BS,WHEA,2028,14407.9,846.059,15254,15254,8748.04,1.81899e-12,1.19247e-14
BS,WHEA,2029,14496.8,797.538,15294.4,15294.4,8662.13,7.27596e-12,4.75728e-14
BS,WHEA,2030,14581.4,753.732,15335.1,15335.1,8575.32,7.27596e-12,4.74465e-14
BS,WHEA,2031,14595.7,713.172,15308.9,15308.9,8495.45,-1.81899e-12,-1.18819e-14
BS,WHEA,2032,14605,673.537,15278.6,15278.6,8413.76,3.63798e-12,2.3811e-14
BS,WHEA,2033,14608.9,637.304,15246.2,15246.2,8330.97,-3.63798e-12,-2.38615e-14
BS,WHEA,2034,14607.3,604.536,15211.8,15211.8,8246.98,7.27596e-12,4.7831e-14
BS,WHEA,2035,14599.8,575.71,15175.5,15175.5,8162.05,-7.27596e-12,-4.79454e-14
BS,WHEA,2036,14588.4,542.766,15131.2,15131.2,8083.45,-1.81899e-12,-1.20215e-14
BS,WHEA,2037,14573.5,511.441,15084.9,15084.9,8004.2,1.81899e-12,1.20583e-14
BS,WHEA,2038,14555.4,482.122,15037.5,15037.5,7924.97,0,0
BS,WHEA,2039,14534.5,454.791,14989.3,14989.3,7846.01,5.45697e-12,3.64058e-14
BS,WHEA,2040,14511,428.657,14939.7,14939.7,7766.75,-1.81899e-12,-1.21756e-14
BS,WHEA,2041,14485.3,408.544,14893.8,14893.8,7692.28,-5.45697e-12,-3.66391e-14
BS,WHEA,2042,14457.6,388.613,14846.2,14846.2,7616.95,3.63798e-12,2.45045e-14
BS,WHEA,2043,14428,369.234,14797.2,14797.2,7541.32,-1.81899e-12,-1.22928e-14
BS,WHEA,2044,14396.8,350.306,14747.1,14747.1,7465.47,1.81899e-12,1.23345e-14
BS,WHEA,2045,14364.2,331.289,14695.5,14695.5,7389.1,-3.63798e-12,-2.47557e-14
BS,WHEA,2046,14330.4,312.827,14643.2,14643.2,7312.93,1.81899e-12,1.24221e-14
BS,WHEA,2047,14295.4,293.169,14588.5,14588.5,7235.33,3.63798e-12,2.49372e-14
BS,WHEA,2048,14259.4,272.473,14531.8,14531.8,7156.61,1.81899e-12,1.25173e-14
BS,WHEA,2049,14222.5,250.123,14472.6,14472.6,7076.25,-2.91038e-11,-2.01096e-13
BS,WHEA,2050,14184.8,225.916,14410.7,14410.7,6994.19,-9.09495e-12,-6.31123e-14
BS,MAIZ,2023,28884,2712.1,31596.1,31596.1,1890,0,0
BS,MAIZ,2024,29492,1363,30855,30855,1890,0,0
BS,MAIZ,2025,29896.1,1138.52,31034.6,31034.6,1877.44,-1.09139e-11,-3.5167e-14
BS,MAIZ,2026,30301.1,918.979,31220.1,31220.1,1866.89,-1.09139e-11,-3.4958e-14
BS,MAIZ,2027,30706.7,1373.95,32080.6,32080.6,1856.63,1.09139e-11,3.40203e-14
BS,MAIZ,2028,31112.1,1279.05,32391.1,32391.1,1845.99,-3.63798e-12,-1.12314e-14
BS,MAIZ,2029,31516.8,1093.11,32609.9,32609.9,1834.95,-1.81899e-11,-5.57803e-14
BS,MAIZ,2030,31920.1,879.524,32799.7,32799.7,1823.54,0,0
BS,MAIZ,2031,31929.1,845.115,32774.2,32774.2,1813.41,5.09317e-11,1.55402e-13
BS,MAIZ,2032,31930.2,826.088,32756.3,32756.3,1802.95,0,0
BS,MAIZ,2033,31922.7,807.803,32730.5,32730.5,1792.17,0,0
BS,MAIZ,2034,31915,783.544,32698.5,32698.5,1781.05,-1.09139e-11,-3.33775e-14
BS,MAIZ,2035,31897,761.543,32658.5,32658.5,1769.68,3.63798e-12,1.11394e-14
BS,MAIZ,2036,31872,934.297,32806.3,32806.3,1759.42,-2.18279e-11,-6.65356e-14
BS,MAIZ,2037,31840.8,1105.61,32946.4,32946.4,1748.88,-7.27596e-12,-2.20842e-14
BS,MAIZ,2038,31804.1,1276.28,33080.4,33080.4,1738.06,-7.27596e-12,-2.19948e-14
BS,MAIZ,2039,31762.5,1446.69,33209.1,33209.1,1727.03,0,0
BS,MAIZ,2040,31716.5,1617.04,33333.5,33333.5,1715.66,0,0
