account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2023,Mt CO2e,186.356,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2023,Mha,28.9491,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2023,Mt N,5.14136,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2023,km3,70.4516,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2024,Mt CO2e,187.197,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2024,Mha,29.0069,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2024,Mt N,5.15163,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2024,km3,70.7694,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2025,Mt CO2e,187.563,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2025,Mha,29.0134,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2025,Mt N,5.15278,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2025,km3,70.908,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2026,Mt CO2e,187.923,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2026,Mha,29.0199,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2026,Mt N,5.15393,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2026,km3,71.0442,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2027,Mt CO2e,188.276,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2027,Mha,29.0264,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2027,Mt N,5.15508,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,RICE,2027,km3,71.1777,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,RICE,2028,Mt CO2e,188.622,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,RICE,2028,Mha,29.0329,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,RICE,2028,Mt N,5.15624,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
