scenario,indicator,coef_source,region,commodity,year,value
BS,co2_faostat,faostat_wld,ARG,RIC,2024,0.769007
BS,water_green,,ARG,RIC,2024,0.937933
BS,water_blue,,ARG,RIC,2024,0.279088
BS,water_grey,,ARG,RIC,2024,0.153048
BS,nitrogen_total,crop_nfert,ARG,RIC,2024,0.0212795
BS,land_harvested,ahv_physical,ARG,RIC,2024,0.175598
BS,land_prod,pn_land,ARG,RIC,2024,0.229163
BS,co2_faostat,faostat_wld,ARG,RIC,2030,0.88032
BS,water_green,,ARG,RIC,2030,1.0737
BS,water_blue,,ARG,RIC,2030,0.319486
BS,water_grey,,ARG,RIC,2030,0.175202
BS,nitrogen_total,crop_nfert,ARG,RIC,2030,0.0243596
BS,land_harvested,ahv_physical,ARG,RIC,2030,0.190135
BS,land_prod,pn_land,ARG,RIC,2030,0.262335
BS,co2_faostat,faostat_wld,ARG,RIC,2035,0.950048
BS,water_green,,ARG,RIC,2035,1.15874
BS,water_blue,,ARG,RIC,2035,0.344792
BS,water_grey,,ARG,RIC,2035,0.189079
BS,nitrogen_total,crop_nfert,ARG,RIC,2035,0.0262891
BS,land_harvested,ahv_physical,ARG,RIC,2035,0.199017
BS,land_prod,pn_land,ARG,RIC,2035,0.283114
BS,co2_faostat,faostat_wld,ARG,RIC,2040,1.03398
BS,water_green,,ARG,RIC,2040,1.26112
BS,water_blue,,ARG,RIC,2040,0.375253
BS,water_grey,,ARG,RIC,2040,0.205784
BS,nitrogen_total,crop_nfert,ARG,RIC,2040,0.0286117
BS,land_harvested,ahv_physical,ARG,RIC,2040,0.208992
BS,land_prod,pn_land,ARG,RIC,2040,0.308126
BS,co2_faostat,faostat_wld,ARG,RIC,2045,1.12762
BS,water_green,,ARG,RIC,2045,1.37533
BS,water_blue,,ARG,RIC,2045,0.409238
BS,water_grey,,ARG,RIC,2045,0.224421
BS,nitrogen_total,crop_nfert,ARG,RIC,2045,0.0312029
BS,land_harvested,ahv_physical,ARG,RIC,2045,0.21964
BS,land_prod,pn_land,ARG,RIC,2045,0.336031
BS,co2_faostat,faostat_wld,ARG,RIC,2050,1.2324
BS,water_green,,ARG,RIC,2050,1.50312
BS,water_blue,,ARG,RIC,2050,0.447262
BS,water_grey,,ARG,RIC,2050,0.245273
BS,nitrogen_total,crop_nfert,ARG,RIC,2050,0.0341021
BS,land_harvested,ahv_physical,ARG,RIC,2050,0.231028
BS,land_prod,pn_land,ARG,RIC,2050,0.367254
BS,co2_faostat,faostat_wld,AUS,RIC,2024,0.319705
BS,water_green,,AUS,RIC,2024,0.389935
BS,water_blue,,AUS,RIC,2024,0.116028
BS,water_grey,,AUS,RIC,2024,0.0636281
BS,nitrogen_total,crop_nfert,AUS,RIC,2024,0.00884668
