domain,metric,unit,BS,PTS,MTS,HDS,dividend_HDS_minus_PTS,MTS_realisation_pct
China diet,Dietary energy,kcal/cap/day,3035.837,3091.1,2571.503,2257.699,-833.401,62.347
China diet,Fat intake,g/cap/day,133.804,143.113,104.744,82.716,-60.397,63.527
China diet,Protein intake,g/cap/day,104.284,107.804,98.768,98.088,-9.716,93.004
China diet,Fat energy share,%,39.667,41.668,36.659,32.973,-8.695,57.608
China diet,Red meat intake,g/cap/day,142.804,156.813,80.252,40.35,-116.463,65.738
China footprint,"CO2 (paper, scenario EF)",Mt CO2e,654.02,632.595,502.223,451.246,-181.349,71.89
China footprint,"CO2 (FAOSTAT cons., fixed EF)",Mt CO2e,652.1,681.1,612.0,645.5,-35.6,194.101
China footprint,Blue water,km3,338.1,340.5,335.4,341.8,1.3,
China footprint,Reactive N,Mt N,46.21,46.81,46.18,47.49,0.68,
China footprint,Diet land (cradle),Mha,1206.0,1270.0,1102.0,1155.0,-115.0,146.087
World market,World pork price change vs BS,%,0.0,9.45,-36.326,-56.334,-65.784,69.584
World market,World beef price change vs BS,%,0.0,4.766,-25.83,-40.345,-45.111,67.825
World market,World soybean price change vs BS,%,0.0,4.475,-20.753,-34.634,-39.109,64.508
World market,World maize price change vs BS,%,0.0,3.969,-20.414,-33.305,-37.273,65.416
World market,World whole milk powder price change vs BS,%,0.0,9.835,11.167,20.444,10.609,12.557
Global net effect,Global agri CO2 (traded goods),Mt CO2e,5308.8,5373.2,5009.4,4813.6,-559.6,65.011
Global net effect,Rest-of-world agri CO2,Mt CO2e,4773.2,4833.9,4500.3,4322.6,-511.3,65.245
Global net effect,Global blue water (traded goods),km3,1244.4,1248.2,1191.6,1155.6,-92.6,61.123
Global net effect,Global reactive N (traded goods),Mt N,144.36,145.3,138.22,133.93,-11.37,62.269
Global net effect,Rest-of-world harvested area,Mha,922.22,922.77,909.87,900.58,-22.19,58.134
Global net effect,Global harvested area,Mha,1046.9,1047.6,1034.0,1024.3,-23.3,58.369
