crop,feature,feature_cn,mean_abs_shap
corn,L1_profit_margin,上年成本利润率,2.7165544421932344
corn,L1_net_profit,上年净利润,2.416985815683654
corn,L2_net_profit,前年净利润,1.049073806804526
corn,L1_price_yoy,上年售价同比,0.47728651305973374
corn,L1_s_fert,上年化肥成本份额,0.38585483592609476
corn,L2_sale_price,L2_sale_price,0.38448456917118434
corn,rp_pre_mean,成品粮零售价(1-9月),0.3781814794889245
corn,trend3_yield_main,亩产3年趋势,0.3764854444948157
rice_early_indica,L1_net_profit,上年净利润,2.1393736817608904
rice_early_indica,L1_profit_margin,上年成本利润率,1.962271222717624
rice_early_indica,L2_net_profit,前年净利润,1.029663240407434
rice_early_indica,prec_grow,生长季降水,0.49010320899917065
rice_early_indica,trend3_yield_main,亩产3年趋势,0.47918445066385473
rice_early_indica,crop_code,作物,0.46554159937138617
rice_early_indica,L1_cost_pest,L1_cost_pest,0.3792292110265159
rice_early_indica,L2_sale_price,L2_sale_price,0.27942375830924093
rice_japonica,L1_net_profit,上年净利润,1.3918038503438512
rice_japonica,L1_profit_margin,上年成本利润率,1.2259866310946523
rice_japonica,L2_net_profit,前年净利润,0.8530696400962483
rice_japonica,L1_cost_pest,L1_cost_pest,0.4443720669182519
rice_japonica,trend3_yield_main,亩产3年趋势,0.3657985898260181
rice_japonica,rp_q1_yoy,零售价一季度同比,0.35905203392880697
rice_japonica,L1_sale_price,上年出售价格,0.33703772481961064
rice_japonica,L1_cost_seed,L1_cost_seed,0.3010934685891866
rice_late_indica,L1_net_profit,上年净利润,1.725690402826595
rice_late_indica,L1_profit_margin,上年成本利润率,1.5470280618045849
rice_late_indica,L2_net_profit,前年净利润,0.9793125564264209
rice_late_indica,L1_cost_pest,L1_cost_pest,0.59355679607797
rice_late_indica,prec_grow,生长季降水,0.5484007585723392
rice_late_indica,trend3_yield_main,亩产3年趋势,0.43585853777098454
rice_late_indica,rp_q1_yoy,零售价一季度同比,0.30435158110108707
rice_late_indica,L1_sale_price,上年出售价格,0.29184918780568775
rice_mid_indica,L1_net_profit,上年净利润,1.8004319531858375
rice_mid_indica,L1_profit_margin,上年成本利润率,1.5107086575741582
rice_mid_indica,L2_net_profit,前年净利润,1.0557082307070638
rice_mid_indica,L1_cost_pest,L1_cost_pest,0.38918174017371354
rice_mid_indica,prec_grow,生长季降水,0.3482968787671693
rice_mid_indica,trend3_yield_main,亩产3年趋势,0.34626578752610043
rice_mid_indica,L1_sale_price,上年出售价格,0.31965543104572064
rice_mid_indica,rp_q1_yoy,零售价一季度同比,0.31555829798971485
soybean,L1_profit_margin,上年成本利润率,2.7733037158076512
soybean,L1_net_profit,上年净利润,2.137991783810837
soybean,L2_net_profit,前年净利润,1.0460675678469655
soybean,L1_price_yoy,上年售价同比,0.5207892069976163
soybean,L1_cost_pest,L1_cost_pest,0.4241134818608432
soybean,L2_sale_price,L2_sale_price,0.34656219206256034
soybean,in_dap_yoy,in_dap_yoy,0.29742644813918945
soybean,L1_s_fert,上年化肥成本份额,0.29720077790294236
wheat,L1_profit_margin,上年成本利润率,1.997839944286825
wheat,L1_net_profit,上年净利润,1.9087500405224056
wheat,L2_net_profit,前年净利润,0.9805141204154737
wheat,L1_s_fert,上年化肥成本份额,0.3964621283189231
wheat,L1_price_yoy,上年售价同比,0.3714595224424759
wheat,trend3_yield_main,亩产3年趋势,0.3574694166525226
wheat,L1_cost_pest,L1_cost_pest,0.3466444279138065
wheat,in_dap_yoy,in_dap_yoy,0.32955898164178093
