feature,mean_abs_shap,feature_cn
L1_net_profit,90.94090963226434,上年净利润
L1_profit_margin,38.321617723623476,上年成本利润率
L2_net_profit,32.294476399285536,前年净利润
rp_q1_mean,12.825151231749814,成品粮零售价(一季度)
trend3_yield_main,11.411752696810915,亩产3年趋势
trend,11.317771655931901,时间趋势
L1_cost_pest,11.19029242011246,L1_cost_pest
rp_pre_yoy,10.59441860930359,成品粮零售价同比
rp_pre_mean,10.24475410057463,成品粮零售价(1-9月)
trend3_net_profit,8.944790091612795,净利润3年趋势
L1_wage_day,8.615387989580416,上年劳动日工价
rp_q1_yoy,8.477773607399333,零售价一季度同比
L2_yield_main,8.308433345225225,L2_yield_main
L2_sale_price,6.345020511551151,L2_sale_price
L1_price_yoy,6.242483325180262,上年售价同比
L1_cost_labor,5.272944545449013,上年人工成本
L1_land_rent,4.945468928836256,上年流转地租金
L1_cost_fert,4.864252002710216,上年化肥费
trend3_sale_price,4.662159668083044,售价3年趋势
trend3_total_cost,4.617768302194978,成本3年趋势
L1_cost_seed,4.485838741364415,L1_cost_seed
L1_cost_yoy,4.348841266710337,上年成本同比
in_dap,4.204468348534354,磷酸二铵价格
in_dap_yoy,4.044684124650607,in_dap_yoy
in_urea_yoy,3.7423867385100165,尿素价格同比
L1_revenue,3.695334563774654,上年产值
in_ssp,3.6750726243579677,过磷酸钙价格
L1_s_fert,3.6318100024097753,上年化肥成本份额
in_machine_harvest_yoy,3.620943626747146,in_machine_harvest_yoy
L1_fert_kg,3.5648052483349493,上年化肥折纯用量
L1_yield_main,3.55493729324301,上年亩产
L1_sale_price,3.3858617455367033,上年出售价格
prec_ano_absmax,3.362554772324727,降水距平极值
L1_cost_land,3.2745305119052195,上年土地成本
L1_s_land,3.199213833239287,上年土地成本份额
temp_grow,3.1719068862190425,生长季气温
in_npk_cl_yoy,3.1014122943694575,复合肥价格同比
in_machine_tillage,2.9918615539657645,机耕费
in_npk_cl,2.8914946676926325,复合肥价格
in_urea,2.703204213912566,尿素价格
L1_s_seed,2.6791745409642953,L1_s_seed
in_mulch_film_yoy,2.6777862584116163,in_mulch_film_yoy
crop_code,2.5353557876895314,作物
gp_grow_mean,2.524377272391477,生长季收购价
in_machine_tillage_yoy,2.479792897491341,in_machine_tillage_yoy
prec_ano_grow,2.390956909329592,生长季降水距平
in_abc,2.3403659558314187,碳铵价格
in_machine_harvest,2.3245389034755575,机收费
L2_total_cost,2.3176928425130803,L2_total_cost
in_mulch_film,2.205263570878296,地膜价格
L1_cash_income,2.1562600975474036,上年现金收益
L1_total_cost,2.1000915325204885,上年总成本
in_abc_yoy,1.9982398792918603,in_abc_yoy
in_chlorpyrifos,1.8217570906101577,农药(毒死蜱)价格
L1_labor_days,1.75287842836742,上年用工天数
temp_ano_grow,1.715063088048933,生长季气温距平
prec_grow,1.6676296037674572,生长季降水
L1_s_mach,1.6391098701266438,L1_s_mach
gp_pre_yoy,1.5057511557410632,播前收购价同比
L1_cost_mach,1.480802445711711,L1_cost_mach
in_ssp_yoy,1.4801202593389782,in_ssp_yoy
temp_ano_absmax,1.4009219297969155,气温距平极值
province_code,1.1174642170363736,省份
in_chlorpyrifos_yoy,1.0468484701629972,in_chlorpyrifos_yoy
L1_s_labor,1.0112814169121114,上年人工成本份额
gp_pre_mean,0.8516288151174224,播前收购价
policy_corn_reform,0.5864969810713059,玉米临储改革
region_code,0.531068256816301,区域
policy_min_price,0.11620858531775262,最低收购价作物
L1_loss,0.0,上年是否亏损
